phase	lane	shard	fastq_file_count	total_fastq_bytes	total_fastq_gib	undetermined_fastq_file_count	undetermined_fastq_bytes	undetermined_fastq_gib	assigned_fastq_bytes	assigned_fastq_gib
phase1_L001_L003_L008	L001	0001_tiles0001-0098	84	75023044352	69.870654821	2	15325192396	14.272697639	59697851956	55.597957183
phase1_L001_L003_L008	L001	0002_tiles0099-0196	84	74635754450	69.509962993	2	14664222701	13.657121641	59971531749	55.852841352
phase1_L001_L003_L008	L001	0003_tiles0197-0294	84	74881209834	69.738561133	2	15005739625	13.975184062	59875470209	55.763377071
phase1_L001_L003_L008	L001	0004_tiles0295-0392	84	74572709080	69.451247416	2	15337915431	14.284546888	59234793649	55.166700528
phase1_L001_L003_L008	L001	0005_tiles0393-0490	84	75912706008	70.699216805	2	16364313729	15.240454794	59548392279	55.458762011
phase1_L001_L003_L008	L001	0006_tiles0491-0588	84	75916902611	70.703125197	2	16276402685	15.158581254	59640499926	55.544543942
phase1_L001_L003_L008	L001	0007_tiles0589-0686	84	75157246534	69.995640343	2	15619589632	14.546876431	59537656902	55.448763913
phase1_L001_L003_L008	L001	0008_tiles0687-0784	84	75571299946	70.381257633	2	16298681910	15.179330399	59272618036	55.201927233
phase1_L001_L003_L008	L003	0001_tiles0001-0098	84	74744298569	69.611052581	2	15589599759	14.518946185	59154698810	55.092106396
phase1_L001_L003_L008	L003	0002_tiles0099-0196	84	74891496039	69.748140908	2	15065063934	14.030434130	59826432105	55.717706778
phase1_L001_L003_L008	L003	0003_tiles0197-0294	84	75119347656	69.960344262	2	15329211225	14.276440465	59790136431	55.683903798
phase1_L001_L003_L008	L003	0004_tiles0295-0392	84	74525630323	69.407401907	2	15594420747	14.523436080	58931209576	54.883965828
phase1_L001_L003_L008	L003	0005_tiles0393-0490	84	75432099516	70.251617130	2	16210323507	15.097040224	59221776009	55.154576906
phase1_L001_L003_L008	L003	0006_tiles0491-0588	84	75601212760	70.409116112	2	15682883557	14.605823492	59918329203	55.803292620
phase1_L001_L003_L008	L003	0007_tiles0589-0686	84	75321209027	70.148342314	2	16192889432	15.080803476	59128319595	55.067538838
phase1_L001_L003_L008	L003	0008_tiles0687-0784	84	75611682081	70.418866427	2	16679049952	15.533575743	58932632129	54.885290683
phase1_L001_L003_L008	L008	0005_tiles0393-0490	84	75943066699	70.727492402	2	16666788020	15.522155929	59276278679	55.205336473
phase1_L001_L003_L008	L008	0006_tiles0491-0588	84	75977574291	70.759630102	2	16240531211	15.125173341	59737043080	55.634456761
phase1_L001_L003_L008	L008	0007_tiles0589-0686	84	75628766097	70.434777156	2	16078019507	14.973822522	59550746590	55.460954634
phase1_L001_L003_L008	L008	0008_tiles0687-0784	84	75678955677	70.481519845	2	16572573008	15.434411362	59106382669	55.047108484
phase2_L002_L006_L008	L002	0001_tiles0001-0098	84	75023453662	69.871036021	2	15219467415	14.174233577	59803986247	55.696802444
phase2_L002_L006_L008	L002	0002_tiles0099-0196	84	74712101817	69.581067019	2	14738404518	13.726208841	59973697299	55.854858178
phase2_L002_L006_L008	L002	0003_tiles0197-0294	84	75018914568	69.866808660	2	15088632727	14.052384279	59930281841	55.814424382
phase2_L002_L006_L008	L002	0004_tiles0295-0392	84	74683946943	69.554845749	2	15617930603	14.545331339	59066016340	55.009514410
phase2_L002_L006_L008	L002	0005_tiles0393-0490	84	75392409403	70.214652832	2	16072551058	14.968729632	59319858345	55.245923200
phase2_L002_L006_L008	L002	0006_tiles0491-0588	84	75935009814	70.719988843	2	15852247083	14.763555567	60082762731	55.956433277
phase2_L002_L006_L008	L002	0007_tiles0589-0686	84	75438421496	70.257504933	2	15499450882	14.434988501	59938970614	55.822516432
phase2_L002_L006_L008	L002	0008_tiles0687-0784	84	75916808287	70.703037350	2	16438280645	15.309341853	59478527642	55.393695498
phase2_L002_L006_L008	L006	0001_tiles0001-0098	84	74226139686	69.128479516	2	15081192964	14.045455460	59144946722	55.083024057
phase2_L002_L006_L008	L006	0002_tiles0099-0196	84	74507970648	69.390955053	2	14571121844	13.570414711	59936848804	55.820540342
phase2_L002_L006_L008	L006	0003_tiles0197-0294	84	74398421201	69.288929180	2	14515900733	13.518986044	59882520468	55.769943137
phase2_L002_L006_L008	L006	0004_tiles0295-0392	84	72666443513	67.675899261	2	14863441877	13.842658957	57803001636	53.833240304
phase2_L002_L006_L008	L006	0005_tiles0393-0490	84	75583986351	70.393072768	2	17531672276	16.327642161	58052314075	54.065430607
phase2_L002_L006_L008	L006	0006_tiles0491-0588	84	76199944268	70.966728281	2	17039310186	15.869094232	59160634082	55.097634049
phase2_L002_L006_L008	L006	0007_tiles0589-0686	84	76066787447	70.842716328	2	16623470110	15.481812982	59443317337	55.360903346
phase2_L002_L006_L008	L006	0008_tiles0687-0784	84	75901083758	70.688392742	2	16942921488	15.779325262	58958162270	54.909067480
phase2_L002_L006_L008	L008	0001_tiles0001-0098	84	74685914136	69.556677841	2	15232572188	14.186438348	59453341948	55.370239493
phase2_L002_L006_L008	L008	0002_tiles0099-0196	84	74515725599	69.398177414	2	14709465964	13.699257713	59806259635	55.698919701
phase2_L002_L006_L008	L008	0003_tiles0197-0294	84	74449474319	69.336476102	2	14829120608	13.810694784	59620353711	55.525781318
phase2_L002_L006_L008	L008	0004_tiles0295-0392	84	74416832900	69.306076411	2	14851722006	13.831743976	59565110894	55.474332435
phase2_L002_L006_L008	L008	0005_tiles0393-0490	84	75943066699	70.727492402	2	16666788020	15.522155929	59276278679	55.205336473
phase2_L002_L006_L008	L008	0006_tiles0491-0588	84	75977574291	70.759630102	2	16240531211	15.125173341	59737043080	55.634456761
phase2_L002_L006_L008	L008	0007_tiles0589-0686	84	75628766097	70.434777156	2	16078019507	14.973822522	59550746590	55.460954634
phase2_L002_L006_L008	L008	0008_tiles0687-0784	84	75678955677	70.481519845	2	16572573008	15.434411362	59106382669	55.047108484
phase3_L004_L005_L007	L004	0001_tiles0001-0098	84	74761520578	69.627091827	2	16020160236	14.919936877	58741360342	54.707154950
phase3_L004_L005_L007	L004	0002_tiles0099-0196	84	74947428660	69.800232220	2	15182181197	14.139508081	59765247463	55.660724140
phase3_L004_L005_L007	L004	0003_tiles0197-0294	84	75459122700	70.276784431	2	15331759416	14.278813653	60127363284	55.997970778
phase3_L004_L005_L007	L004	0004_tiles0295-0392	84	75163335882	70.001311490	2	15371761821	14.316068796	59791574061	55.685242695
phase3_L004_L005_L007	L004	0005_tiles0393-0490	84	75038231659	69.884799103	2	16611168139	15.470355879	58427063520	54.414443225
phase3_L004_L005_L007	L004	0006_tiles0491-0588	84	76058273018	70.834786648	2	16053246714	14.950751061	60005026304	55.884035587
phase3_L004_L005_L007	L004	0007_tiles0589-0686	84	75732235037	70.531140116	2	15880335475	14.789714920	59851899562	55.741425196
phase3_L004_L005_L007	L004	0008_tiles0687-0784	84	76198379105	70.965270610	2	16327279488	15.205963969	59871099617	55.759306640
phase3_L004_L005_L007	L005	0001_tiles0001-0098	84	74895471898	69.751843715	2	15675625918	14.599064289	59219845980	55.152779426
phase3_L004_L005_L007	L005	0002_tiles0099-0196	84	74945452922	69.798392171	2	15335052005	14.281880115	59610400917	55.516512056
phase3_L004_L005_L007	L005	0003_tiles0197-0294	84	74876823134	69.734475700	2	15317000524	14.265068363	59559822610	55.469407337
phase3_L004_L005_L007	L005	0004_tiles0295-0392	84	74456736239	69.343239292	2	15459578828	14.397854757	58997157411	54.945384535
phase3_L004_L005_L007	L005	0005_tiles0393-0490	84	75847585619	70.638568717	2	16886752712	15.727014013	58960832907	54.911554704
phase3_L004_L005_L007	L005	0006_tiles0491-0588	84	76322672535	71.081027887	2	16407082671	15.280286475	59915589864	55.800741412
phase3_L004_L005_L007	L005	0007_tiles0589-0686	84	75866585096	70.656263359	2	16176023315	15.065095681	59690561781	55.591167678
phase3_L004_L005_L007	L005	0008_tiles0687-0784	84	75854250078	70.644775478	2	16699845371	15.552942987	59154404707	55.091832492
phase3_L004_L005_L007	L007	0001_tiles0001-0098	84	74546479751	69.426819450	2	15076230349	14.040833664	59470249402	55.385985786
phase3_L004_L005_L007	L007	0002_tiles0099-0196	84	74543567345	69.424107061	2	14718663086	13.707823200	59824904259	55.716283861
phase3_L004_L005_L007	L007	0003_tiles0197-0294	84	74790391594	69.653980056	2	14927453351	13.902274287	59862938243	55.751705769
phase3_L004_L005_L007	L007	0004_tiles0295-0392	84	74702333608	69.571969666	2	15421687131	14.362565364	59280646477	55.209404302
phase3_L004_L005_L007	L007	0005_tiles0393-0490	84	76038715812	70.816572580	2	17274964971	16.088564853	58763750841	54.728007727
phase3_L004_L005_L007	L007	0006_tiles0491-0588	84	76293177755	71.053558732	2	16194054146	15.081888201	60099123609	55.971670532
phase3_L004_L005_L007	L007	0007_tiles0589-0686	84	76321583044	71.080013219	2	17464705465	16.265274459	58856877579	54.814738761
phase3_L004_L005_L007	L007	0008_tiles0687-0784	84	76302345106	71.062096493	2	19374146598	18.043580091	56928198508	53.018516403
