DAY-EC activated.
DAY-EC activated.
PROGRESS_TS	2026-06-02T21:44:58Z
LANES	L002,L006,L008
DF
Filesystem                Size  Used Avail Use% Mounted on
10.0.1.248@tcp:/3vbzxb4v  6.6T  4.7T  1.9T  71% /fsx
AVG_COMPLETE_SHARD_FASTQ_GIB	70.125
COMPLETE_SHARDS_USED_FOR_AVG	12
LANE_COMPLETION	lane	done	missing
LANE_COMPLETION	L002	4	4
LANE_COMPLETION	L006	4	4
LANE_COMPLETION	L008	4	4
ACTIVE_JOBS	jobid	state	elapsed	nodes	lane	shard	fastq_count	fastq_gib	progress_vs_avg	eta
ACTIVE_JOBS	339	RUNNING	16:56	i192mem-dy-all-2	L002	0001_tiles0001-0098	84	46.224	65.9%	8.8m
ACTIVE_JOBS	337	RUNNING	16:56	i192mem-dy-all-2	L002	0002_tiles0099-0196	84	59.671	85.1%	3.0m
ACTIVE_JOBS	333	RUNNING	16:56	i192mem-dy-all-1	L002	0003_tiles0197-0294	84	68.855	98.2%	0.3m
ACTIVE_JOBS	341	RUNNING	16:56	i192mem-dy-all-3	L002	0004_tiles0295-0392	84	69.555	99.2%	0.1m
ACTIVE_JOBS	340	RUNNING	16:56	i192mem-dy-all-2	L006	0001_tiles0001-0098	84	65.065	92.8%	1.3m
ACTIVE_JOBS	336	RUNNING	16:56	i192mem-dy-all-1	L006	0005_tiles0393-0490	84	70.040	99.9%	0.0m
ACTIVE_JOBS	344	RUNNING	16:56	i192mem-dy-all-3	L006	0006_tiles0491-0588	84	70.967	99.9%	0.0m
ACTIVE_JOBS	338	RUNNING	16:56	i192mem-dy-all-2	L006	0008_tiles0687-0784	84	70.688	99.9%	0.0m
ACTIVE_JOBS	334	RUNNING	16:56	i192mem-dy-all-1	L008	0001_tiles0001-0098	84	54.946	78.4%	4.7m
ACTIVE_JOBS	342	RUNNING	16:56	i192mem-dy-all-3	L008	0002_tiles0099-0196	84	58.357	83.2%	3.4m
ACTIVE_JOBS	335	RUNNING	16:56	i192mem-dy-all-1	L008	0003_tiles0197-0294	84	47.781	68.1%	7.9m
ACTIVE_JOBS	343	RUNNING	16:56	i192mem-dy-all-3	L008	0004_tiles0295-0392	84	59.457	84.8%	3.0m
