lane	output_class	shard	path	bytes	gib	undetermined
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL1-a_S22_L001_R1_001.fastq.gz	709234668	0.660526257	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL1-a_S22_L001_R2_001.fastq.gz	717028648	0.667784967	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL1-b_S23_L001_R1_001.fastq.gz	705479307	0.657028805	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL1-b_S23_L001_R2_001.fastq.gz	712608309	0.663668205	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL2-a_S24_L001_R1_001.fastq.gz	782601325	0.728854281	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL2-a_S24_L001_R2_001.fastq.gz	780519045	0.726915007	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL2-b_S25_L001_R1_001.fastq.gz	749348313	0.697885000	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL2-b_S25_L001_R2_001.fastq.gz	762601262	0.710227771	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL3-a_S26_L001_R1_001.fastq.gz	788398973	0.734253761	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL3-a_S26_L001_R2_001.fastq.gz	794086804	0.739550967	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL3-b_S27_L001_R1_001.fastq.gz	779245052	0.725728508	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL3-b_S27_L001_R2_001.fastq.gz	787290819	0.733221713	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL4-a_S28_L001_R1_001.fastq.gz	711059058	0.662225353	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL4-a_S28_L001_R2_001.fastq.gz	709940184	0.661183320	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL5-a_S29_L001_R1_001.fastq.gz	727954797	0.677960736	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL5-a_S29_L001_R2_001.fastq.gz	735935044	0.685392920	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL6-a_S30_L001_R1_001.fastq.gz	822496810	0.766009847	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL6-a_S30_L001_R2_001.fastq.gz	826243978	0.769499669	false
L001	tile	0001_tiles0001-0098	/fsx/analysis_results/ubuntu/bcl25b_full_shard008_odirect_off_20260602T115314Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/tile_fastqs/L001/0001_tiles0001-0098/BUCCAL7-a_S31_L001_R1_001.fastq.gz	629642876	0.586400624	false
