lane	shard	fastq_file_count	total_fastq_bytes	total_fastq_gib	undetermined_fastq_file_count	undetermined_fastq_bytes	undetermined_fastq_gib	assigned_fastq_bytes	assigned_fastq_gib
L004	0001_tiles0001-0098	84	74761520578	69.627091827	2	16020160236	14.919936877	58741360342	54.707154950
L004	0002_tiles0099-0196	84	74947428660	69.800232220	2	15182181197	14.139508081	59765247463	55.660724140
L004	0003_tiles0197-0294	84	75459122700	70.276784431	2	15331759416	14.278813653	60127363284	55.997970778
L004	0004_tiles0295-0392	84	75163335882	70.001311490	2	15371761821	14.316068796	59791574061	55.685242695
L004	0005_tiles0393-0490	84	75038231659	69.884799103	2	16611168139	15.470355879	58427063520	54.414443225
L004	0006_tiles0491-0588	84	76058273018	70.834786648	2	16053246714	14.950751061	60005026304	55.884035587
L004	0007_tiles0589-0686	84	75732235037	70.531140116	2	15880335475	14.789714920	59851899562	55.741425196
L004	0008_tiles0687-0784	84	76198379105	70.965270610	2	16327279488	15.205963969	59871099617	55.759306640
L005	0001_tiles0001-0098	84	74895471898	69.751843715	2	15675625918	14.599064289	59219845980	55.152779426
L005	0002_tiles0099-0196	84	74945452922	69.798392171	2	15335052005	14.281880115	59610400917	55.516512056
L005	0003_tiles0197-0294	84	74876823134	69.734475700	2	15317000524	14.265068363	59559822610	55.469407337
L005	0004_tiles0295-0392	84	74456736239	69.343239292	2	15459578828	14.397854757	58997157411	54.945384535
L005	0005_tiles0393-0490	84	75847585619	70.638568717	2	16886752712	15.727014013	58960832907	54.911554704
L005	0006_tiles0491-0588	84	76322672535	71.081027887	2	16407082671	15.280286475	59915589864	55.800741412
L005	0007_tiles0589-0686	84	75866585096	70.656263359	2	16176023315	15.065095681	59690561781	55.591167678
L005	0008_tiles0687-0784	84	75854250078	70.644775478	2	16699845371	15.552942987	59154404707	55.091832492
L007	0001_tiles0001-0098	84	74546479751	69.426819450	2	15076230349	14.040833664	59470249402	55.385985786
L007	0002_tiles0099-0196	84	74543567345	69.424107061	2	14718663086	13.707823200	59824904259	55.716283861
L007	0003_tiles0197-0294	84	74790391594	69.653980056	2	14927453351	13.902274287	59862938243	55.751705769
L007	0004_tiles0295-0392	84	74702333608	69.571969666	2	15421687131	14.362565364	59280646477	55.209404302
L007	0005_tiles0393-0490	84	76038715812	70.816572580	2	17274964971	16.088564853	58763750841	54.728007727
L007	0006_tiles0491-0588	84	76293177755	71.053558732	2	16194054146	15.081888201	60099123609	55.971670532
L007	0007_tiles0589-0686	84	76321583044	71.080013219	2	17464705465	16.265274459	58856877579	54.814738761
L007	0008_tiles0687-0784	84	76302345106	71.062096493	2	19374146598	18.043580091	56928198508	53.018516403
