arm	analysis_id	exit_code	started_at	completed_at	remote_root	remote_benchmark	local_benchmark	local_bytes
whole_lane	bcl25b_l003_whole_lane_20260602T000733Z	1	2026-06-02T00:10:12Z	2026-06-02T00:57:27Z	/fsx/analysis_results/ubuntu/bcl25b_l003_whole_lane_20260602T000733Z/daylily-omics-analysis	/fsx/analysis_results/ubuntu/bcl25b_l003_whole_lane_20260602T000733Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/bclconvert_validate_inputs.bench.tsv	bench_expts/whole_lane__results_runs_20260514_LH01106_0009_B23TVLGLT4_bclconvert_benchmarks_bclconvert_validate_inputs.bench.tsv	306
whole_lane_odirect_off	bcl25b_l003_whole_lane_odirect_off_20260602T000733Z	0	2026-06-02T07:27:27Z	2026-06-02T08:32:26Z	/fsx/analysis_results/ubuntu/bcl25b_l003_whole_lane_odirect_off_20260602T000733Z/daylily-omics-analysis	/fsx/analysis_results/ubuntu/bcl25b_l003_whole_lane_odirect_off_20260602T000733Z/daylily-omics-analysis/results/day/hg38/benchmarks/produce_bclconvert_fastqs.bench.tsv	bench_expts/whole_lane_odirect_off__results_day_hg38_benchmarks_produce_bclconvert_fastqs.bench.tsv	230
whole_lane_odirect_off	bcl25b_l003_whole_lane_odirect_off_20260602T000733Z	0	2026-06-02T07:27:27Z	2026-06-02T08:32:26Z	/fsx/analysis_results/ubuntu/bcl25b_l003_whole_lane_odirect_off_20260602T000733Z/daylily-omics-analysis	/fsx/analysis_results/ubuntu/bcl25b_l003_whole_lane_odirect_off_20260602T000733Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/bclconvert_validate_inputs.bench.tsv	bench_expts/whole_lane_odirect_off__results_runs_20260514_LH01106_0009_B23TVLGLT4_bclconvert_benchmarks_bclconvert_validate_inputs.bench.tsv	306
whole_lane_odirect_off	bcl25b_l003_whole_lane_odirect_off_20260602T000733Z	0	2026-06-02T07:27:27Z	2026-06-02T08:32:26Z	/fsx/analysis_results/ubuntu/bcl25b_l003_whole_lane_odirect_off_20260602T000733Z/daylily-omics-analysis	/fsx/analysis_results/ubuntu/bcl25b_l003_whole_lane_odirect_off_20260602T000733Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L003.bench.tsv	bench_expts/whole_lane_odirect_off__results_runs_20260514_LH01106_0009_B23TVLGLT4_bclconvert_benchmarks_run_bclconvert.L003.bench.tsv	348
whole_lane_odirect_off	bcl25b_l003_whole_lane_odirect_off_20260602T000733Z	0	2026-06-02T07:27:27Z	2026-06-02T08:32:26Z	/fsx/analysis_results/ubuntu/bcl25b_l003_whole_lane_odirect_off_20260602T000733Z/daylily-omics-analysis	/fsx/analysis_results/ubuntu/bcl25b_l003_whole_lane_odirect_off_20260602T000733Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.lane_fastqs_ready.bench.tsv	bench_expts/whole_lane_odirect_off__results_runs_20260514_LH01106_0009_B23TVLGLT4_bclconvert_benchmarks_run_bclconvert.lane_fastqs_ready.bench.tsv	304
shard002	bcl25b_l003_shard002_20260602T000733Z	0	2026-06-02T01:00:06Z	2026-06-02T01:35:23Z	/fsx/analysis_results/ubuntu/bcl25b_l003_shard002_20260602T000733Z/daylily-omics-analysis	/fsx/analysis_results/ubuntu/bcl25b_l003_shard002_20260602T000733Z/daylily-omics-analysis/results/day/hg38/benchmarks/produce_bclconvert_fastqs.bench.tsv	bench_expts/shard002__results_day_hg38_benchmarks_produce_bclconvert_fastqs.bench.tsv	230
shard002	bcl25b_l003_shard002_20260602T000733Z	0	2026-06-02T01:00:06Z	2026-06-02T01:35:23Z	/fsx/analysis_results/ubuntu/bcl25b_l003_shard002_20260602T000733Z/daylily-omics-analysis	/fsx/analysis_results/ubuntu/bcl25b_l003_shard002_20260602T000733Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/bclconvert_validate_inputs.bench.tsv	bench_expts/shard002__results_runs_20260514_LH01106_0009_B23TVLGLT4_bclconvert_benchmarks_bclconvert_validate_inputs.bench.tsv	308
shard002	bcl25b_l003_shard002_20260602T000733Z	0	2026-06-02T01:00:06Z	2026-06-02T01:35:23Z	/fsx/analysis_results/ubuntu/bcl25b_l003_shard002_20260602T000733Z/daylily-omics-analysis	/fsx/analysis_results/ubuntu/bcl25b_l003_shard002_20260602T000733Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/merge_bclconvert_tile_shards.L003.bench.tsv	bench_expts/shard002__results_runs_20260514_LH01106_0009_B23TVLGLT4_bclconvert_benchmarks_merge_bclconvert_tile_shards.L003.bench.tsv	325
shard002	bcl25b_l003_shard002_20260602T000733Z	0	2026-06-02T01:00:06Z	2026-06-02T01:35:23Z	/fsx/analysis_results/ubuntu/bcl25b_l003_shard002_20260602T000733Z/daylily-omics-analysis	/fsx/analysis_results/ubuntu/bcl25b_l003_shard002_20260602T000733Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L003.0001_tiles0001-0392.bench.tsv	bench_expts/shard002__results_runs_20260514_LH01106_0009_B23TVLGLT4_bclconvert_benchmarks_run_bclconvert.L003.0001_tiles0001-0392.bench.tsv	340
shard002	bcl25b_l003_shard002_20260602T000733Z	0	2026-06-02T01:00:06Z	2026-06-02T01:35:23Z	/fsx/analysis_results/ubuntu/bcl25b_l003_shard002_20260602T000733Z/daylily-omics-analysis	/fsx/analysis_results/ubuntu/bcl25b_l003_shard002_20260602T000733Z/daylily-omics-analysis/results/runs/20260514_LH01106_0009_B23TVLGLT4/bclconvert/benchmarks/run_bclconvert.L003.0002_tiles0393-0784.bench.tsv	bench_expts/shard002__results_runs_20260514_LH01106_0009_B23TVLGLT4_bclconvert_benchmarks_run_bclconvert.L003.0002_tiles0393-0784.bench.tsv	340
