period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-03-01,af-south-1,0.000918,False
2026-02-20,2026-03-01,ap-east-1,0.0009,False
2026-02-20,2026-03-01,ap-northeast-1,0.0009792,False
2026-02-20,2026-03-01,ap-northeast-2,0.000891,False
2026-02-20,2026-03-01,ap-northeast-3,0.0008946,False
2026-02-20,2026-03-01,ap-south-1,32.2190334366,False
2026-02-20,2026-03-01,ap-south-2,0.0009,False
2026-02-20,2026-03-01,ap-southeast-1,0.0009,False
2026-02-20,2026-03-01,ap-southeast-2,0.000909,False
2026-02-20,2026-03-01,ap-southeast-3,0.0009,False
2026-02-20,2026-03-01,ca-central-1,0.000909,False
2026-02-20,2026-03-01,eu-central-1,38.3045841523,False
2026-02-20,2026-03-01,eu-north-1,0.00099,False
2026-02-20,2026-03-01,eu-west-1,0.00099,False
2026-02-20,2026-03-01,eu-west-2,0.0009054,False
2026-02-20,2026-03-01,eu-west-3,0.0009054,False
2026-02-20,2026-03-01,global,2.288533164,False
2026-02-20,2026-03-01,sa-east-1,0.000936,False
2026-02-20,2026-03-01,us-east-1,1.327237976,False
2026-02-20,2026-03-01,us-east-2,0.0010034126,False
2026-02-20,2026-03-01,us-west-1,0.000909,False
2026-02-20,2026-03-01,us-west-2,6104.3308316592,False
2026-03-01,2026-04-01,NoRegion,0.0,False
2026-03-01,2026-04-01,af-south-1,0.059142,False
2026-03-01,2026-04-01,ap-east-1,0.06212456,False
2026-03-01,2026-04-01,ap-northeast-1,0.721364562,False
2026-03-01,2026-04-01,ap-northeast-2,0.719520837,False
2026-03-01,2026-04-01,ap-northeast-3,0.724621442,False
2026-03-01,2026-04-01,ap-south-1,109.7361852116,False
2026-03-01,2026-04-01,ap-south-2,0.0522932,False
2026-03-01,2026-04-01,ap-southeast-1,0.719584042,False
2026-03-01,2026-04-01,ap-southeast-2,0.719546045,False
2026-03-01,2026-04-01,ap-southeast-3,0.0545426,False
2026-03-01,2026-04-01,ca-central-1,0.7195322573,False
2026-03-01,2026-04-01,eu-central-1,128.0958766357,False
2026-03-01,2026-04-01,eu-north-1,0.71455141,False
2026-03-01,2026-04-01,eu-west-1,0.7174241773,False
2026-03-01,2026-04-01,eu-west-2,0.71697961,False
2026-03-01,2026-04-01,eu-west-3,0.71694881,False
2026-03-01,2026-04-01,global,141.6061517715,False
2026-03-01,2026-04-01,sa-east-1,0.751079065,False
2026-03-01,2026-04-01,us-east-1,328.0730982326,False
2026-03-01,2026-04-01,us-east-2,0.7219024503,False
2026-03-01,2026-04-01,us-west-1,0.71690841,False
2026-03-01,2026-04-01,us-west-2,3527.7207228882,False
2026-04-01,2026-05-01,NoRegion,0.0,False
2026-04-01,2026-05-01,af-south-1,0.65757517,False
2026-04-01,2026-05-01,ap-east-1,0.693451705,False
2026-04-01,2026-05-01,ap-northeast-1,1.6910381168,False
2026-04-01,2026-05-01,ap-northeast-2,1.6723919848,False
2026-04-01,2026-05-01,ap-northeast-3,1.7309474368,False
2026-04-01,2026-05-01,ap-south-1,107.7431940348,False
2026-04-01,2026-05-01,ap-south-2,0.57629724,False
2026-04-01,2026-05-01,ap-southeast-1,1.6722886368,False
2026-04-01,2026-05-01,ap-southeast-2,1.672327868,False
2026-04-01,2026-05-01,ap-southeast-3,0.6035454475,False
2026-04-01,2026-05-01,ca-central-1,1.671798504,False
2026-04-01,2026-05-01,eu-central-1,126.3241378533,False
2026-04-01,2026-05-01,eu-north-1,1.610363104,False
2026-04-01,2026-05-01,eu-west-1,1.6418170322,False
2026-04-01,2026-05-01,eu-west-2,1.641526104,False
2026-04-01,2026-05-01,eu-west-3,1.641420504,False
2026-04-01,2026-05-01,global,415.6430775217,False
2026-04-01,2026-05-01,sa-east-1,2.040375676,False
2026-04-01,2026-05-01,us-east-1,693.4284147507,False
2026-04-01,2026-05-01,us-east-2,1.5895102548,False
2026-04-01,2026-05-01,us-west-1,1.638607704,False
2026-04-01,2026-05-01,us-west-2,7966.9634999173,False
2026-05-01,2026-05-21,NoRegion,0.0,True
2026-05-01,2026-05-21,af-south-1,0.570547136,True
2026-05-01,2026-05-21,ap-east-1,0.601611764,True
2026-05-01,2026-05-21,ap-northeast-1,1.2406219427,True
2026-05-01,2026-05-21,ap-northeast-2,1.2235889019,True
2026-05-01,2026-05-21,ap-northeast-3,1.2741277427,True
2026-05-01,2026-05-21,ap-south-1,71.9110290137,True
2026-05-01,2026-05-21,ap-south-2,0.500437232,True
2026-05-01,2026-05-21,ap-southeast-1,1.2235363427,True
2026-05-01,2026-05-21,ap-southeast-2,1.2235457672,True
2026-05-01,2026-05-21,ap-southeast-3,0.523866438,True
2026-05-01,2026-05-21,ca-central-1,1.2230742776,True
2026-05-01,2026-05-21,eu-central-1,83.7642847168,True
2026-05-01,2026-05-21,eu-north-1,1.1698898776,True
2026-05-01,2026-05-21,eu-west-1,1.2123194776,True
2026-05-01,2026-05-21,eu-west-2,1.1990515776,True
2026-05-01,2026-05-21,eu-west-3,1.1973288776,True
2026-05-01,2026-05-21,global,456.5484513732,True
2026-05-01,2026-05-21,sa-east-1,1.5709605304,True
2026-05-01,2026-05-21,us-east-1,488.9368952917,True
2026-05-01,2026-05-21,us-east-2,1.1501807844,True
2026-05-01,2026-05-21,us-west-1,1.1956752776,True
2026-05-01,2026-05-21,us-west-2,14165.9088870118,True
