period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-02-21,AWS Cost Explorer,0.0222442857,False
2026-02-20,2026-02-21,AWS Glue,0.0,False
2026-02-20,2026-02-21,AWS Key Management Service,0.0,False
2026-02-20,2026-02-21,AWS Secrets Manager,0.1001100008,False
2026-02-20,2026-02-21,AWS Security Hub,0.0,False
2026-02-20,2026-02-21,AWS WAF,0.249999996,False
2026-02-20,2026-02-21,Amazon CloudFront,0.0,False
2026-02-20,2026-02-21,Amazon DynamoDB,0.0015733538,False
2026-02-20,2026-02-21,Amazon EC2 Container Registry (ECR),0.0086806538,False
2026-02-20,2026-02-21,EC2 - Other,43.1377815949,False
2026-02-20,2026-02-21,Amazon Elastic Compute Cloud - Compute,1414.9477557526,False
2026-02-20,2026-02-21,Amazon Elastic Container Service,0.5953640892,False
2026-02-20,2026-02-21,Amazon Elastic Load Balancing,8.5764e-06,False
2026-02-20,2026-02-21,Amazon FSx,186.009569548,False
2026-02-20,2026-02-21,Amazon GuardDuty,0.0,False
2026-02-20,2026-02-21,Amazon Inspector,0.0,False
2026-02-20,2026-02-21,Amazon Relational Database Service,0.0,False
2026-02-20,2026-02-21,Amazon Route 53,0.0047332,False
2026-02-20,2026-02-21,Amazon Simple Notification Service,0.0,False
2026-02-20,2026-02-21,Amazon Simple Queue Service,0.0,False
2026-02-20,2026-02-21,Amazon Simple Storage Service,27.3516628337,False
2026-02-20,2026-02-21,Amazon Virtual Private Cloud,1.80004445,False
2026-02-20,2026-02-21,AmazonCloudWatch,0.1142857152,False
2026-02-20,2026-02-21,CloudWatch Events,0.0,False
2026-02-21,2026-02-22,AWS Cost Explorer,0.0232467857,False
2026-02-21,2026-02-22,AWS Glue,0.0,False
2026-02-21,2026-02-22,AWS Key Management Service,0.0,False
2026-02-21,2026-02-22,AWS Secrets Manager,0.1001300008,False
2026-02-21,2026-02-22,AWS Security Hub,0.0,False
2026-02-21,2026-02-22,AWS WAF,0.249999996,False
2026-02-21,2026-02-22,Amazon CloudFront,0.0,False
2026-02-21,2026-02-22,Amazon DynamoDB,0.0007971663,False
2026-02-21,2026-02-22,Amazon EC2 Container Registry (ECR),0.0089582928,False
2026-02-21,2026-02-22,EC2 - Other,25.1571764214,False
2026-02-21,2026-02-22,Amazon Elastic Compute Cloud - Compute,934.1982617596,False
2026-02-21,2026-02-22,Amazon Elastic Container Service,0.593027532,False
2026-02-21,2026-02-22,Amazon Elastic Load Balancing,9.3984e-06,False
2026-02-21,2026-02-22,Amazon FSx,146.4125553957,False
2026-02-21,2026-02-22,Amazon GuardDuty,0.0,False
2026-02-21,2026-02-22,Amazon Inspector,0.0,False
2026-02-21,2026-02-22,Amazon Relational Database Service,0.0,False
2026-02-21,2026-02-22,Amazon Route 53,0.00324,False
2026-02-21,2026-02-22,Amazon Simple Notification Service,0.0,False
2026-02-21,2026-02-22,Amazon Simple Queue Service,0.0,False
2026-02-21,2026-02-22,Amazon Simple Storage Service,29.8173470495,False
2026-02-21,2026-02-22,Amazon Virtual Private Cloud,1.8,False
2026-02-21,2026-02-22,AmazonCloudWatch,0.1142857152,False
2026-02-21,2026-02-22,CloudWatch Events,0.0,False
2026-02-22,2026-02-23,AWS Cost Explorer,0.0237492857,False
2026-02-22,2026-02-23,AWS Glue,0.0,False
2026-02-22,2026-02-23,AWS Key Management Service,0.0,False
2026-02-22,2026-02-23,AWS Secrets Manager,0.1000000008,False
2026-02-22,2026-02-23,AWS Security Hub,0.0,False
2026-02-22,2026-02-23,AWS WAF,0.249999996,False
2026-02-22,2026-02-23,Amazon CloudFront,0.0,False
2026-02-22,2026-02-23,Amazon DynamoDB,0.0016067287,False
2026-02-22,2026-02-23,Amazon EC2 Container Registry (ECR),0.0089582928,False
2026-02-22,2026-02-23,EC2 - Other,38.0042899834,False
2026-02-22,2026-02-23,Amazon Elastic Compute Cloud - Compute,967.1803847154,False
2026-02-22,2026-02-23,Amazon Elastic Container Service,0.5930270391,False
2026-02-22,2026-02-23,Amazon Elastic Load Balancing,2.37519e-05,False
2026-02-22,2026-02-23,Amazon FSx,120.0057409421,False
2026-02-22,2026-02-23,Amazon GuardDuty,0.0,False
2026-02-22,2026-02-23,Amazon Inspector,0.0,False
2026-02-22,2026-02-23,Amazon Relational Database Service,0.0834814117,False
2026-02-22,2026-02-23,Amazon Route 53,0.0027396,False
2026-02-22,2026-02-23,Amazon Simple Notification Service,0.0,False
2026-02-22,2026-02-23,Amazon Simple Queue Service,0.0,False
2026-02-22,2026-02-23,Amazon Simple Storage Service,32.5097825022,False
2026-02-22,2026-02-23,Amazon Virtual Private Cloud,1.8,False
2026-02-22,2026-02-23,AmazonCloudWatch,0.1142857152,False
2026-02-22,2026-02-23,CloudWatch Events,0.0,False
2026-02-23,2026-02-24,AWS Cost Explorer,0.0243867857,False
2026-02-23,2026-02-24,AWS Glue,0.0,False
2026-02-23,2026-02-24,AWS Key Management Service,0.0,False
2026-02-23,2026-02-24,AWS Secrets Manager,0.1001650008,False
2026-02-23,2026-02-24,AWS Security Hub,0.0,False
2026-02-23,2026-02-24,AWS Step Functions,0.0,False
2026-02-23,2026-02-24,AWS WAF,0.249999996,False
2026-02-23,2026-02-24,Amazon CloudFront,0.0,False
2026-02-23,2026-02-24,Amazon DynamoDB,0.0010966039,False
2026-02-23,2026-02-24,Amazon EC2 Container Registry (ECR),0.0091669932,False
2026-02-23,2026-02-24,EC2 - Other,28.3481370762,False
2026-02-23,2026-02-24,Amazon Elastic Compute Cloud - Compute,426.1091564211,False
2026-02-23,2026-02-24,Amazon Elastic Container Service,0.5949292007,False
2026-02-23,2026-02-24,Amazon Elastic Load Balancing,9.4417e-06,False
2026-02-23,2026-02-24,Amazon FSx,120.0057407927,False
2026-02-23,2026-02-24,Amazon GuardDuty,0.0,False
2026-02-23,2026-02-24,Amazon Inspector,0.0,False
2026-02-23,2026-02-24,Amazon Relational Database Service,0.1642857168,False
2026-02-23,2026-02-24,Amazon Route 53,0.004868,False
2026-02-23,2026-02-24,Amazon Simple Notification Service,0.0,False
2026-02-23,2026-02-24,Amazon Simple Queue Service,0.0,False
2026-02-23,2026-02-24,Amazon Simple Storage Service,32.5155509034,False
2026-02-23,2026-02-24,Amazon Virtual Private Cloud,1.8,False
2026-02-23,2026-02-24,AmazonCloudWatch,0.1142857152,False
2026-02-23,2026-02-24,CloudWatch Events,0.0,False
2026-02-24,2026-02-25,AWS Cost Explorer,0.0250367857,False
2026-02-24,2026-02-25,AWS Glue,0.0,False
2026-02-24,2026-02-25,AWS Key Management Service,0.0,False
2026-02-24,2026-02-25,AWS Secrets Manager,0.1000550008,False
2026-02-24,2026-02-25,AWS Security Hub,0.0,False
2026-02-24,2026-02-25,AWS WAF,0.249999996,False
2026-02-24,2026-02-25,Amazon CloudFront,0.0,False
2026-02-24,2026-02-25,Amazon DynamoDB,0.0011086036,False
2026-02-24,2026-02-25,Amazon EC2 Container Registry (ECR),0.0095268393,False
2026-02-24,2026-02-25,EC2 - Other,29.1989138612,False
2026-02-24,2026-02-25,Amazon Elastic Compute Cloud - Compute,783.1423986348,False
2026-02-24,2026-02-25,Amazon Elastic Container Service,0.5940207024,False
2026-02-24,2026-02-25,Amazon Elastic Load Balancing,0.9900110702,False
2026-02-24,2026-02-25,Amazon FSx,120.0057399122,False
2026-02-24,2026-02-25,Amazon GuardDuty,0.0,False
2026-02-24,2026-02-25,Amazon Inspector,0.0,False
2026-02-24,2026-02-25,Amazon Relational Database Service,0.8425434768,False
2026-02-24,2026-02-25,Amazon Route 53,0.0053744,False
2026-02-24,2026-02-25,Amazon Simple Notification Service,0.0,False
2026-02-24,2026-02-25,Amazon Simple Queue Service,0.0,False
2026-02-24,2026-02-25,Amazon Simple Storage Service,32.5146416061,False
2026-02-24,2026-02-25,Amazon Virtual Private Cloud,1.80096528,False
2026-02-24,2026-02-25,AmazonCloudWatch,0.1142857152,False
2026-02-24,2026-02-25,CloudWatch Events,0.0,False
2026-02-25,2026-02-26,AWS Cost Explorer,0.0246975,False
2026-02-25,2026-02-26,AWS Glue,0.0,False
2026-02-25,2026-02-26,AWS Key Management Service,0.0,False
2026-02-25,2026-02-26,AWS Secrets Manager,0.1002250008,False
2026-02-25,2026-02-26,AWS Security Hub,0.135,False
2026-02-25,2026-02-26,AWS Step Functions,0.0,False
2026-02-25,2026-02-26,AWS WAF,0.249999996,False
2026-02-25,2026-02-26,Amazon CloudFront,0.0,False
2026-02-25,2026-02-26,Amazon DynamoDB,0.0008706041,False
2026-02-25,2026-02-26,Amazon EC2 Container Registry (ECR),0.009776668,False
2026-02-25,2026-02-26,EC2 - Other,24.7941707152,False
2026-02-25,2026-02-26,Amazon Elastic Compute Cloud - Compute,107.7948498228,False
2026-02-25,2026-02-26,Amazon Elastic Container Service,0.5980484157,False
2026-02-25,2026-02-26,Amazon Elastic Load Balancing,1.0800091964,False
2026-02-25,2026-02-26,Amazon FSx,120.0057366231,False
2026-02-25,2026-02-26,Amazon GuardDuty,0.0,False
2026-02-25,2026-02-26,Amazon Inspector,0.0,False
2026-02-25,2026-02-26,Amazon Relational Database Service,0.9322857168,False
2026-02-25,2026-02-26,Amazon Route 53,0.0048376,False
2026-02-25,2026-02-26,Amazon Simple Notification Service,0.0,False
2026-02-25,2026-02-26,Amazon Simple Queue Service,0.0,False
2026-02-25,2026-02-26,Amazon Simple Storage Service,32.5133035234,False
2026-02-25,2026-02-26,Amazon Virtual Private Cloud,1.8,False
2026-02-25,2026-02-26,AmazonCloudWatch,0.1142857152,False
2026-02-25,2026-02-26,CloudWatch Events,0.0,False
2026-02-26,2026-02-27,AWS CloudFormation,0.0,False
2026-02-26,2026-02-27,AWS Cost Explorer,0.0244567857,False
2026-02-26,2026-02-27,AWS Glue,0.0,False
2026-02-26,2026-02-27,AWS Key Management Service,0.0,False
2026-02-26,2026-02-27,AWS Lambda,9.272e-07,False
2026-02-26,2026-02-27,AWS Secrets Manager,0.1000000008,False
2026-02-26,2026-02-27,AWS Security Hub,0.135,False
2026-02-26,2026-02-27,AWS WAF,0.249999996,False
2026-02-26,2026-02-27,Amazon CloudFront,0.0,False
2026-02-26,2026-02-27,Amazon DynamoDB,0.000593416,False
