period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-03-01,AWS CloudFormation,0.0,False
2026-02-20,2026-03-01,AWS Cost Explorer,0.2128493087,False
2026-02-20,2026-03-01,AWS Glue,0.0,False
2026-02-20,2026-03-01,AWS Key Management Service,0.0327380944,False
2026-02-20,2026-03-01,AWS Lambda,9.272e-07,False
2026-02-20,2026-03-01,AWS Secrets Manager,0.9088922925,False
2026-02-20,2026-03-01,AWS Security Hub,0.42,False
2026-02-20,2026-03-01,AWS Step Functions,0.0,False
2026-02-20,2026-03-01,AWS WAF,2.249999964,False
2026-02-20,2026-03-01,Amazon CloudFront,1.6079e-06,False
2026-02-20,2026-03-01,Amazon Cognito,0.0,False
2026-02-20,2026-03-01,Amazon DynamoDB,0.0076520588,False
2026-02-20,2026-03-01,Amazon EC2 Container Registry (ECR),0.0868097115,False
2026-02-20,2026-03-01,EC2 - Other,251.9695355727,False
2026-02-20,2026-03-01,Amazon Elastic Compute Cloud - Compute,4693.2587227211,False
2026-02-20,2026-03-01,Amazon Elastic Container Service,5.3512108567,False
2026-02-20,2026-03-01,Amazon Elastic Load Balancing,5.310124258,False
2026-02-20,2026-03-01,Amazon FSx,911.3490489239,False
2026-02-20,2026-03-01,Amazon GuardDuty,0.0,False
2026-02-20,2026-03-01,Amazon Inspector,0.0,False
2026-02-20,2026-03-01,Amazon Relational Database Service,5.8969325993,False
2026-02-20,2026-03-01,Amazon Route 53,0.0385332,False
2026-02-20,2026-03-01,Amazon Simple Notification Service,0.0,False
2026-02-20,2026-03-01,Amazon Simple Queue Service,0.0,False
2026-02-20,2026-03-01,Amazon Simple Storage Service,284.760026923,False
2026-02-20,2026-03-01,Amazon Virtual Private Cloud,15.744265305,False
2026-02-20,2026-03-01,AmazonCloudWatch,0.888616076,False
2026-02-20,2026-03-01,CloudWatch Events,0.0,False
2026-03-01,2026-04-01,AWS CloudFormation,0.0,False
2026-03-01,2026-04-01,AWS Cost Explorer,0.6489519141,False
2026-03-01,2026-04-01,AWS Glue,0.0,False
2026-03-01,2026-04-01,AWS Key Management Service,2.670698882,False
2026-03-01,2026-04-01,AWS Lambda,2.31e-07,False
2026-03-01,2026-04-01,AWS Secrets Manager,5.4245961302,False
2026-03-01,2026-04-01,AWS Security Hub,107.4240765324,False
2026-03-01,2026-04-01,AWS Service Catalog,0.0,False
2026-03-01,2026-04-01,AWS Step Functions,1.62e-07,False
2026-03-01,2026-04-01,AWS Support (Developer),121.1253131635,False
2026-03-01,2026-04-01,AWS WAF,20.0924334752,False
2026-03-01,2026-04-01,AWS X-Ray,0.0,False
2026-03-01,2026-04-01,Amazon API Gateway,1.05e-05,False
2026-03-01,2026-04-01,Amazon CloudFront,0.0001884781,False
2026-03-01,2026-04-01,Amazon Cognito,0.0,False
2026-03-01,2026-04-01,Amazon DynamoDB,0.0092272834,False
2026-03-01,2026-04-01,Amazon EC2 Container Registry (ECR),0.3287918576,False
2026-03-01,2026-04-01,EC2 - Other,698.9167932138,False
