period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-03-01,A,0.017466,False
2026-02-20,2026-03-01,AAAA,0.0054264,False
2026-02-20,2026-03-01,ANY,3e-05,False
2026-02-20,2026-03-01,AllocateAddressVPC,0.001083355,False
2026-02-20,2026-03-01,AssociateAddressVPC,14.66052084,False
2026-02-20,2026-03-01,CAA,0.0001588,False
2026-02-20,2026-03-01,CNAME,0.0003392,False
2026-02-20,2026-03-01,CognitoEssentialsOperation,0.0,False
2026-02-20,2026-03-01,CompleteMultipartUpload,0.0294,False
2026-02-20,2026-03-01,CostDataStorage,0.2128493087,False
2026-02-20,2026-03-01,CreateAlias,0.0,False
2026-02-20,2026-03-01,CreateBucket,1e-05,False
2026-02-20,2026-03-01,CreateDBInstance:0014,4.8194534725,False
2026-02-20,2026-03-01,CreateDBInstance:0021,1.0774791268,False
2026-02-20,2026-03-01,CreateFileSystem:Lustre,911.3490489239,False
2026-02-20,2026-03-01,CreateGrant,0.0,False
2026-02-20,2026-03-01,CreateKey,0.0,False
2026-02-20,2026-03-01,CreateSecret,1e-05,False
2026-02-20,2026-03-01,CreateSnapshot,2.4175117492,False
2026-02-20,2026-03-01,CreateVolume-Gp3,118.5481365651,False
2026-02-20,2026-03-01,CurrentKeys,0.0327380944,False
2026-02-20,2026-03-01,DNAME,1.2e-05,False
2026-02-20,2026-03-01,DNSKEY,0.00302,False
2026-02-20,2026-03-01,DashboardHour,0.0,False
2026-02-20,2026-03-01,DeleteDashboards,0.0,False
2026-02-20,2026-03-01,DeleteSecret,5e-06,False
2026-02-20,2026-03-01,DescribeKey,0.0,False
2026-02-20,2026-03-01,DescribeSecret,0.0001,False
2026-02-20,2026-03-01,FargateTask,5.3512108567,False
2026-02-20,2026-03-01,GET,0.0,False
2026-02-20,2026-03-01,GeneralPurposeBuckets,0.0,False
2026-02-20,2026-03-01,GetDashboard,0.0,False
2026-02-20,2026-03-01,GetDataProtectionPolicy,0.0,False
2026-02-20,2026-03-01,GetKeyPolicy,0.0,False
2026-02-20,2026-03-01,GetKeyRotationStatus,0.0,False
2026-02-20,2026-03-01,GetLensConfiguration,3.6e-06,False
