period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-03-01,AFS1-Catalog-Request,0.0,False
2026-02-20,2026-03-01,AFS1-EC2-free-metering,0.0,False
2026-02-20,2026-03-01,AFS1-ECR-free-metering,0.0,False
2026-02-20,2026-03-01,AFS1-FreeEventsAnalyzed,0.0,False
2026-02-20,2026-03-01,AFS1-Lambda-Standard-free-metering,0.0,False
2026-02-20,2026-03-01,AFS1-OtherProduct:FreeFindingsIngestion-FreeTrial,0.0,False
2026-02-20,2026-03-01,AFS1-Requests-Tier1,0.0,False
2026-02-20,2026-03-01,AFS1-Requests-Tier8,0.00081,False
2026-02-20,2026-03-01,AFS1-SecurityHubProduct:FreeFindingsIngestion,0.0,False
2026-02-20,2026-03-01,AFS1-Tables-Requests-Tier1,0.000108,False
2026-02-20,2026-03-01,APE1-Catalog-Request,0.0,False
2026-02-20,2026-03-01,APE1-EC2-free-metering,0.0,False
2026-02-20,2026-03-01,APE1-ECR-free-metering,0.0,False
2026-02-20,2026-03-01,APE1-FreeEventsAnalyzed,0.0,False
2026-02-20,2026-03-01,APE1-Lambda-Standard-free-metering,0.0,False
2026-02-20,2026-03-01,APE1-OtherProduct:FreeFindingsIngestion-FreeTrial,0.0,False
2026-02-20,2026-03-01,APE1-Requests-Tier1,0.0,False
2026-02-20,2026-03-01,APE1-Requests-Tier8,0.00081,False
2026-02-20,2026-03-01,APE1-SecurityHubProduct:FreeFindingsIngestion,0.0,False
2026-02-20,2026-03-01,APE1-Tables-Requests-Tier1,9e-05,False
2026-02-20,2026-03-01,APN1-Catalog-Request,0.0,False
2026-02-20,2026-03-01,APN1-EC2-free-metering,0.0,False
2026-02-20,2026-03-01,APN1-ECR-free-metering,0.0,False
2026-02-20,2026-03-01,APN1-FreeComplianceCheck,0.0,False
2026-02-20,2026-03-01,APN1-FreeEventsAnalyzed,0.0,False
2026-02-20,2026-03-01,APN1-Lambda-Code-free-metering,0.0,False
2026-02-20,2026-03-01,APN1-Lambda-Standard-free-metering,0.0,False
2026-02-20,2026-03-01,APN1-OtherProduct:FreeFindingsIngestion-FreeTrial,0.0,False
2026-02-20,2026-03-01,APN1-Requests-Tier1,8.46e-05,False
2026-02-20,2026-03-01,APN1-Requests-Tier8,0.00081,False
2026-02-20,2026-03-01,APN1-SecurityHubProduct:FreeFindingsIngestion,0.0,False
2026-02-20,2026-03-01,APN1-Tables-Requests-Tier1,8.46e-05,False
