period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-03-01,aws-parallelcluster-project$,1421.5641948244,False
2026-02-20,2026-03-01,aws-parallelcluster-project$RnD da-us-west-2d-agbt-12t-usw2d,2.7683,False
2026-02-20,2026-03-01,aws-parallelcluster-project$da-us-west-2d-agbt-12t-usw2d,1387.1418062412,False
2026-02-20,2026-03-01,aws-parallelcluster-project$da-us-west-2d-agbt-heavy,2353.7995136317,False
2026-02-20,2026-03-01,aws-parallelcluster-project$day-forge-usw2d,84.0178121836,False
2026-02-20,2026-03-01,aws-parallelcluster-project$day-test-uswest2d,19.2184884945,False
2026-02-20,2026-03-01,aws-parallelcluster-project$daylily-omics-analysis-us-west-2,900.0572855444,False
2026-02-20,2026-03-01,aws-parallelcluster-project$hiomr_fullgenome_3x3x_15x15x_20260222,7.4174475039,False
2026-02-20,2026-03-01,aws-parallelcluster-project$unknown-project-invalid-project,2.501111977,False
2026-03-01,2026-04-01,aws-parallelcluster-project$,2748.2431266991,False
2026-03-01,2026-04-01,aws-parallelcluster-project$da-us-west-2d-agbt-12t-usw2d,0.0,False
2026-03-01,2026-04-01,aws-parallelcluster-project$da-us-west-2d-agbt-heavy,0.0,False
2026-03-01,2026-04-01,aws-parallelcluster-project$day-test-uswest2d,33.6799999968,False
2026-03-01,2026-04-01,aws-parallelcluster-project$daylily-1773057991,121.8678433898,False
2026-03-01,2026-04-01,aws-parallelcluster-project$daylily-1773059211,222.8115687073,False
2026-03-01,2026-04-01,aws-parallelcluster-project$daylily-global,361.3096507026,False
2026-03-01,2026-04-01,aws-parallelcluster-project$ifx-go,404.0330577682,False
2026-03-01,2026-04-01,aws-parallelcluster-project$inflextion-g24,352.8948529537,False
2026-04-01,2026-05-01,aws-parallelcluster-project$,3971.7850186364,False
2026-04-01,2026-05-01,aws-parallelcluster-project$and-again,88.6487299275,False
2026-04-01,2026-05-01,aws-parallelcluster-project$day-ssm-e2e-20260412103613,40.0742788267,False
2026-04-01,2026-05-01,aws-parallelcluster-project$day-test-uswest2d,33.680000016,False
2026-04-01,2026-05-01,aws-parallelcluster-project$daylily-1773057991,168.0278835717,False
2026-04-01,2026-05-01,aws-parallelcluster-project$daylily-1773059211,201.7078845406,False
2026-04-01,2026-05-01,aws-parallelcluster-project$daylily-global,71.4649829398,False
2026-04-01,2026-05-01,aws-parallelcluster-project$dec215-0426,49.9288700111,False
2026-04-01,2026-05-01,aws-parallelcluster-project$dec219-cluster,255.1436947725,False
2026-04-01,2026-05-01,aws-parallelcluster-project$ifx-go,1377.7494923,False
2026-04-01,2026-05-01,aws-parallelcluster-project$inflextion-g24,685.8422705425,False
2026-04-01,2026-05-01,aws-parallelcluster-project$lsmc-20260413,276.2825767926,False
2026-04-01,2026-05-01,aws-parallelcluster-project$majors-cluster,50.8109184558,False
2026-04-01,2026-05-01,aws-parallelcluster-project$mk-cluster,93.4294675478,False
2026-04-01,2026-05-01,aws-parallelcluster-project$mk-gotime,432.6906184103,False
2026-04-01,2026-05-01,aws-parallelcluster-project$mk-gotime2,5.8352330051,False
2026-04-01,2026-05-01,aws-parallelcluster-project$mk-gotime3,985.0910777517,False
2026-04-01,2026-05-01,aws-parallelcluster-project$mk-majors-cluster,169.4985535496,False
2026-04-01,2026-05-01,aws-parallelcluster-project$mk-test-202604-cluster,143.1968127244,False
2026-04-01,2026-05-01,aws-parallelcluster-project$mk426dec215,32.7451569968,False
2026-04-01,2026-05-01,aws-parallelcluster-project$mkdec219,33.5036086645,False
2026-04-01,2026-05-01,aws-parallelcluster-project$test-del-me,167.4104765831,False
2026-05-01,2026-05-21,aws-parallelcluster-project$,5179.7059237875,True
