period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-03-01,parallelcluster:cluster-name$,621.167438741,False
2026-02-20,2026-03-01,parallelcluster:cluster-name$agbt-12t-usw2d,1585.7366780099,False
2026-02-20,2026-03-01,parallelcluster:cluster-name$agbt-heavy,3868.3455429717,False
2026-02-20,2026-03-01,parallelcluster:cluster-name$day-forge-usw2d,84.0178121836,False
2026-02-20,2026-03-01,parallelcluster:cluster-name$day-test-uswest2d,19.2184884945,False
2026-03-01,2026-04-01,parallelcluster:cluster-name$,2670.3257783557,False
2026-03-01,2026-04-01,parallelcluster:cluster-name$agbt-12t-usw2d,0.0,False
2026-03-01,2026-04-01,parallelcluster:cluster-name$agbt-heavy,0.0,False
2026-03-01,2026-04-01,parallelcluster:cluster-name$day-test-uswest2d,33.6799999968,False
2026-03-01,2026-04-01,parallelcluster:cluster-name$daylily-1773057991,121.8678433898,False
2026-03-01,2026-04-01,parallelcluster:cluster-name$daylily-1773059211,295.1507461086,False
2026-03-01,2026-04-01,parallelcluster:cluster-name$ifx-go,428.7654140278,False
2026-03-01,2026-04-01,parallelcluster:cluster-name$inflextion-g24,695.0503183388,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$,3732.1218409717,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$and-again,88.6487299275,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$day-ssm-e2e-20260412103613,45.1525457917,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$day-test-uswest2d,33.680000016,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$daylily-1773057991,168.0278835717,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$daylily-1773059211,201.7078845406,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$dec215-0426,49.9288700111,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$dec219-cluster,261.1381192921,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$ifx-go,1377.7494923,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$inflextion-g24,687.0709572809,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$lsmc-20260413,276.2825767926,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$majors-cluster,50.8109184558,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$mk-cluster,93.4294675478,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$mk-gotime,432.6906184103,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$mk-gotime2,5.8352330051,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$mk-gotime3,1283.9178601332,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$mk-majors-cluster,169.4985535496,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$mk-test-202604-cluster,143.1968127244,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$mk426dec215,32.7451569968,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$mkdec219,33.5036086645,False
2026-04-01,2026-05-01,parallelcluster:cluster-name$test-del-me,167.4104765831,False
2026-05-01,2026-05-21,parallelcluster:cluster-name$,4047.8280569845,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$XL-pilot,363.4799779182,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$XLpilot,4.6674282895,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$and-again,87.4345512797,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$at-sanity,830.7795637742,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$day-test-uswest2d,21.729032256,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$daylily-1773057991,96.9647840438,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$daylily-1773059211,118.6950547782,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$daylily-demo-cluster,22.6138599602,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$dec215-0426,0.0,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$dec219-cluster,566.1391136468,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$dra-enabled,917.8722544321,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$dra-test2,0.1023229646,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$dra-test4,28.8278740925,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$fk-260509-use,1824.3304427752,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$ifx-go,797.3872363862,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$jemx2,2.023701266,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$lsbio-fork-260509-124701,200.6744907908,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$majors-cluster,179.9246578893,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$may26-d,3688.6922326333,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$mk-gotime,0.0,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$mk-gotime3,567.1078610703,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$mk426dec215,0.0,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$mkdec219,0.0,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$pilot-largecluster,474.7814166674,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$pilot-mk,390.5892564186,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$test-del-me,21.729032256,True
2026-05-01,2026-05-21,parallelcluster:cluster-name$y260609-frz,30.9957087814,True
