period_start,period_end,key,amount_usd,estimated
2026-02-20,2026-02-21,TOTAL,1674.3438140501,False
2026-02-21,2026-02-22,TOTAL,1138.4790355134,False
2026-02-22,2026-02-23,TOTAL,1160.678069965,False
2026-02-23,2026-02-24,TOTAL,610.0417786474,False
2026-02-24,2026-02-25,TOTAL,969.5946218843,False
2026-02-25,2026-02-26,TOTAL,290.1580970975,False
2026-02-26,2026-02-27,TOTAL,199.4880234811,False
2026-02-27,2026-02-28,TOTAL,67.3770680271,False
2026-02-28,2026-03-01,TOTAL,68.3254517348,False
2026-03-01,2026-03-02,TOTAL,193.9502875672,False
2026-03-02,2026-03-03,TOTAL,65.0788609489,False
2026-03-03,2026-03-04,TOTAL,70.1571920029,False
2026-03-04,2026-03-05,TOTAL,71.6836127127,False
2026-03-05,2026-03-06,TOTAL,71.7316749471,False
2026-03-06,2026-03-07,TOTAL,71.7709257224,False
2026-03-07,2026-03-08,TOTAL,71.7651869826,False
2026-03-08,2026-03-09,TOTAL,72.8027618256,False
2026-03-09,2026-03-10,TOTAL,83.6989196981,False
2026-03-10,2026-03-11,TOTAL,145.5679191385,False
2026-03-11,2026-03-12,TOTAL,102.9164634377,False
2026-03-12,2026-03-13,TOTAL,103.2825667701,False
2026-03-13,2026-03-14,TOTAL,97.3873631651,False
2026-03-14,2026-03-15,TOTAL,95.8202091443,False
2026-03-15,2026-03-16,TOTAL,95.7904170299,False
2026-03-16,2026-03-17,TOTAL,95.8715072027,False
2026-03-17,2026-03-18,TOTAL,95.8304236758,False
2026-03-18,2026-03-19,TOTAL,95.8311465036,False
2026-03-19,2026-03-20,TOTAL,100.4345491753,False
2026-03-20,2026-03-21,TOTAL,104.1806212097,False
2026-03-21,2026-03-22,TOTAL,97.9794466119,False
2026-03-22,2026-03-23,TOTAL,114.8492550719,False
2026-03-23,2026-03-24,TOTAL,180.9323734648,False
2026-03-24,2026-03-25,TOTAL,176.619050976,False
2026-03-25,2026-03-26,TOTAL,608.0615636326,False
2026-03-26,2026-03-27,TOTAL,201.5599950017,False
2026-03-27,2026-03-28,TOTAL,196.5907904042,False
2026-03-28,2026-03-29,TOTAL,190.4036946896,False
2026-03-29,2026-03-30,TOTAL,190.3986341026,False
2026-03-30,2026-03-31,TOTAL,190.4014022432,False
2026-03-31,2026-04-01,TOTAL,191.4912851588,False
2026-04-01,2026-04-02,TOTAL,599.2572777988,False
2026-04-02,2026-04-03,TOTAL,195.2752449142,False
2026-04-03,2026-04-04,TOTAL,195.0188839844,False
2026-04-04,2026-04-05,TOTAL,197.5950310458,False
2026-04-05,2026-04-06,TOTAL,191.1430886441,False
2026-04-06,2026-04-07,TOTAL,192.1050020363,False
2026-04-07,2026-04-08,TOTAL,215.7143818096,False
2026-04-08,2026-04-09,TOTAL,214.1791173602,False
2026-04-09,2026-04-10,TOTAL,242.3469644209,False
2026-04-10,2026-04-11,TOTAL,247.4067000262,False
2026-04-11,2026-04-12,TOTAL,222.3324264828,False
2026-04-12,2026-04-13,TOTAL,242.372722008,False
2026-04-13,2026-04-14,TOTAL,268.0962336175,False
2026-04-14,2026-04-15,TOTAL,264.039982054,False
2026-04-15,2026-04-16,TOTAL,247.6531592272,False
2026-04-16,2026-04-17,TOTAL,235.8924555423,False
2026-04-17,2026-04-18,TOTAL,237.3538089001,False
2026-04-18,2026-04-19,TOTAL,229.7121937702,False
2026-04-19,2026-04-20,TOTAL,229.7104935678,False
2026-04-20,2026-04-21,TOTAL,238.3412576404,False
2026-04-21,2026-04-22,TOTAL,440.6957864443,False
2026-04-22,2026-04-23,TOTAL,444.9507542779,False
2026-04-23,2026-04-24,TOTAL,482.0407237317,False
2026-04-24,2026-04-25,TOTAL,584.4652819126,False
2026-04-25,2026-04-26,TOTAL,568.6961549368,False
2026-04-26,2026-04-27,TOTAL,350.4553882403,False
2026-04-27,2026-04-28,TOTAL,408.486864102,False
2026-04-28,2026-04-29,TOTAL,415.0258304767,False
2026-04-29,2026-04-30,TOTAL,361.0806490098,False
2026-04-30,2026-05-01,TOTAL,373.1037485836,False
2026-05-01,2026-05-02,TOTAL,803.0209366198,True
2026-05-02,2026-05-03,TOTAL,360.2920230556,True
2026-05-03,2026-05-04,TOTAL,369.5702550135,True
2026-05-04,2026-05-05,TOTAL,685.5874917445,True
2026-05-05,2026-05-06,TOTAL,459.7000023254,True
2026-05-06,2026-05-07,TOTAL,461.4276462953,True
2026-05-07,2026-05-08,TOTAL,524.3568022305,True
2026-05-08,2026-05-09,TOTAL,416.3091384317,True
2026-05-09,2026-05-10,TOTAL,487.493774283,True
2026-05-10,2026-05-11,TOTAL,438.8090797762,True
2026-05-11,2026-05-12,TOTAL,1375.3300397647,True
2026-05-12,2026-05-13,TOTAL,673.4869260596,True
2026-05-13,2026-05-14,TOTAL,717.1755171683,True
2026-05-14,2026-05-15,TOTAL,559.1814416707,True
2026-05-15,2026-05-16,TOTAL,648.6602682956,True
2026-05-16,2026-05-17,TOTAL,1594.4994836389,True
2026-05-17,2026-05-18,TOTAL,1010.3043171519,True
2026-05-18,2026-05-19,TOTAL,1850.5499244085,True
2026-05-19,2026-05-20,TOTAL,634.68597765,True
2026-05-20,2026-05-21,TOTAL,1214.9288657711,True
