arn,cluster_or_stack_present,console_url,created_at,details,id,kind,name,name_present,project_present,region,service,state,tag_count,tag_keys,tag_status,tags
,False,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#InstanceDetails:instanceId=i-071ccd80c69969d92,2026-05-15T23:02:28.000Z,"{'instance_type': 't3.micro', 'launch_time': '2026-05-15T23:02:28.000Z'}",i-071ccd80c69969d92,ec2_instance,terrarium-dev-tailscale-router,True,True,us-west-2,EC2,running,3,"['Environment', 'Name', 'Project']",missing_cluster_or_stack,"{'Environment': 'dev', 'Name': 'terrarium-dev-tailscale-router', 'Project': 'terrarium'}"
,False,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#InstanceDetails:instanceId=i-09f66b3f11ea42c60,2026-05-18T17:12:05.000Z,"{'instance_type': 't3.small', 'launch_time': '2026-05-18T17:12:05.000Z'}",i-09f66b3f11ea42c60,ec2_instance,labplatform-mvp,True,False,us-west-2,EC2,running,1,['Name'],missing_project,{'Name': 'labplatform-mvp'}
,False,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#InstanceDetails:instanceId=i-03a38912d7d651f1a,2026-05-18T21:32:41.000Z,"{'instance_type': 't3.micro', 'launch_time': '2026-05-18T21:32:41.000Z'}",i-03a38912d7d651f1a,ec2_instance,terrarium-prod-tailscale-router,True,True,us-west-2,EC2,running,3,"['Environment', 'Name', 'Project']",missing_cluster_or_stack,"{'Environment': 'prod', 'Name': 'terrarium-prod-tailscale-router', 'Project': 'terrarium'}"
,True,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#VolumeDetails:volumeId=vol-067169329e7a92af1,2026-02-13T01:27:46.182Z,"{'attachments': 0, 'size_gib': 421, 'volume_type': 'gp3'}",vol-067169329e7a92af1,ebs_volume,vol-067169329e7a92af1,False,True,us-west-2,EBS,available,10,"['aws-parallelcluster-clustername', 'aws-parallelcluster-daylily-git-deets', 'aws-parallelcluster-enforce-budget', 'aws-parallelcluster-jobid', 'aws-parallelcluster-monitor-bucket', 'aws-parallelcluster-project', 'aws-parallelcluster-username', 'parallelcluster:cluster-name', 'parallelcluster:node-type', 'parallelcluster:version']",missing_name,"{'aws-parallelcluster-clustername': 'day-test-uswest2d', 'aws-parallelcluster-daylily-git-deets': 'none', 'aws-parallelcluster-enforce-budget': 'true', 'aws-parallelcluster-jobid': 'aws_profile-daylily-service-lsmc', 'aws-parallelcluster-monitor-bucket': 's3://lsmc-dayoa-omics-analysis-us-west-2', 'aws-parallelcluster-project': 'day-test-uswest2d', 'aws-parallelcluster-username': 'jmajor-daylily-service', 'parallelcluster:cluster-name': 'day-test-uswest2d', 'parallelcluster:node-type': 'HeadNode', 'parallelcluster:version': '3.13.2'}"
,True,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#VolumeDetails:volumeId=vol-0f5e5d7eec5982fa8,2026-04-15T15:01:59.958Z,"{'attachments': 0, 'size_gib': 421, 'volume_type': 'gp3'}",vol-0f5e5d7eec5982fa8,ebs_volume,vol-0f5e5d7eec5982fa8,False,True,us-west-2,EBS,available,10,"['aws-parallelcluster-clustername', 'aws-parallelcluster-daylily-git-deets', 'aws-parallelcluster-enforce-budget', 'aws-parallelcluster-jobid', 'aws-parallelcluster-monitor-bucket', 'aws-parallelcluster-project', 'aws-parallelcluster-username', 'parallelcluster:cluster-name', 'parallelcluster:node-type', 'parallelcluster:version']",missing_name,"{'aws-parallelcluster-clustername': 'test-del-me', 'aws-parallelcluster-daylily-git-deets': 'none', 'aws-parallelcluster-enforce-budget': 'skip', 'aws-parallelcluster-jobid': 'aws_profile-lsmc', 'aws-parallelcluster-monitor-bucket': 's3://lsmc-dayoa-omics-analysis-us-west-2', 'aws-parallelcluster-project': 'test-del-me', 'aws-parallelcluster-username': 'jmajor-root', 'parallelcluster:cluster-name': 'test-del-me', 'parallelcluster:node-type': 'HeadNode', 'parallelcluster:version': '3.13.2'}"
,True,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#VolumeDetails:volumeId=vol-0c90d4fbaada3820a,2026-03-23T02:15:51.287Z,"{'attachments': 0, 'size_gib': 421, 'volume_type': 'gp3'}",vol-0c90d4fbaada3820a,ebs_volume,vol-0c90d4fbaada3820a,False,True,us-west-2,EBS,available,10,"['aws-parallelcluster-clustername', 'aws-parallelcluster-daylily-git-deets', 'aws-parallelcluster-enforce-budget', 'aws-parallelcluster-jobid', 'aws-parallelcluster-monitor-bucket', 'aws-parallelcluster-project', 'aws-parallelcluster-username', 'parallelcluster:cluster-name', 'parallelcluster:node-type', 'parallelcluster:version']",missing_name,"{'aws-parallelcluster-clustername': 'ifx-go', 'aws-parallelcluster-daylily-git-deets': 'none', 'aws-parallelcluster-enforce-budget': 'skip', 'aws-parallelcluster-jobid': 'aws_profile-daylily-service-lsmc', 'aws-parallelcluster-monitor-bucket': 's3://lsmc-dayoa-omics-analysis-us-west-2', 'aws-parallelcluster-project': 'ifx-go', 'aws-parallelcluster-username': 'jmajor-daylily-service', 'parallelcluster:cluster-name': 'ifx-go', 'parallelcluster:node-type': 'HeadNode', 'parallelcluster:version': '3.13.2'}"
,True,https://us-west-2.console.aws.amazon.com/ec2/home?region=us-west-2#VolumeDetails:volumeId=vol-042a5f5daead20490,2026-03-09T12:58:18.599Z,"{'attachments': 0, 'size_gib': 421, 'volume_type': 'gp3'}",vol-042a5f5daead20490,ebs_volume,vol-042a5f5daead20490,False,True,us-west-2,EBS,available,10,"['aws-parallelcluster-clustername', 'aws-parallelcluster-daylily-git-deets', 'aws-parallelcluster-enforce-budget', 'aws-parallelcluster-jobid', 'aws-parallelcluster-monitor-bucket', 'aws-parallelcluster-project', 'aws-parallelcluster-username', 'parallelcluster:cluster-name', 'parallelcluster:node-type', 'parallelcluster:version']",missing_name,"{'aws-parallelcluster-clustername': 'daylily-1773059211', 'aws-parallelcluster-daylily-git-deets': 'none', 'aws-parallelcluster-enforce-budget': 'skip', 'aws-parallelcluster-jobid': 'aws_profile-lsmc', 'aws-parallelcluster-monitor-bucket': 's3://lsmc-dayoa-omics-analysis-us-west-2', 'aws-parallelcluster-project': 'daylily-1773059211', 'aws-parallelcluster-username': 'jmajor-root', 'parallelcluster:cluster-name': 'daylily-1773059211', 'parallelcluster:node-type': 'HeadNode', 'parallelcluster:version': '3.13.2'}"
,True,https://us-west-2.console.aws.amazon.com/vpcconsole/home?region=us-west-2#NatGatewayDetails:natGatewayId=nat-00f3c26e43ede9b10,2025-02-19T06:59:55.000Z,{'vpc_id': 'vpc-06b01782f2abece1c'},nat-00f3c26e43ede9b10,nat_gateway,nat-00f3c26e43ede9b10,False,False,us-west-2,VPC,available,3,"['aws:cloudformation:logical-id', 'aws:cloudformation:stack-id', 'aws:cloudformation:stack-name']",missing_project,"{'aws:cloudformation:logical-id': 'NatGateway', 'aws:cloudformation:stack-id': 'arn:aws:cloudformation:us-west-2:108782052779:stack/pcluster-vpc-stack-2d/12bfabe0-ee8f-11ef-91a4-0a3f3530209f', 'aws:cloudformation:stack-name': 'pcluster-vpc-stack-2d'}"
,False,https://us-west-2.console.aws.amazon.com/vpcconsole/home?region=us-west-2#NatGatewayDetails:natGatewayId=nat-00ac08b685fea726f,2026-02-11T21:23:34.000Z,{'vpc_id': 'vpc-06371a3d9b0e6046c'},nat-00ac08b685fea726f,nat_gateway,terrarium-prod-us-west-2a,True,True,us-west-2,VPC,available,3,"['Environment', 'Name', 'Project']",missing_cluster_or_stack,"{'Environment': 'prod', 'Name': 'terrarium-prod-us-west-2a', 'Project': 'terrarium'}"
,False,https://us-west-2.console.aws.amazon.com/vpcconsole/home?region=us-west-2#NatGatewayDetails:natGatewayId=nat-0234e77781575cced,2026-02-05T04:45:08.000Z,{'vpc_id': 'vpc-0bafd56fbe290e4e8'},nat-0234e77781575cced,nat_gateway,terrarium-dev-us-west-2a,True,True,us-west-2,VPC,available,3,"['Environment', 'Name', 'Project']",missing_cluster_or_stack,"{'Environment': 'dev', 'Name': 'terrarium-dev-us-west-2a', 'Project': 'terrarium'}"
