time_start,time_end,estimated,amount_usd,service,tag_aws_parallelcluster_clustername,tag_aws_parallelcluster_clustername_value
2026-03-16,2026-04-01,False,0.0,AWS CloudFormation,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,0.3705480431,AWS Cost Explorer,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,0.0,AWS Glue,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,1.548387072,AWS Key Management Service,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,1.63e-07,AWS Lambda,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$daylily-1773059211,daylily-1773059211
2026-03-16,2026-04-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$ifx-go,ifx-go
2026-03-16,2026-04-01,False,0.0,AWS Lambda,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-03-16,2026-04-01,False,3.0051807267,AWS Secrets Manager,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,98.2604380874,AWS Security Hub,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,0.0,AWS Service Catalog,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,1.62e-07,AWS Step Functions,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,10.866514104,AWS WAF,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,0.0,AWS X-Ray,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,3.50307e-05,Amazon CloudFront,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,0.0,Amazon Cognito,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,4.84732e-05,Amazon DynamoDB,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,0.0033601875,Amazon DynamoDB,aws-parallelcluster-clustername$daylily-1773059211,daylily-1773059211
2026-03-16,2026-04-01,False,0.0005545625,Amazon DynamoDB,aws-parallelcluster-clustername$ifx-go,ifx-go
2026-03-16,2026-04-01,False,0.002778875,Amazon DynamoDB,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-03-16,2026-04-01,False,0.1777561881,Amazon EC2 Container Registry (ECR),aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,343.0049436888,EC2 - Other,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,17.3832258048,EC2 - Other,aws-parallelcluster-clustername$day-test-uswest2d,day-test-uswest2d
2026-03-16,2026-04-01,False,17.4605694589,EC2 - Other,aws-parallelcluster-clustername$daylily-1773059211,daylily-1773059211
2026-03-16,2026-04-01,False,9.7374197321,EC2 - Other,aws-parallelcluster-clustername$ifx-go,ifx-go
2026-03-16,2026-04-01,False,8.3765599433,EC2 - Other,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-03-16,2026-04-01,False,192.2870606995,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,67.7767003621,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$daylily-1773059211,daylily-1773059211
2026-03-16,2026-04-01,False,31.5579035033,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$ifx-go,ifx-go
2026-03-16,2026-04-01,False,452.5339002822,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-03-16,2026-04-01,False,9.4912876413,Amazon Elastic Container Service,aws-parallelcluster-clustername$,
