time_start,time_end,estimated,amount_usd,tag_aws_parallelcluster_clustername,tag_aws_parallelcluster_clustername_value
2026-03-16,2026-04-01,False,1430.4492077202,aws-parallelcluster-clustername$,
2026-03-16,2026-04-01,False,17.3832258048,aws-parallelcluster-clustername$day-test-uswest2d,day-test-uswest2d
2026-03-16,2026-04-01,False,86.7250308526,aws-parallelcluster-clustername$daylily-1773057991,daylily-1773057991
2026-03-16,2026-04-01,False,173.0625423802,aws-parallelcluster-clustername$daylily-1773059211,daylily-1773059211
2026-03-16,2026-04-01,False,428.7654140278,aws-parallelcluster-clustername$ifx-go,ifx-go
2026-03-16,2026-04-01,False,695.0503183388,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,3732.1218409717,aws-parallelcluster-clustername$,
2026-04-01,2026-05-01,False,88.6487299275,aws-parallelcluster-clustername$and-again,and-again
2026-04-01,2026-05-01,False,45.1525457917,aws-parallelcluster-clustername$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,33.680000016,aws-parallelcluster-clustername$day-test-uswest2d,day-test-uswest2d
2026-04-01,2026-05-01,False,168.0278835717,aws-parallelcluster-clustername$daylily-1773057991,daylily-1773057991
2026-04-01,2026-05-01,False,201.7078845406,aws-parallelcluster-clustername$daylily-1773059211,daylily-1773059211
2026-04-01,2026-05-01,False,49.9288700111,aws-parallelcluster-clustername$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,261.1381192921,aws-parallelcluster-clustername$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,1377.7494923,aws-parallelcluster-clustername$ifx-go,ifx-go
2026-04-01,2026-05-01,False,687.0709572809,aws-parallelcluster-clustername$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,276.2825767926,aws-parallelcluster-clustername$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,50.8109184558,aws-parallelcluster-clustername$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,93.4294675478,aws-parallelcluster-clustername$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,432.6906184103,aws-parallelcluster-clustername$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,5.8352330051,aws-parallelcluster-clustername$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,1283.9178601332,aws-parallelcluster-clustername$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,169.4985535496,aws-parallelcluster-clustername$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,143.1968127244,aws-parallelcluster-clustername$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,32.7451569968,aws-parallelcluster-clustername$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,33.5036086645,aws-parallelcluster-clustername$mkdec219,mkdec219
2026-04-01,2026-05-01,False,167.4104765831,aws-parallelcluster-clustername$test-del-me,test-del-me
2026-05-01,2026-06-01,False,8618.371768077,aws-parallelcluster-clustername$,
2026-05-01,2026-06-01,False,795.0533565625,aws-parallelcluster-clustername$XL-pilot,XL-pilot
2026-05-01,2026-06-01,False,4.6674282895,aws-parallelcluster-clustername$XLpilot,XLpilot
2026-05-01,2026-06-01,False,87.4345512797,aws-parallelcluster-clustername$and-again,and-again
2026-05-01,2026-06-01,False,830.7795637742,aws-parallelcluster-clustername$at-sanity,at-sanity
2026-05-01,2026-06-01,False,98.5684110464,aws-parallelcluster-clustername$blahab44,blahab44
2026-05-01,2026-06-01,False,0.0002945726,aws-parallelcluster-clustername$bucketsamok,bucketsamok
2026-05-01,2026-06-01,False,33.6799999968,aws-parallelcluster-clustername$day-test-uswest2d,day-test-uswest2d
2026-05-01,2026-06-01,False,96.9647840438,aws-parallelcluster-clustername$daylily-1773057991,daylily-1773057991
2026-05-01,2026-06-01,False,130.646022519,aws-parallelcluster-clustername$daylily-1773059211,daylily-1773059211
2026-05-01,2026-06-01,False,22.6138599602,aws-parallelcluster-clustername$daylily-demo-cluster,daylily-demo-cluster
2026-05-01,2026-06-01,False,0.0,aws-parallelcluster-clustername$dec215-0426,dec215-0426
2026-05-01,2026-06-01,False,566.1391136468,aws-parallelcluster-clustername$dec219-cluster,dec219-cluster
2026-05-01,2026-06-01,False,1047.2821618849,aws-parallelcluster-clustername$dra-enabled,dra-enabled
2026-05-01,2026-06-01,False,0.1023229646,aws-parallelcluster-clustername$dra-test2,dra-test2
2026-05-01,2026-06-01,False,28.8278740925,aws-parallelcluster-clustername$dra-test4,dra-test4
2026-05-01,2026-06-01,False,50.2465486853,aws-parallelcluster-clustername$dyec-515,dyec-515
2026-05-01,2026-06-01,False,727.2864869703,aws-parallelcluster-clustername$dyec-test,dyec-test
2026-05-01,2026-06-01,False,1824.3304427752,aws-parallelcluster-clustername$fk-260509-use,fk-260509-use
2026-05-01,2026-06-01,False,184.9929578226,aws-parallelcluster-clustername$fork-fixer,fork-fixer
2026-05-01,2026-06-01,False,188.631302664,aws-parallelcluster-clustername$goodole3,goodole3
2026-05-01,2026-06-01,False,1879.232834037,aws-parallelcluster-clustername$hyb-hg003,hyb-hg003
2026-05-01,2026-06-01,False,809.338204127,aws-parallelcluster-clustername$ifx-go,ifx-go
2026-05-01,2026-06-01,False,0.3245564892,aws-parallelcluster-clustername$jem-bucktst1,jem-bucktst1
2026-05-01,2026-06-01,False,0.3168990601,aws-parallelcluster-clustername$jem-bucktst2,jem-bucktst2
2026-05-01,2026-06-01,False,42.992503263,aws-parallelcluster-clustername$jem-bucktst3,jem-bucktst3
2026-05-01,2026-06-01,False,2.023701266,aws-parallelcluster-clustername$jemx2,jemx2
2026-05-01,2026-06-01,False,200.6744907908,aws-parallelcluster-clustername$lsbio-fork-260509-124701,lsbio-fork-260509-124701
2026-05-01,2026-06-01,False,180.6633933265,aws-parallelcluster-clustername$majors-cluster,majors-cluster
2026-05-01,2026-06-01,False,3688.6922326333,aws-parallelcluster-clustername$may26-d,may26-d
2026-05-01,2026-06-01,False,0.0,aws-parallelcluster-clustername$mk-gotime,mk-gotime
2026-05-01,2026-06-01,False,567.1078610703,aws-parallelcluster-clustername$mk-gotime3,mk-gotime3
2026-05-01,2026-06-01,False,0.0,aws-parallelcluster-clustername$mk426dec215,mk426dec215
2026-05-01,2026-06-01,False,0.0,aws-parallelcluster-clustername$mkdec219,mkdec219
2026-05-01,2026-06-01,False,474.7814166674,aws-parallelcluster-clustername$pilot-largecluster,pilot-largecluster
2026-05-01,2026-06-01,False,390.5892564186,aws-parallelcluster-clustername$pilot-mk,pilot-mk
2026-05-01,2026-06-01,False,127.0684806665,aws-parallelcluster-clustername$pilot-xfer,pilot-xfer
2026-05-01,2026-06-01,False,5.8399172406,aws-parallelcluster-clustername$splitdra-ref-20260526,splitdra-ref-20260526
2026-05-01,2026-06-01,False,2.939505901,aws-parallelcluster-clustername$splitdra-smoke-20260526,splitdra-smoke-20260526
2026-05-01,2026-06-01,False,0.260619677,aws-parallelcluster-clustername$test-clstr,test-clstr
2026-05-01,2026-06-01,False,33.6799999968,aws-parallelcluster-clustername$test-del-me,test-del-me
2026-05-01,2026-06-01,False,41.0164617317,aws-parallelcluster-clustername$tstClu-4-1-1c,tstClu-4-1-1c
