time_start,time_end,estimated,amount_usd,tag_aws_parallelcluster_project,tag_aws_parallelcluster_project_value
2026-03-16,2026-04-01,False,1503.2896162725,aws-parallelcluster-project$,
2026-03-16,2026-04-01,False,17.3832258048,aws-parallelcluster-project$day-test-uswest2d,day-test-uswest2d
2026-03-16,2026-04-01,False,86.7250308526,aws-parallelcluster-project$daylily-1773057991,daylily-1773057991
2026-03-16,2026-04-01,False,149.0701092738,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-03-16,2026-04-01,False,318.0398461988,aws-parallelcluster-project$daylily-global,daylily-global
2026-03-16,2026-04-01,False,404.0330577682,aws-parallelcluster-project$ifx-go,ifx-go
2026-03-16,2026-04-01,False,352.8948529537,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,3971.7850186364,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,88.6487299275,aws-parallelcluster-project$and-again,and-again
2026-04-01,2026-05-01,False,40.0742788267,aws-parallelcluster-project$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,33.680000016,aws-parallelcluster-project$day-test-uswest2d,day-test-uswest2d
2026-04-01,2026-05-01,False,168.0278835717,aws-parallelcluster-project$daylily-1773057991,daylily-1773057991
2026-04-01,2026-05-01,False,201.7078845406,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-04-01,2026-05-01,False,71.4649829398,aws-parallelcluster-project$daylily-global,daylily-global
2026-04-01,2026-05-01,False,49.9288700111,aws-parallelcluster-project$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,255.1436947725,aws-parallelcluster-project$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,1377.7494923,aws-parallelcluster-project$ifx-go,ifx-go
2026-04-01,2026-05-01,False,685.8422705425,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,276.2825767926,aws-parallelcluster-project$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,50.8109184558,aws-parallelcluster-project$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,93.4294675478,aws-parallelcluster-project$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,432.6906184103,aws-parallelcluster-project$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,5.8352330051,aws-parallelcluster-project$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,985.0910777517,aws-parallelcluster-project$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,169.4985535496,aws-parallelcluster-project$mk-majors-cluster,mk-majors-cluster
