time_start,time_end,estimated,amount_usd,usage_type
2026-03-16,2026-04-01,False,1e-05,AFS1-AWSSecretsManagerAPIRequest
2026-03-16,2026-04-01,False,0.0,AFS1-Catalog-Request
2026-03-16,2026-04-01,False,0.0,AFS1-DataTransfer-In-Bytes
2026-03-16,2026-04-01,False,0.0,AFS1-DataTransfer-Out-Bytes
2026-03-16,2026-04-01,False,0.0,AFS1-EC2-free-metering
2026-03-16,2026-04-01,False,0.0,AFS1-ECR-free-metering
2026-03-16,2026-04-01,False,0.049495,AFS1-EventsAnalyzed
2026-03-16,2026-04-01,False,0.0,AFS1-Lambda-Standard-free-metering
2026-03-16,2026-04-01,False,0.0,AFS1-OtherProduct:PaidFindingsIngestion
2026-03-16,2026-04-01,False,0.0,AFS1-Requests-Tier1
2026-03-16,2026-04-01,False,0.00144,AFS1-Requests-Tier8
2026-03-16,2026-04-01,False,0.0,AFS1-SC-API-Calls
2026-03-16,2026-04-01,False,0.0,AFS1-SecurityHubProduct:FreeFindingsIngestion
2026-03-16,2026-04-01,False,0.000192,AFS1-Tables-Requests-Tier1
2026-03-16,2026-04-01,False,1e-05,APE1-AWSSecretsManagerAPIRequest
2026-03-16,2026-04-01,False,0.0,APE1-Catalog-Request
2026-03-16,2026-04-01,False,0.0,APE1-DataTransfer-In-Bytes
2026-03-16,2026-04-01,False,0.0,APE1-DataTransfer-Out-Bytes
2026-03-16,2026-04-01,False,0.0,APE1-EC2-free-metering
2026-03-16,2026-04-01,False,0.0,APE1-ECR-free-metering
2026-03-16,2026-04-01,False,0.05215584,APE1-EventsAnalyzed
2026-03-16,2026-04-01,False,0.0,APE1-Lambda-Standard-free-metering
2026-03-16,2026-04-01,False,0.0,APE1-OtherProduct:PaidFindingsIngestion
2026-03-16,2026-04-01,False,0.0,APE1-Requests-Tier1
2026-03-16,2026-04-01,False,0.00144,APE1-Requests-Tier8
2026-03-16,2026-04-01,False,0.0,APE1-SC-API-Calls
2026-03-16,2026-04-01,False,0.0,APE1-SecurityHubProduct:FreeFindingsIngestion
2026-03-16,2026-04-01,False,0.00016,APE1-Tables-Requests-Tier1
2026-03-16,2026-04-01,False,0.000155,APN1-AWSSecretsManagerAPIRequest
