time_start,time_end,estimated,amount_usd,service,operation
2026-03-21,2026-04-01,False,0.0,AWS CloudFormation,ProcessResourceHandlers
2026-03-21,2026-04-01,False,0.2686503011,AWS Cost Explorer,CostDataStorage
2026-03-21,2026-04-01,False,0.0,AWS Glue,Request
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,CreateGrant
2026-03-21,2026-04-01,False,1.064516112,AWS Key Management Service,CurrentKeys
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,Decrypt
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,DescribeKey
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,GenerateDataKey
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,GetKeyPolicy
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,GetKeyRotationStatus
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ListAliases
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ListGrants
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ListKeys
2026-03-21,2026-04-01,False,0.0,AWS Key Management Service,ListResourceTags
2026-03-21,2026-04-01,False,1.63e-07,AWS Lambda,Invoke
2026-03-21,2026-04-01,False,2.5e-05,AWS Secrets Manager,CreateSecret
2026-03-21,2026-04-01,False,4.5e-05,AWS Secrets Manager,DeleteSecret
2026-03-21,2026-04-01,False,0.000165,AWS Secrets Manager,DescribeSecret
2026-03-21,2026-04-01,False,2e-05,AWS Secrets Manager,GetRandomPassword
2026-03-21,2026-04-01,False,2.5e-05,AWS Secrets Manager,GetResourcePolicy
2026-03-21,2026-04-01,False,0.01933,AWS Secrets Manager,GetSecretValue
2026-03-21,2026-04-01,False,0.002015,AWS Secrets Manager,ListSecrets
2026-03-21,2026-04-01,False,2.5e-05,AWS Secrets Manager,PutSecretValue
2026-03-21,2026-04-01,False,1.9311776787,AWS Secrets Manager,SecretUsage
2026-03-21,2026-04-01,False,6.01593204,AWS Security Hub,GuardDuty-CloudTrailEvents
2026-03-21,2026-04-01,False,0.0009939518,AWS Security Hub,GuardDuty-LambdaNetworkLogs
2026-03-21,2026-04-01,False,0.0406197,AWS Security Hub,GuardDuty-S3DataEvents
2026-03-21,2026-04-01,False,0.0905175712,AWS Security Hub,GuardDuty-VPCFlowLogsDNSLogs
2026-03-21,2026-04-01,False,81.0777745,AWS Security Hub,NoOperation
2026-03-21,2026-04-01,False,0.99907992,AWS Security Hub,aws-partition
2026-03-21,2026-04-01,False,0.0,AWS Service Catalog,SC-API-Call
2026-03-21,2026-04-01,False,1.62e-07,AWS Step Functions,Unknown
2026-03-21,2026-04-01,False,0.0197256,AWS WAF,ALB
2026-03-21,2026-04-01,False,2.129032224,AWS WAF,RuleV2
2026-03-21,2026-04-01,False,5.32258056,AWS WAF,WebACLV2
2026-03-21,2026-04-01,False,0.0,AWS X-Ray,nil
2026-03-21,2026-04-01,False,0.0,Amazon CloudFront,GET
2026-03-21,2026-04-01,False,2.13635e-05,Amazon CloudFront,POST
2026-03-21,2026-04-01,False,0.0,Amazon Cognito,CognitoEssentialsOperation
