time_start,time_end,estimated,amount_usd,service,tag_aws_parallelcluster_project,tag_aws_parallelcluster_project_value
2026-03-21,2026-04-01,False,0.0,AWS CloudFormation,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.2686503011,AWS Cost Explorer,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.0,AWS Glue,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,1.064516112,AWS Key Management Service,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,1.63e-07,AWS Lambda,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.0,AWS Lambda,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-03-21,2026-04-01,False,0.0,AWS Lambda,aws-parallelcluster-project$ifx-go,ifx-go
2026-03-21,2026-04-01,False,0.0,AWS Lambda,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-03-21,2026-04-01,False,1.9528276787,AWS Secrets Manager,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,88.224917683,AWS Security Hub,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.0,AWS Service Catalog,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,1.62e-07,AWS Step Functions,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,7.471338384,AWS WAF,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.0,AWS X-Ray,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,2.13635e-05,Amazon CloudFront,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.0,Amazon Cognito,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,3.27863e-05,Amazon DynamoDB,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.0015549375,Amazon DynamoDB,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-03-21,2026-04-01,False,0.0005545625,Amazon DynamoDB,aws-parallelcluster-project$ifx-go,ifx-go
2026-03-21,2026-04-01,False,0.002778875,Amazon DynamoDB,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-03-21,2026-04-01,False,0.1231504824,Amazon EC2 Container Registry (ECR),aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,246.802850512,EC2 - Other,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,11.9509677408,EC2 - Other,aws-parallelcluster-project$day-test-uswest2d,day-test-uswest2d
2026-03-21,2026-04-01,False,12.0197083729,EC2 - Other,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-03-21,2026-04-01,False,0.0,EC2 - Other,aws-parallelcluster-project$daylily-global,daylily-global
2026-03-21,2026-04-01,False,9.7374197321,EC2 - Other,aws-parallelcluster-project$ifx-go,ifx-go
2026-03-21,2026-04-01,False,8.3765599433,EC2 - Other,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-03-21,2026-04-01,False,207.2005205675,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,20.744267092,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-03-21,2026-04-01,False,316.3945461988,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$daylily-global,daylily-global
2026-03-21,2026-04-01,False,6.8255472437,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$ifx-go,ifx-go
2026-03-21,2026-04-01,False,110.3784348971,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-03-21,2026-04-01,False,6.5211423895,Amazon Elastic Container Service,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,17.8235367274,Amazon Elastic Load Balancing,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,59.6234601975,Amazon FSx,aws-parallelcluster-project$daylily-1773057991,daylily-1773057991
2026-03-21,2026-04-01,False,59.6234630095,Amazon FSx,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-03-21,2026-04-01,False,386.7889917799,Amazon FSx,aws-parallelcluster-project$ifx-go,ifx-go
2026-03-21,2026-04-01,False,232.7772472983,Amazon FSx,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-03-21,2026-04-01,False,2.41e-07,Amazon Glacier,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,4.0483168403,Amazon GuardDuty,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.0,Amazon Inspector,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,142.5877785492,Amazon Relational Database Service,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,1.0609576,Amazon Route 53,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.5,Amazon Route 53,aws-parallelcluster-project$ifx-go,ifx-go
2026-03-21,2026-04-01,False,0.5,Amazon Route 53,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-03-21,2026-04-01,False,0.0,Amazon Simple Notification Service,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.0,Amazon Simple Queue Service,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,333.991371299,Amazon Simple Storage Service,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,41.463882133,Amazon Virtual Private Cloud,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.49687639,Amazon Virtual Private Cloud,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-03-21,2026-04-01,False,0.18054445,Amazon Virtual Private Cloud,aws-parallelcluster-project$ifx-go,ifx-go
2026-03-21,2026-04-01,False,0.85983194,Amazon Virtual Private Cloud,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-03-21,2026-04-01,False,0.8989247215,AmazonCloudWatch,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-03-21,2026-04-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$ifx-go,ifx-go
2026-03-21,2026-04-01,False,0.0,AmazonCloudWatch,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-03-21,2026-04-01,False,0.0,CloudWatch Events,aws-parallelcluster-project$,
2026-03-21,2026-04-01,False,0.0,Tax,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.0,AWS Certificate Manager,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.0,AWS CloudFormation,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.9391166236,AWS Cost Explorer,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.0,AWS Glue,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,3.000000024,AWS Key Management Service,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,1.3567e-06,AWS Lambda,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$and-again,and-again
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$mkdec219,mkdec219
2026-04-01,2026-05-01,False,0.0,AWS Lambda,aws-parallelcluster-project$test-del-me,test-del-me
2026-04-01,2026-05-01,False,4.4352410308,AWS Secrets Manager,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,91.6659815437,AWS Security Hub,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.0,AWS Service Catalog,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,1.8823e-06,AWS Step Functions,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,261.0595463814,AWS Support (Developer),aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,8.0212293499,AWS WAF,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,1.282e-07,Amazon CloudFront,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.14175,Amazon Cognito,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.0001662146,Amazon DynamoDB,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.000873125,Amazon DynamoDB,aws-parallelcluster-project$and-again,and-again
2026-04-01,2026-05-01,False,0.0003986875,Amazon DynamoDB,aws-parallelcluster-project$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,0.00049075,Amazon DynamoDB,aws-parallelcluster-project$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,0.0010585625,Amazon DynamoDB,aws-parallelcluster-project$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,0.0052024375,Amazon DynamoDB,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,0.0027385,Amazon DynamoDB,aws-parallelcluster-project$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,0.000709875,Amazon DynamoDB,aws-parallelcluster-project$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,0.001197375,Amazon DynamoDB,aws-parallelcluster-project$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,0.002653125,Amazon DynamoDB,aws-parallelcluster-project$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,2.5e-05,Amazon DynamoDB,aws-parallelcluster-project$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,0.0047876875,Amazon DynamoDB,aws-parallelcluster-project$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,0.00148675,Amazon DynamoDB,aws-parallelcluster-project$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,0.001225375,Amazon DynamoDB,aws-parallelcluster-project$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,0.000320875,Amazon DynamoDB,aws-parallelcluster-project$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,0.000328375,Amazon DynamoDB,aws-parallelcluster-project$mkdec219,mkdec219
2026-04-01,2026-05-01,False,0.00198525,Amazon DynamoDB,aws-parallelcluster-project$test-del-me,test-del-me
2026-04-01,2026-05-01,False,0.4761489983,Amazon EC2 Container Registry (ECR),aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,496.9024657122,EC2 - Other,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,2.7641490277,EC2 - Other,aws-parallelcluster-project$and-again,and-again
2026-04-01,2026-05-01,False,1.1543013631,EC2 - Other,aws-parallelcluster-project$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,33.680000016,EC2 - Other,aws-parallelcluster-project$day-test-uswest2d,day-test-uswest2d
2026-04-01,2026-05-01,False,33.680000016,EC2 - Other,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-04-01,2026-05-01,False,0.0,EC2 - Other,aws-parallelcluster-project$daylily-global,daylily-global
2026-04-01,2026-05-01,False,1.5322169349,EC2 - Other,aws-parallelcluster-project$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,3.3546384529,EC2 - Other,aws-parallelcluster-project$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,33.680000016,EC2 - Other,aws-parallelcluster-project$ifx-go,ifx-go
2026-04-01,2026-05-01,False,16.1767584902,EC2 - Other,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,8.5388126587,EC2 - Other,aws-parallelcluster-project$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,2.2257307142,EC2 - Other,aws-parallelcluster-project$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,3.7278275626,EC2 - Other,aws-parallelcluster-project$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,8.2574216003,EC2 - Other,aws-parallelcluster-project$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.0832865389,EC2 - Other,aws-parallelcluster-project$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,12.3149799095,EC2 - Other,aws-parallelcluster-project$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,4.6259024631,EC2 - Other,aws-parallelcluster-project$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,3.8137899955,EC2 - Other,aws-parallelcluster-project$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,1.0013924308,EC2 - Other,aws-parallelcluster-project$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,1.0245884681,EC2 - Other,aws-parallelcluster-project$mkdec219,mkdec219
2026-04-01,2026-05-01,False,17.2652436579,EC2 - Other,aws-parallelcluster-project$test-del-me,test-del-me
2026-04-01,2026-05-01,False,799.9969371783,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,30.8063493604,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$and-again,and-again
2026-04-01,2026-05-01,False,15.710060372,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,71.4649829398,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$daylily-global,daylily-global
2026-04-01,2026-05-01,False,17.2748519491,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,91.7855807652,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,182.6103302656,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,96.0536220119,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,24.8221262516,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,42.1185872962,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,93.3639630042,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.8827353572,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,427.8351758835,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,52.2795210083,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,43.0915802438,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,11.2756348941,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,11.5331790698,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$mkdec219,mkdec219
2026-04-01,2026-05-01,False,25.4197867495,Amazon Elastic Compute Cloud - Compute,aws-parallelcluster-project$test-del-me,test-del-me
2026-04-01,2026-05-01,False,35.5698970163,Amazon Elastic Container Service,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,4.52052e-05,Amazon Elastic File System,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,18.9681630235,Amazon Elastic Load Balancing,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,54.6837431394,Amazon FSx,aws-parallelcluster-project$and-again,and-again
2026-04-01,2026-05-01,False,22.9856170141,Amazon FSx,aws-parallelcluster-project$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,168.0278835717,Amazon FSx,aws-parallelcluster-project$daylily-1773057991,daylily-1773057991
2026-04-01,2026-05-01,False,168.0278845246,Amazon FSx,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-04-01,2026-05-01,False,30.8552812071,Amazon FSx,aws-parallelcluster-project$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,159.5595350469,Amazon FSx,aws-parallelcluster-project$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,1344.069492284,Amazon FSx,aws-parallelcluster-project$ifx-go,ifx-go
2026-04-01,2026-05-01,False,484.8185571242,Amazon FSx,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,170.672417507,Amazon FSx,aws-parallelcluster-project$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,23.019969665,Amazon FSx,aws-parallelcluster-project$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,46.978085874,Amazon FSx,aws-parallelcluster-project$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,330.0815751208,Amazon FSx,aws-parallelcluster-project$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,4.857861109,Amazon FSx,aws-parallelcluster-project$mk-gotime2,mk-gotime2
2026-04-01,2026-05-01,False,543.6703939912,Amazon FSx,aws-parallelcluster-project$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,111.8916447132,Amazon FSx,aws-parallelcluster-project$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,95.6770185001,Amazon FSx,aws-parallelcluster-project$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,20.2585615719,Amazon FSx,aws-parallelcluster-project$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,20.7338238616,Amazon FSx,aws-parallelcluster-project$mkdec219,mkdec219
2026-04-01,2026-05-01,False,123.9586692557,Amazon FSx,aws-parallelcluster-project$test-del-me,test-del-me
2026-04-01,2026-05-01,False,2.6714e-06,Amazon Glacier,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,15.268142109,Amazon GuardDuty,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.0,Amazon Inspector,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,130.0,Amazon Registrar,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,497.9875161126,Amazon Relational Database Service,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,12.0503452,Amazon Route 53,aws-parallelcluster-project$,
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$and-again,and-again
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$day-ssm-e2e-20260412103613,day-ssm-e2e-20260412103613
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$dec215-0426,dec215-0426
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$dec219-cluster,dec219-cluster
2026-04-01,2026-05-01,False,0.5,Amazon Route 53,aws-parallelcluster-project$inflextion-g24,inflextion-g24
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$lsmc-20260413,lsmc-20260413
2026-04-01,2026-05-01,False,0.5,Amazon Route 53,aws-parallelcluster-project$majors-cluster,majors-cluster
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$mk-cluster,mk-cluster
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$mk-gotime,mk-gotime
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$mk-gotime3,mk-gotime3
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$mk-majors-cluster,mk-majors-cluster
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$mkdec219,mkdec219
2026-04-01,2026-05-01,False,0.1,Amazon Route 53,aws-parallelcluster-project$test-del-me,test-del-me
