time_start,time_end,estimated,amount_usd,service,tag_project,tag_project_value
2026-03-21,2026-04-01,False,0.0,AWS CloudFormation,project$,
2026-03-21,2026-04-01,False,0.2686503011,AWS Cost Explorer,project$,
2026-03-21,2026-04-01,False,0.0,AWS Glue,project$,
2026-03-21,2026-04-01,False,1.064516112,AWS Key Management Service,project$,
2026-03-21,2026-04-01,False,1.63e-07,AWS Lambda,project$,
2026-03-21,2026-04-01,False,1.9528276787,AWS Secrets Manager,project$,
2026-03-21,2026-04-01,False,88.224917683,AWS Security Hub,project$,
2026-03-21,2026-04-01,False,0.0,AWS Service Catalog,project$,
2026-03-21,2026-04-01,False,1.62e-07,AWS Step Functions,project$,
2026-03-21,2026-04-01,False,7.471338384,AWS WAF,project$,
2026-03-21,2026-04-01,False,0.0,AWS X-Ray,project$,
2026-03-21,2026-04-01,False,2.13635e-05,Amazon CloudFront,project$,
2026-03-21,2026-04-01,False,0.0,Amazon Cognito,project$,
2026-03-21,2026-04-01,False,0.0049211613,Amazon DynamoDB,project$,
2026-03-21,2026-04-01,False,0.1231504824,Amazon EC2 Container Registry (ECR),project$,
2026-03-21,2026-04-01,False,288.8875063011,EC2 - Other,project$,
2026-03-21,2026-04-01,False,661.5433159991,Amazon Elastic Compute Cloud - Compute,project$,
2026-03-21,2026-04-01,False,6.5211423895,Amazon Elastic Container Service,project$,
2026-03-21,2026-04-01,False,17.8235367274,Amazon Elastic Load Balancing,project$,
2026-03-21,2026-04-01,False,738.8131622852,Amazon FSx,project$,
2026-03-21,2026-04-01,False,2.41e-07,Amazon Glacier,project$,
2026-03-21,2026-04-01,False,4.0483168403,Amazon GuardDuty,project$,
2026-03-21,2026-04-01,False,0.0,Amazon Inspector,project$,
2026-03-21,2026-04-01,False,142.5877785492,Amazon Relational Database Service,project$,
2026-03-21,2026-04-01,False,2.0609576,Amazon Route 53,project$,
2026-03-21,2026-04-01,False,0.0,Amazon Simple Notification Service,project$,
2026-03-21,2026-04-01,False,0.0,Amazon Simple Queue Service,project$,
2026-03-21,2026-04-01,False,333.991371299,Amazon Simple Storage Service,project$,
2026-03-21,2026-04-01,False,43.001134913,Amazon Virtual Private Cloud,project$,
2026-03-21,2026-04-01,False,0.8989247215,AmazonCloudWatch,project$,
2026-03-21,2026-04-01,False,0.0,CloudWatch Events,project$,
2026-03-21,2026-04-01,False,0.0,Tax,project$,
2026-04-01,2026-05-01,False,0.0,AWS Certificate Manager,project$,
2026-04-01,2026-05-01,False,0.0,AWS CloudFormation,project$,
2026-04-01,2026-05-01,False,0.9391166236,AWS Cost Explorer,project$,
2026-04-01,2026-05-01,False,0.0,AWS Glue,project$,
2026-04-01,2026-05-01,False,3.000000024,AWS Key Management Service,project$,
2026-04-01,2026-05-01,False,1.3567e-06,AWS Lambda,project$,
2026-04-01,2026-05-01,False,4.4352410308,AWS Secrets Manager,project$,
2026-04-01,2026-05-01,False,91.6659815437,AWS Security Hub,project$,
2026-04-01,2026-05-01,False,0.0,AWS Service Catalog,project$,
2026-04-01,2026-05-01,False,1.8823e-06,AWS Step Functions,project$,
2026-04-01,2026-05-01,False,261.0595463814,AWS Support (Developer),project$,
2026-04-01,2026-05-01,False,8.0212293499,AWS WAF,project$,
2026-04-01,2026-05-01,False,1.282e-07,Amazon CloudFront,project$,
2026-04-01,2026-05-01,False,0.14175,Amazon Cognito,project$,
2026-04-01,2026-05-01,False,0.0256479646,Amazon DynamoDB,project$,
2026-04-01,2026-05-01,False,0.4761489983,Amazon EC2 Container Registry (ECR),project$,
2026-04-01,2026-05-01,False,685.8035060286,EC2 - Other,project$,
2026-04-01,2026-05-01,False,2038.3250046005,Amazon Elastic Compute Cloud - Compute,project$,
2026-04-01,2026-05-01,False,35.5698970163,Amazon Elastic Container Service,project$,
2026-04-01,2026-05-01,False,4.52052e-05,Amazon Elastic File System,project$,
2026-04-01,2026-05-01,False,18.9681630235,Amazon Elastic Load Balancing,project$,
2026-04-01,2026-05-01,False,3924.8280150815,Amazon FSx,project$,
2026-04-01,2026-05-01,False,2.6714e-06,Amazon Glacier,project$,
2026-04-01,2026-05-01,False,15.268142109,Amazon GuardDuty,project$,
2026-04-01,2026-05-01,False,0.0,Amazon Inspector,project$,
2026-04-01,2026-05-01,False,130.0,Amazon Registrar,project$,
