category,resource,region,july_cost_usd,utilization,tag_state,live_state
S3 bucket,lsmc-ssf-sequencing-data,us-west-2,953.69,"218.046 TiB; 5,503,555 objects; request metrics not enabled",tagged,live
S3 bucket,lsmc-dayoa-omics-analysis-us-west-2,us-west-2,278.01,"61.428 TiB; 4,000,574 objects; request metrics not enabled",tagged,live
RDS instance,dayhoff-lsmcq7-tapdb-writer,us-west-2,206.78,"CPU avg 1.81%, p95 1.90%; connections avg 0.00",tagged,live
FSx file system,fs-07fb3448c1cb30c1c,us-west-2,190.43,"50.112 TiB read; 12.908 TiB write; 419,915,451 metadata ops",not observable after deletion,not live at scan time
FSx file system,fs-0b57687e1517a9181,us-west-2,151.45,"0.000 TiB read; 0.001 TiB write; 7,395,317 metadata ops",not observable after deletion,not live at scan time
RDS instance,dayhoff-lsmcq7-tapdb-reader-api,us-west-2,103.39,"CPU avg 2.54%, p95 2.56%; connections avg 0.00",tagged,live
RDS instance,dayhoff-lsmcq7-tapdb-reader-ha,us-west-2,103.39,"CPU avg 2.88%, p95 3.23%; connections avg 0.00",tagged,live
EBS volume,vol-0840104f024bda559,unknown,87.1,not live at scan time; no current utilization,not observable after deletion,not live at scan time
FSx file system,fs-02cac31094f973e29,us-west-2,74.4,"12.352 TiB read; 1.066 TiB write; 46,158,791 metadata ops",not observable after deletion,not live at scan time
FSx file system,fs-0b9e294bd75a9ad9d,us-west-2,72.41,"4.774 TiB read; 4.663 TiB write; 9,523,749 metadata ops",not observable after deletion,not live at scan time
S3 bucket,lsmc-dayoa-staging-usw2,us-west-2,50.01,"11.047 TiB; 56,018 objects; request metrics not enabled",tagged,live
S3 bucket,lsmc-dayoa-control-data-usw2,us-west-2,46.57,"10.286 TiB; 31,980 objects; request metrics not enabled",tagged,live
RDS instance,labcore-dev-instance-1,us-west-2,46.08,"CPU avg 2.75%, p95 2.79%; connections avg 0.00",untagged,live
RDS instance,dayhoff-lsmcok1-tapdb-writer,us-west-2,39.74,"CPU avg 5.81%, p95 5.90%; connections avg 14.18",tagged,live
RDS instance,auruse1-writer,us-east-1,37.44,"CPU avg 8.16%, p95 8.27%; connections avg 0.00",tagged,live
RDS instance,dev-writer,us-west-2,37.44,"CPU avg 8.92%, p95 9.18%; connections avg 0.00",tagged,live
NAT gateway,nat-00f3c26e43ede9b10,us-west-2,33.0,"1,992.128 GiB across four CloudWatch byte counters",untagged,live
FSx file system,fs-03e6f0d7589e629c8,us-west-2,30.56,"0.006 TiB read; 0.013 TiB write; 16,978,284 metadata ops",not observable after deletion,not live at scan time
S3 bucket,lsmc-public-ont-data,us-west-2,25.38,"5.604 TiB; 2,474 objects; request metrics not enabled",untagged,live
FSx file system,fs-0dd06f7c3c3e0c1ef,us-west-2,23.38,"0.000 TiB read; 0.000 TiB write; 35,578 metadata ops",not observable after deletion,not live at scan time
RDS instance,dr-drill-standalone-20260521,us-west-2,13.14,no current CloudWatch row; instance not live at scan time,not observable after deletion,not live at scan time
FSx file system,fs-072fc57baf4bc48b5,us-west-2,10.54,"0.000 TiB read; 0.000 TiB write; 7,506,014 metadata ops",not observable after deletion,not live at scan time
