category,resource,region,july_resource_cost_usd,utilization,state,size_gib
db_instance,labcore-dev-instance-1,us-west-2,46.08,CPU avg 2.75%; connections avg 0.00,available,0
nat_gateway,nat-00f3c26e43ede9b10,us-west-2,33.0,"1,992.128 GiB across four byte counters",available,0
bucket,lsmc-public-ont-data,us-west-2,25.38,5.604 TiB; request metrics not enabled,live,0
nat_gateway,nat-05f85018216cac061,ap-south-1,9.41,0.000 GiB across four byte counters,available,0
nat_gateway,nat-01dc061291fc51e75,ap-south-1,9.41,0.000 GiB across four byte counters,available,0
nat_gateway,nat-0ec6ae9605269bef4,eu-central-1,8.74,0.000 GiB across four byte counters,available,0
nat_gateway,nat-0a2bfbfedf38f8e87,eu-central-1,8.74,0.000 GiB across four byte counters,available,0
volume,vol-0aa3f5a0f5cdca9a0,us-east-1,6.07,33 observed hours; idle 99.8% of observed hours,in-use,336
volume,vol-0dba752186e34e08c,us-east-1,6.07,59 observed hours; idle 99.8% of observed hours,in-use,336
volume,vol-0f2da5c82d0de1378,us-east-1,6.07,39 observed hours; idle 99.2% of observed hours,in-use,336
volume,vol-00cbb7ba932dbd3a4,us-east-1,6.07,33 observed hours; idle 99.7% of observed hours,in-use,336
volume,vol-0f9efeb41e207d738,us-east-1,6.07,33 observed hours; idle 99.8% of observed hours,in-use,336
volume,vol-014b3f723fb89dc63,us-east-1,6.07,33 observed hours; idle 99.7% of observed hours,in-use,336
volume,vol-0c26833469cf6995a,us-west-2,4.23,no CloudWatch datapoints in window,in-use,234
load_balancer,lsmc-mvp-dev-alb,us-west-2,3.24,not collected for this resource type,active,0
bucket,lsmc-illumina-public-data,us-west-2,0.58,0.124 TiB; request metrics not enabled,live,0
snapshot,snap-053909bfd492a6457,ap-south-1,0.54,not collected for this resource type,completed,421
snapshot,snap-07690eaa1400bc7f6,us-east-1,0.3,not collected for this resource type,completed,336
snapshot,snap-0356dd0198dfe4b00,us-west-2,0.3,not collected for this resource type,completed,336
load_balancer,lsmc-mvp-v1-labcore-alb,us-west-2,0.18,not collected for this resource type,active,0
volume,vol-09454929e2c583ae7,us-east-1,0.14,336 observed hours; idle 100.0% of observed hours,in-use,8
volume,vol-0b6a14b3d2c01264d,us-west-2,0.14,336 observed hours; idle 100.0% of observed hours,in-use,8
volume,vol-0af8f94e0cd058ddf,us-west-2,0.14,336 observed hours; idle 99.9% of observed hours,in-use,8
volume,vol-0b98b1e8d330cca41,us-west-2,0.04,336 observed hours; idle 100.0% of observed hours,in-use,2
bucket,cdk-hnb659fds-assets-108782052779-us-east-1,us-east-1,0.03,not collected for this resource type,live,0
bucket,lsmc-aws-config-108782052779,us-west-2,0.03,0.002 TiB; request metrics not enabled,live,0
bucket,parallelcluster-4da281c1dc024f1c-v1-do-not-delete,us-west-2,0.03,0.000 TiB; request metrics not enabled,live,0
bucket,aquarium-tfstate-dev,us-west-2,0.02,not collected for this resource type,live,0
bucket,aquarium-tfstate-prod,us-west-2,0.02,not collected for this resource type,live,0
