cluster,region,july_cost_usd,lifecycle_status,cluster_provider_status,compute_fleet_status,cloudformation_status,cluster_exists,current_tagged_resource_count,classification_evidence
jemx3,us-west-2,4577.61,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-05T09:22:22.181Z
illumina-94-c01,us-west-2,1350.4,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T01:18:39.381Z
illumina-94-c02,us-west-2,1254.54,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T01:18:39.365Z
partrevert,us-west-2,843.7,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-13T10:27:26.822Z
preval-hybrid-set3,us-west-2,663.27,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-03T06:51:54.521Z
ifx-reworkB,us-west-2,523.24,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-12T13:43:35.195Z
preval-segdups-and-eh,us-west-2,487.46,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-03T05:48:12.908Z
blank/unattributed,unknown,445.03,unresolved,not a cluster identity,,,False,0,blank cost-allocation tag
sent-hg003-5x-0712,us-west-2,372.75,deleted,absent,,DELETE_COMPLETE,False,1,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-16T00:20:19.376Z
cmdcat-103-all-20260707,us-west-2,325.04,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T03:31:37.819Z
jul8itelx4,us-west-2,136.6,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-11T06:40:02.741Z
testbudgetblock,us-west-2,100.19,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-07T10:53:22.433Z
hiomr-hg003-5x-0710,us-west-2,69.18,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-12T11:24:58.643Z
ursa-ilmnqc-0703,us-west-2,35.7,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-12T12:26:04.186Z
