service,kind,region,resource_id,arn,name,user_tag_count,untagged,user_tags,all_tags,state,volume_size_gib,start_time,associated,public_ip,instance_type,launch_time,size_gib,volume_type,attached_instance_ids,db_class,engine,allocated_storage_gib,cluster_id,serverless_v2_min_acu,serverless_v2_max_acu,lb_type,fsx_type,storage_capacity_gib,storage_type,creation_date,has_lifecycle
EBS,snapshot,ap-south-1,snap-053909bfd492a6457,arn:aws:ec2:ap-south-1:108782052779:snapshot/snap-053909bfd492a6457,,0,True,,,completed,421,2025-03-16T08:02:29.228Z,,,,,,,,,,,,,,,,,,,
EC2,elastic_ip,ap-south-1,eipalloc-0dc16bbf830c83d81,arn:aws:ec2:ap-south-1:108782052779:elastic-ip/eipalloc-0dc16bbf830c83d81,,0,True,,aws:cloudformation:logical-id=NatGatewayEIP;aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1c/f2fd90b0-072e-11f1-9298-02a68a59f20b;aws:cloudformation:stack-name=pcluster-vpc-stack-1c,,,,True,13.126.2.239,,,,,,,,,,,,,,,,,
EC2,elastic_ip,ap-south-1,eipalloc-033c9e0da1444ac1b,arn:aws:ec2:ap-south-1:108782052779:elastic-ip/eipalloc-033c9e0da1444ac1b,,0,True,,aws:cloudformation:logical-id=NatGatewayEIP;aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1a/769891e0-fcc2-11ef-9a8e-0ad1d3b859f3;aws:cloudformation:stack-name=pcluster-vpc-stack-1a,,,,True,13.200.193.5,,,,,,,,,,,,,,,,,
VPC,nat_gateway,ap-south-1,nat-05f85018216cac061,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-05f85018216cac061,,0,True,,aws:cloudformation:logical-id=NatGateway;aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1c/f2fd90b0-072e-11f1-9298-02a68a59f20b;aws:cloudformation:stack-name=pcluster-vpc-stack-1c,available,,,,,,,,,,,,,,,,,,,,,
VPC,nat_gateway,ap-south-1,nat-01dc061291fc51e75,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-01dc061291fc51e75,,0,True,,aws:cloudformation:logical-id=NatGateway;aws:cloudformation:stack-id=arn:aws:cloudformation:ap-south-1:108782052779:stack/pcluster-vpc-stack-1a/769891e0-fcc2-11ef-9a8e-0ad1d3b859f3;aws:cloudformation:stack-name=pcluster-vpc-stack-1a,available,,,,,,,,,,,,,,,,,,,,,
EC2,elastic_ip,eu-central-1,eipalloc-064b4a732e3617a01,arn:aws:ec2:eu-central-1:108782052779:elastic-ip/eipalloc-064b4a732e3617a01,,0,True,,aws:cloudformation:logical-id=NatGatewayEIP;aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1a/5c28aa80-0009-11f0-b2da-023a831da7a7;aws:cloudformation:stack-name=pcluster-vpc-stack-1a,,,,True,3.64.87.65,,,,,,,,,,,,,,,,,
EC2,elastic_ip,eu-central-1,eipalloc-0a47cd6baa930d38f,arn:aws:ec2:eu-central-1:108782052779:elastic-ip/eipalloc-0a47cd6baa930d38f,,0,True,,aws:cloudformation:logical-id=NatGatewayEIP;aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1c/6ecb58d0-fcc2-11ef-9f3b-02eaee40b12f;aws:cloudformation:stack-name=pcluster-vpc-stack-1c,,,,True,52.57.143.151,,,,,,,,,,,,,,,,,
VPC,nat_gateway,eu-central-1,nat-0ec6ae9605269bef4,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0ec6ae9605269bef4,,0,True,,aws:cloudformation:logical-id=NatGateway;aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1a/5c28aa80-0009-11f0-b2da-023a831da7a7;aws:cloudformation:stack-name=pcluster-vpc-stack-1a,available,,,,,,,,,,,,,,,,,,,,,
VPC,nat_gateway,eu-central-1,nat-0a2bfbfedf38f8e87,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0a2bfbfedf38f8e87,,0,True,,aws:cloudformation:logical-id=NatGateway;aws:cloudformation:stack-id=arn:aws:cloudformation:eu-central-1:108782052779:stack/pcluster-vpc-stack-1c/6ecb58d0-fcc2-11ef-9f3b-02eaee40b12f;aws:cloudformation:stack-name=pcluster-vpc-stack-1c,available,,,,,,,,,,,,,,,,,,,,,
EC2,instance,us-east-1,i-0ab7116abc8229a16,arn:aws:ec2:us-east-1:108782052779:instance/i-0ab7116abc8229a16,dr-drill-relay-use1-20260522,1,False,Name=dr-drill-relay-use1-20260522,Name=dr-drill-relay-use1-20260522,running,,,,,t3.micro,2026-05-22T22:18:13.000Z,,,,,,,,,,,,,,,
EC2,instance,us-east-1,i-0b13373722116c733,arn:aws:ec2:us-east-1:108782052779:instance/i-0b13373722116c733,day-dr-drill-host-use1-20260619,1,False,Name=day-dr-drill-host-use1-20260619,Name=day-dr-drill-host-use1-20260619,stopped,,,,,t3.2xlarge,2026-06-19T22:07:17.000Z,,,,,,,,,,,,,,,
EC2,instance,us-east-1,i-0b6713cc15f74d360,arn:aws:ec2:us-east-1:108782052779:instance/i-0b6713cc15f74d360,Dayhoff-ddev96-Compute/Hostprimary,14,False,"CostCenter=platform;Environment=ddev96;Host=primary;Name=Dayhoff-ddev96-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-ddev96;project=dayhoff-all;project:dayhoff-dev=true","CostCenter=platform;Environment=ddev96;Host=primary;Name=Dayhoff-ddev96-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;aws:cloudformation:logical-id=Hostprimary8A9E85D2d44d5773ebdbe61c;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-ddev96-Compute/0c017760-5cfd-11f1-ab2c-26a4cf9bbcf5;aws:cloudformation:stack-name=Dayhoff-ddev96-Compute;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-ddev96;project=dayhoff-all;project:dayhoff-dev=true",stopped,,,,,t3.2xlarge,2026-05-31T14:31:34.000Z,,,,,,,,,,,,,,,
EC2,instance,us-east-1,i-04d3a8c6aae87f818,arn:aws:ec2:us-east-1:108782052779:instance/i-04d3a8c6aae87f818,Dayhoff-tailnet-dns-use1,12,False,CostCenter=platform;Environment=tailnet-dns;Name=Dayhoff-tailnet-dns-use1;Owner=platform;Project=LSMC;Purpose=dayhoff-tailnet-splitdns;System=dayhoff;lsmc-project=dayhoff-tailnet-dns;project=dayhoff-all;project:dayhoff-day=true;project:dayhoff-dev=true;project:dayhoff-inf=true,CostCenter=platform;Environment=tailnet-dns;Name=Dayhoff-tailnet-dns-use1;Owner=platform;Project=LSMC;Purpose=dayhoff-tailnet-splitdns;System=dayhoff;aws:cloudformation:logical-id=ResolverInstance;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-tailnet-dns-use1/2805dcd0-5f19-11f1-bfca-0e430692daa9;aws:cloudformation:stack-name=Dayhoff-tailnet-dns-use1;lsmc-project=dayhoff-tailnet-dns;project=dayhoff-all;project:dayhoff-day=true;project:dayhoff-dev=true;project:dayhoff-inf=true,running,,,,,t3.nano,2026-07-02T14:46:38.000Z,,,,,,,,,,,,,,,
EC2,instance,us-east-1,i-0de9e3f8d3208cf03,arn:aws:ec2:us-east-1:108782052779:instance/i-0de9e3f8d3208cf03,Dayhoff-dev-Compute/Hostprimary,14,False,"CostCenter=platform;Environment=dev;Host=primary;Name=Dayhoff-dev-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-dev;project=dayhoff-all;project:dayhoff-dev=true","CostCenter=platform;Environment=dev;Host=primary;Name=Dayhoff-dev-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;aws:cloudformation:logical-id=Hostprimary8A9E85D228fd48233d50681f;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-dev-Compute/2d6fd9e0-5f0b-11f1-bd99-12de41f84f37;aws:cloudformation:stack-name=Dayhoff-dev-Compute;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-dev;project=dayhoff-all;project:dayhoff-dev=true",stopped,,,,,t3.2xlarge,2026-06-03T05:17:51.000Z,,,,,,,,,,,,,,,
