record_scope,service,kind,region,resource_id,arn,name,july_cost_usd,lifecycle_status,provider_state,owner_stack,owner_stack_status,owner_cluster,classification_evidence,classification_confidence
current_inventory_and_billed,S3,bucket,us-west-2,lsmc-ssf-sequencing-data,arn:aws:s3:::lsmc-ssf-sequencing-data,lsmc-ssf-sequencing-data,953.6911306974,active,exists,,,,resource exists; AWS provider state is exists,high
current_inventory_and_billed,S3,bucket,us-west-2,lsmc-dayoa-omics-analysis-us-west-2,arn:aws:s3:::lsmc-dayoa-omics-analysis-us-west-2,lsmc-dayoa-omics-analysis-us-west-2,278.0085258301,active,exists,,,,resource exists; AWS provider state is exists,high
current_inventory_and_billed,RDS,db_instance,us-west-2,dayhoff-lsmcq7-tapdb-writer,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcq7-tapdb-writer,dayhoff-lsmcq7-tapdb-writer,206.7840084031,active,available,Dayhoff-lsmcq7-Data,UPDATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-west-2,dayhoff-lsmcq7-tapdb-reader-api,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcq7-tapdb-reader-api,dayhoff-lsmcq7-tapdb-reader-api,103.392,active,available,Dayhoff-lsmcq7-Data,UPDATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-west-2,dayhoff-lsmcq7-tapdb-reader-ha,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcq7-tapdb-reader-ha,dayhoff-lsmcq7-tapdb-reader-ha,103.392,active,available,Dayhoff-lsmcq7-Data,UPDATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,EC2,instance,us-west-2,i-07df3a933e4839f52,arn:aws:ec2:us-west-2:108782052779:instance/i-07df3a933e4839f52,Dayhoff-day-Compute/Hostprimary,56.212699650299996,active,running,Dayhoff-day-Compute,UPDATE_COMPLETE,,resource exists; AWS provider state is running,high
current_inventory_and_billed,S3,bucket,us-west-2,lsmc-dayoa-staging-usw2,arn:aws:s3:::lsmc-dayoa-staging-usw2,lsmc-dayoa-staging-usw2,50.013477733,active,exists,,,,resource exists; AWS provider state is exists,high
current_inventory_and_billed,S3,bucket,us-west-2,lsmc-dayoa-control-data-usw2,arn:aws:s3:::lsmc-dayoa-control-data-usw2,lsmc-dayoa-control-data-usw2,46.5705718959,active,exists,,,,resource exists; AWS provider state is exists,high
current_inventory_and_billed,RDS,db_instance,us-west-2,labcore-dev-instance-1,arn:aws:rds:us-west-2:108782052779:db:labcore-dev-instance-1,labcore-dev-instance-1,46.0816888889,active,available,,,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-west-2,dayhoff-lsmcok1-tapdb-writer,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcok1-tapdb-writer,dayhoff-lsmcok1-tapdb-writer,39.744,active,available,Dayhoff-lsmcok1-Data,UPDATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-east-1,auruse1-writer,arn:aws:rds:us-east-1:108782052779:db:auruse1-writer,auruse1-writer,37.440000000000005,active,available,tapdb-auruse1,UPDATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-west-2,dev-writer,arn:aws:rds:us-west-2:108782052779:db:dev-writer,dev-writer,37.440000000000005,active,available,tapdb-dev,CREATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,VPC,nat_gateway,us-west-2,nat-00f3c26e43ede9b10,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00f3c26e43ede9b10,,32.9979561812,active,available,pcluster-vpc-stack-2d,CREATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,S3,bucket,us-west-2,lsmc-public-ont-data,arn:aws:s3:::lsmc-public-ont-data,lsmc-public-ont-data,25.3816099473,active,exists,,,,resource exists; AWS provider state is exists,high
current_inventory_and_billed,EC2,instance,us-east-1,i-02876b4893e5654c2,arn:aws:ec2:us-east-1:108782052779:instance/i-02876b4893e5654c2,Dayhoff-jemdev6-Compute/Hostprimary,11.122700963,active,running,Dayhoff-jemdev6-Compute,CREATE_COMPLETE,,resource exists; AWS provider state is running,high
current_inventory_and_billed,RDS,db_instance,us-east-1,dev-writer,arn:aws:rds:us-east-1:108782052779:db:dev-writer,dev-writer,10.512,active,available,tapdb-dev,UPDATE_ROLLBACK_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-west-2,staging-writer,arn:aws:rds:us-west-2:108782052779:db:staging-writer,staging-writer,10.512,active,available,tapdb-staging,CREATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,VPC,nat_gateway,ap-south-1,nat-01dc061291fc51e75,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-01dc061291fc51e75,,9.4080016306,active,available,pcluster-vpc-stack-1a,CREATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,VPC,nat_gateway,ap-south-1,nat-05f85018216cac061,arn:aws:ec2:ap-south-1:108782052779:natgateway/nat-05f85018216cac061,,9.408001566100001,active,available,pcluster-vpc-stack-1c,CREATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,S3,bucket,us-west-2,lsmc-copy-ultimagen-lsmc-cro-316,arn:aws:s3:::lsmc-copy-ultimagen-lsmc-cro-316,lsmc-copy-ultimagen-lsmc-cro-316,9.1114307688,active,exists,,,,resource exists; AWS provider state is exists,high
current_inventory_and_billed,VPC,nat_gateway,eu-central-1,nat-0ec6ae9605269bef4,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0ec6ae9605269bef4,,8.736001765000001,active,available,pcluster-vpc-stack-1a,CREATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,VPC,nat_gateway,eu-central-1,nat-0a2bfbfedf38f8e87,arn:aws:ec2:eu-central-1:108782052779:natgateway/nat-0a2bfbfedf38f8e87,,8.7360011273,active,available,pcluster-vpc-stack-1c,CREATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-west-2,dayhoff-lsmcok1-tapdb-rehearsal-20260702t104009z-writer,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcok1-tapdb-rehearsal-20260702t104009z-writer,dayhoff-lsmcok1-tapdb-rehearsal-20260702t104009z-writer,7.962231618,active,available,,,,resource exists; AWS provider state is available,high
current_inventory_and_billed,VPC,nat_gateway,us-west-2,nat-00246c8ef3b9087f1,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00246c8ef3b9087f1,Dayhoff-aws3041-Network/Vpc/publicSubnet1,7.9601251672,active,available,Dayhoff-aws3041-Network,UPDATE_COMPLETE,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-west-2,dayhoff-lsmcok1-tapdb-rehearsal-20260702t111435z-writer,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcok1-tapdb-rehearsal-20260702t111435z-writer,dayhoff-lsmcok1-tapdb-rehearsal-20260702t111435z-writer,7.9230752209999995,active,available,,,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-west-2,dayhoff-lsmcok1-tapdb-rehearsal-20260702t113340z-writer,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcok1-tapdb-rehearsal-20260702t113340z-writer,dayhoff-lsmcok1-tapdb-rehearsal-20260702t113340z-writer,7.904176324,active,available,,,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-west-2,dayhoff-lsmcok1-tapdb-rehearsal-20260702t121558z-writer,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcok1-tapdb-rehearsal-20260702t121558z-writer,dayhoff-lsmcok1-tapdb-rehearsal-20260702t121558z-writer,7.852427499999999,active,available,,,,resource exists; AWS provider state is available,high
current_inventory_and_billed,RDS,db_instance,us-west-2,dayhoff-lsmcok1-tapdb-rehearsal-20260702t124007z-writer,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcok1-tapdb-rehearsal-20260702t124007z-writer,dayhoff-lsmcok1-tapdb-rehearsal-20260702t124007z-writer,7.8236330149999995,active,available,,,,resource exists; AWS provider state is available,high
current_inventory_and_billed,VPC,nat_gateway,us-west-2,nat-0234e77781575cced,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-0234e77781575cced,terrarium-dev-us-west-2a,7.624067370200001,active,available,,,,resource exists; AWS provider state is available,high
current_inventory_and_billed,VPC,nat_gateway,us-west-2,nat-00ac08b685fea726f,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00ac08b685fea726f,terrarium-prod-us-west-2a,7.595347809900001,active,available,,,,resource exists; AWS provider state is available,high
current_inventory_and_billed,VPC,nat_gateway,us-east-1,nat-089a96601cfd34f9d,arn:aws:ec2:us-east-1:108782052779:natgateway/nat-089a96601cfd34f9d,dayhoff-dev-nat-public1-us-east-1a,7.5600012498,active,available,,,,resource exists; AWS provider state is available,high
