service,resource_type,region,arn,last_reported_at,source_index_region
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-06b70560cd51c8702,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-0bb9d2da6353cf3f7,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0164fe456cca66ad1,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-06235cb6c13951a15,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0b2b39541810aef9b,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0ba66cd3895807b47,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0df80bc79e1ae9674,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-06841ef05b5e324ab,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-089c1960d7d732edf,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group/sg-04f9c1b2277606899,2026-07-13T06:27:57Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0fdbbc7605e06046c,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-05aacdf90d0eda773,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-09fc345b72c77f5e5,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:internet-gateway,us-east-1,arn:aws:ec2:us-east-1:108782052779:internet-gateway/igw-0d318cc82da2525d2,2026-07-10T01:46:03Z,us-east-1
ec2,ec2:subnet,us-east-1,arn:aws:ec2:us-east-1:108782052779:subnet/subnet-04dbeb9e112994ea5,2026-07-15T16:37:46Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-06b5e62a2d8c8210a,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0e9a22e953681664b,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group/sg-0237b00b46423f7ec,2026-07-13T06:27:57Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0c614bee9fb08db7c,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0c2ada53af2a9a3ea,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-027c6121a7a942aa0,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-0b7b49dac37ac7562,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0f4dea6860b42bf43,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-08031c1e1d5f36d8f,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-01b1bcb51b9117c2d,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-08672e6cb202bf2e7,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0a7d30e14ba7e7fce,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0fbedd016ed472f34,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-06b7e90e0ebe531c3,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0eb24da330b52c1e2,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-045d25adeecc2104e,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:subnet,us-east-1,arn:aws:ec2:us-east-1:108782052779:subnet/subnet-0cb4ff46a30897c2e,2026-07-15T16:37:46Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0f937b562a83c5c16,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-04b30d699a1e0c367,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-013db64201bae277a,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-087d4b2049f3a6ab8,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:network-acl,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-acl/acl-0aab9d627ba4e0b91,2026-07-11T10:10:56Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-075d2c64a3ea79ca9,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0d173f57ec6a8c31a,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-085448ce53cb8a8b8,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-09611821a79815f4a,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0db8a65b11d692658,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:subnet,us-east-1,arn:aws:ec2:us-east-1:108782052779:subnet/subnet-08d98638b44cc94a0,2026-07-15T16:37:46Z,us-east-1
ec2,ec2:network-acl,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-acl/acl-052dee078a2bd0b6f,2026-07-11T10:10:56Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-039ead88b0b551f63,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0a9a848ba72905ce0,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0b3f90cbf5589b8b7,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0ea4231aa8bc5c974,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:subnet,us-east-1,arn:aws:ec2:us-east-1:108782052779:subnet/subnet-04739bc21a1efbd62,2026-07-15T16:37:46Z,us-east-1
ec2,ec2:security-group,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group/sg-0c12cd58b08af5ded,2026-07-13T06:27:57Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0271a00b34222ffc0,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0b9e62932db3ff7ec,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:subnet,us-east-1,arn:aws:ec2:us-east-1:108782052779:subnet/subnet-0dcc29b29b0762b9b,2026-07-15T16:37:46Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0bd5a19d71725f589,2026-07-14T08:53:29Z,us-east-1
