start,end,estimated,cost_usd,service,region
2026-06-01,2026-07-01,False,0.0,AWS CloudFormation,us-east-1
2026-06-01,2026-07-01,False,0.0,AWS CloudFormation,us-west-2
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,af-south-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,ap-east-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,ap-northeast-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,ap-northeast-2
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,ap-northeast-3
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,ap-south-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,ap-south-2
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,ap-southeast-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,ap-southeast-2
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,ap-southeast-3
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,ca-central-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,eu-central-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,eu-north-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,eu-west-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,eu-west-2
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,eu-west-3
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,sa-east-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,us-east-1
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,us-east-2
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,us-west-1
2026-06-01,2026-07-01,False,253.360871,AWS CloudTrail,us-west-2
2026-06-01,2026-07-01,False,386.8277981398,AWS Cost Explorer,us-east-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,af-south-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,ap-east-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,ap-northeast-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,ap-northeast-2
2026-06-01,2026-07-01,False,0.0,AWS Glue,ap-northeast-3
2026-06-01,2026-07-01,False,0.0,AWS Glue,ap-south-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,ap-south-2
2026-06-01,2026-07-01,False,0.0,AWS Glue,ap-southeast-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,ap-southeast-2
2026-06-01,2026-07-01,False,0.0,AWS Glue,ap-southeast-3
2026-06-01,2026-07-01,False,0.0,AWS Glue,ca-central-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,eu-central-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,eu-north-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,eu-west-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,eu-west-2
2026-06-01,2026-07-01,False,0.0,AWS Glue,eu-west-3
2026-06-01,2026-07-01,False,0.0,AWS Glue,sa-east-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,us-east-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,us-east-2
2026-06-01,2026-07-01,False,0.0,AWS Glue,us-west-1
2026-06-01,2026-07-01,False,0.0,AWS Glue,us-west-2
2026-06-01,2026-07-01,False,0.00042,AWS Key Management Service,af-south-1
2026-06-01,2026-07-01,False,0.000417,AWS Key Management Service,ap-east-1
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,ap-northeast-1
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,ap-northeast-2
2026-06-01,2026-07-01,False,0.000744,AWS Key Management Service,ap-northeast-3
2026-06-01,2026-07-01,False,0.001884,AWS Key Management Service,ap-south-1
2026-06-01,2026-07-01,False,0.000417,AWS Key Management Service,ap-south-2
2026-06-01,2026-07-01,False,0.000753,AWS Key Management Service,ap-southeast-1
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,ap-southeast-2
2026-06-01,2026-07-01,False,0.000417,AWS Key Management Service,ap-southeast-3
2026-06-01,2026-07-01,False,0.000732,AWS Key Management Service,ca-central-1
2026-06-01,2026-07-01,False,0.001884,AWS Key Management Service,eu-central-1
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,eu-north-1
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,eu-west-1
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,eu-west-2
2026-06-01,2026-07-01,False,0.000747,AWS Key Management Service,eu-west-3
2026-06-01,2026-07-01,False,0.000753,AWS Key Management Service,sa-east-1
2026-06-01,2026-07-01,False,1.0085322302,AWS Key Management Service,us-east-1
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,us-east-2
2026-06-01,2026-07-01,False,0.000741,AWS Key Management Service,us-west-1
2026-06-01,2026-07-01,False,6.192216024,AWS Key Management Service,us-west-2
2026-06-01,2026-07-01,False,7.3937e-06,AWS Lambda,us-west-2
2026-06-01,2026-07-01,False,0.00073,AWS Secrets Manager,af-south-1
2026-06-01,2026-07-01,False,0.00073,AWS Secrets Manager,ap-east-1
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,ap-northeast-1
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,ap-northeast-2
2026-06-01,2026-07-01,False,0.00124,AWS Secrets Manager,ap-northeast-3
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,ap-south-1
2026-06-01,2026-07-01,False,0.00072,AWS Secrets Manager,ap-south-2
2026-06-01,2026-07-01,False,0.00126,AWS Secrets Manager,ap-southeast-1
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,ap-southeast-2
2026-06-01,2026-07-01,False,0.00073,AWS Secrets Manager,ap-southeast-3
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,ca-central-1
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,eu-central-1
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,eu-north-1
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,eu-west-1
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,eu-west-2
2026-06-01,2026-07-01,False,0.00124,AWS Secrets Manager,eu-west-3
2026-06-01,2026-07-01,False,0.00126,AWS Secrets Manager,sa-east-1
2026-06-01,2026-07-01,False,3.0406364294,AWS Secrets Manager,us-east-1
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,us-east-2
2026-06-01,2026-07-01,False,0.00122,AWS Secrets Manager,us-west-1
2026-06-01,2026-07-01,False,5.7608843012,AWS Secrets Manager,us-west-2
2026-06-01,2026-07-01,False,1.17789,AWS Security Hub,af-south-1
2026-06-01,2026-07-01,False,1.22661264,AWS Security Hub,ap-east-1
2026-06-01,2026-07-01,False,1.1071172,AWS Security Hub,ap-northeast-1
2026-06-01,2026-07-01,False,1.0820808,AWS Security Hub,ap-northeast-2
2026-06-01,2026-07-01,False,1.184075,AWS Security Hub,ap-northeast-3
2026-06-01,2026-07-01,False,3.30856461,AWS Security Hub,ap-south-1
2026-06-01,2026-07-01,False,0.946242,AWS Security Hub,ap-south-2
2026-06-01,2026-07-01,False,1.1182276,AWS Security Hub,ap-southeast-1
2026-06-01,2026-07-01,False,1.083021,AWS Security Hub,ap-southeast-2
2026-06-01,2026-07-01,False,1.0629266,AWS Security Hub,ap-southeast-3
2026-06-01,2026-07-01,False,1.0813816,AWS Security Hub,ca-central-1
2026-06-01,2026-07-01,False,3.42479876,AWS Security Hub,eu-central-1
2026-06-01,2026-07-01,False,0.9974388,AWS Security Hub,eu-north-1
2026-06-01,2026-07-01,False,1.0401764,AWS Security Hub,eu-west-1
2026-06-01,2026-07-01,False,1.0393536,AWS Security Hub,eu-west-2
2026-06-01,2026-07-01,False,1.0650628,AWS Security Hub,eu-west-3
2026-06-01,2026-07-01,False,3.06324504,AWS Security Hub,global
2026-06-01,2026-07-01,False,1.639301,AWS Security Hub,sa-east-1
2026-06-01,2026-07-01,False,59.2725390633,AWS Security Hub,us-east-1
2026-06-01,2026-07-01,False,2.9890746,AWS Security Hub,us-east-2
2026-06-01,2026-07-01,False,1.055176,AWS Security Hub,us-west-1
2026-06-01,2026-07-01,False,342.7479835571,AWS Security Hub,us-west-2
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,af-south-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,ap-east-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,ap-northeast-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,ap-northeast-2
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,ap-northeast-3
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,ap-south-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,ap-south-2
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,ap-southeast-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,ap-southeast-2
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,ap-southeast-3
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,ca-central-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,eu-central-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,eu-north-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,eu-west-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,eu-west-2
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,eu-west-3
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,sa-east-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,us-east-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,us-east-2
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,us-west-1
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,us-west-2
2026-06-01,2026-07-01,False,8.1e-08,AWS Step Functions,af-south-1
2026-06-01,2026-07-01,False,5.1e-08,AWS Step Functions,ap-east-1
2026-06-01,2026-07-01,False,2.04e-07,AWS Step Functions,ap-northeast-1
2026-06-01,2026-07-01,False,1.8e-07,AWS Step Functions,ap-northeast-2
2026-06-01,2026-07-01,False,2.04e-07,AWS Step Functions,ap-northeast-3
2026-06-01,2026-07-01,False,1.92e-07,AWS Step Functions,ap-south-1
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,ap-south-2
2026-06-01,2026-07-01,False,2.04e-07,AWS Step Functions,ap-southeast-1
2026-06-01,2026-07-01,False,2.16e-07,AWS Step Functions,ap-southeast-2
2026-06-01,2026-07-01,False,5.7e-08,AWS Step Functions,ap-southeast-3
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,ca-central-1
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,eu-central-1
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,eu-north-1
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,eu-west-1
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,eu-west-2
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,eu-west-3
2026-06-01,2026-07-01,False,3.12e-07,AWS Step Functions,sa-east-1
2026-06-01,2026-07-01,False,5.93e-08,AWS Step Functions,us-east-1
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,us-east-2
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,us-west-1
2026-06-01,2026-07-01,False,1407.3498072785,AWS Support (Developer),global
2026-06-01,2026-07-01,False,7.000000056,AWS WAF,global
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,ca-central-1
2026-06-01,2026-07-01,False,3.4e-09,Amazon CloudFront,eu-west-1
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,global
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,us-east-1
2026-06-01,2026-07-01,False,0.0,Amazon Cognito,us-east-1
2026-06-01,2026-07-01,False,0.0,Amazon Cognito,us-west-1
2026-06-01,2026-07-01,False,0.0,Amazon Cognito,us-west-2
2026-06-01,2026-07-01,False,0.0392686527,Amazon DynamoDB,us-west-2
2026-06-01,2026-07-01,False,8.9915110236,Amazon EC2 Container Registry (ECR),us-east-1
2026-06-01,2026-07-01,False,1.3546370282,Amazon EC2 Container Registry (ECR),us-west-2
2026-06-01,2026-07-01,False,83.0484862628,EC2 - Other,ap-south-1
2026-06-01,2026-07-01,False,74.8800103576,EC2 - Other,eu-central-1
2026-06-01,2026-07-01,False,185.1900273781,EC2 - Other,us-east-1
2026-06-01,2026-07-01,False,692.0436840777,EC2 - Other,us-west-2
2026-06-01,2026-07-01,False,0.0,Amazon Elastic Compute Cloud - Compute,ap-south-1
2026-06-01,2026-07-01,False,1.41708e-05,Amazon Elastic Compute Cloud - Compute,eu-central-1
2026-06-01,2026-07-01,False,1365.7338611514,Amazon Elastic Compute Cloud - Compute,us-east-1
2026-06-01,2026-07-01,False,30251.2876596713,Amazon Elastic Compute Cloud - Compute,us-west-2
