start,end,estimated,cost_usd,service,usage_type
2026-06-01,2026-07-01,False,0.0,AWS CloudFormation,USE1-Resource-Operation-Count
2026-06-01,2026-07-01,False,0.0,AWS CloudFormation,USW2-Resource-Operation-Count
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,AFS1-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,APE1-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,APN1-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,APN2-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,APN3-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,APS1-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,APS2-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,APS3-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,APS4-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,APS5-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,CAN1-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,EU-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,EUC1-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,EUN1-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,EUW2-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,EUW3-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,SAE1-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,USE1-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,USE2-FreeEventsRecorded
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,USW1-FreeEventsRecorded
2026-06-01,2026-07-01,False,253.360871,AWS CloudTrail,USW2-DataEventsRecorded
