region,resource_id,name,size_gib,state,attached_instance_ids,untagged,idle_pct_of_window,read_ops,write_ops,datapoints
us-east-1,vol-0aa3f5a0f5cdca9a0,,336,in-use,i-05de16a24310099c5,True,9.8,149,93840,33
us-east-1,vol-0dba752186e34e08c,,336,in-use,i-02876b4893e5654c2,True,17.52,62355,105310,59
us-east-1,vol-0392bc7824a1e81e8,,336,in-use,i-0b6713cc15f74d360,False,9.8,134,49877,33
us-east-1,vol-0b99a6dcae2700982,,336,in-use,i-0de9e3f8d3208cf03,False,9.8,221,91950,33
us-east-1,vol-0f2da5c82d0de1378,,336,in-use,i-0b13373722116c733,True,11.51,1164,107895,39
us-east-1,vol-00cbb7ba932dbd3a4,,336,in-use,i-0e70fab85d559c615,True,9.79,242,87422,33
us-east-1,vol-09454929e2c583ae7,,8,in-use,i-0ab7116abc8229a16,True,99.97,1598,1310548,336
us-east-1,vol-0f9efeb41e207d738,,336,in-use,i-068f3aad2bedb9fa6,True,9.8,250,111217,33
us-east-1,vol-014b3f723fb89dc63,,336,in-use,i-018a4be07f5bdfa49,True,9.79,1641,74278,33
us-west-2,vol-0b6a14b3d2c01264d,,8,in-use,i-0cce1c2d935e86786,True,99.95,68,1685157,336
us-west-2,vol-0c69ba6b467620e14,,336,in-use,i-0a70e6af119b993f3,False,9.89,287,76952,34
us-west-2,vol-0b7d761ed76450175,HeadNode,421,in-use,i-02c32e921f54478c5,False,,0,0,0
us-west-2,vol-08a142d0b31d6421f,,20,in-use,i-03c42907b08018d1a,True,18.3,23972,193764,62
us-west-2,vol-0746a2cbb0acde1dd,,30,in-use,i-0fc4922e2b51bc35e,True,1.04,1277293,798267,4
us-west-2,vol-0ea36895cc2b979ac,,336,in-use,i-09126000eb19643b0,False,9.89,652,81043,34
us-west-2,vol-0a9b1584b5615fbab,HeadNode,421,in-use,i-026a3f1a8fb421d2f,False,1.58,51216,205275,6
us-west-2,vol-0010b6198473d835d,HeadNode,421,in-use,i-04ac6c1a5f7cebe92,False,2.14,42281,244280,8
us-west-2,vol-0b481de207f5b19f1,,20,in-use,i-088957ddbc7fcf3d1,True,17.78,50721,245614,60
us-west-2,vol-04646998d6f1fd325,,336,in-use,i-07df3a933e4839f52,False,99.76,799574,3916555,336
us-west-2,vol-0c26833469cf6995a,,234,in-use,i-02a5b297000e82966,True,,0,0,0
us-west-2,vol-0b98b1e8d330cca41,,2,in-use,i-03cd726ad5d7f3f3d,True,99.98,7,637910,336
us-west-2,vol-058ff9cb50fa7eef5,HeadNode,421,in-use,i-04059f0d8c4f701d2,False,17.49,76433,2905330,60
us-west-2,vol-012139e706da23d83,HeadNode,421,in-use,i-09b566e847c16233b,False,,0,0,0
us-west-2,vol-0af8f94e0cd058ddf,,8,in-use,i-09f66b3f11ea42c60,True,99.92,11228,2078366,336
