rank,instance_id,july_cost_usd,region,cluster,instance_type,vcpus,market,queue,compute_resource,launch_time,cpu_avg_pct,cpu_p95_pct,cpu_max_pct,metric_datapoints,measured_hours,measured_vcpu_hours,busy_vcpu_hours,idle_vcpu_hours,busy_share_pct
1,i-0b6cde14f34ae3c39,150.8594,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192hugenvme,price192hugenvme,2026-06-30T22:01:46Z,0.05,0.0,4.0,237,19.75,3792.0,2.08,3789.92,0.05
2,i-076ca0c42f764c030,145.5674,us-west-2,illumina-94-c02,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-07T05:33:35Z,10.49,26.56,30.89,158,13.167,5056.0,530.319,4525.681,10.49
3,i-0111e5426ec983352,142.4068,us-west-2,illumina-94-c01,m8idn.96xlarge,384,spot,i384nvme,mem384nvme,2026-07-07T05:29:02Z,10.72,18.53,30.73,154,12.833,4928.0,528.052,4399.948,10.72
4,i-0a0f54e02be178d4c,135.9413,us-west-2,illumina-94-c01,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-07T05:28:59Z,10.16,12.92,30.31,148,12.333,4736.0,481.412,4254.588,10.16
5,i-062b70471b26d629b,114.5099,us-west-2,preval-hybrid-set3,m8idn.96xlarge,384,spot,i384nvme,mem384nvme,2026-06-30T22:20:08Z,5.37,14.8,17.41,133,11.083,4256.0,228.396,4027.604,5.37
6,i-0a8fcca0fd1b2e66f,113.1113,us-west-2,preval-hybrid-set3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-06-30T20:33:11Z,5.27,14.69,17.96,133,11.083,4256.0,224.457,4031.543,5.27
7,i-0da4185030bbccc2b,111.5292,us-west-2,jemx3,r7i.4xlarge,16,on-demand,,,2026-06-21T03:01:58Z,1.55,3.79,48.34,1265,105.417,1686.667,26.085,1660.582,1.55
8,i-03dadb54f182e1dbe,100.1864,us-west-2,testbudgetblock,r7i.4xlarge,16,on-demand,,,2026-07-03T12:13:58Z,0.42,0.71,6.36,1136,94.667,1514.667,6.302,1508.364,0.42
9,i-07e7b176642695ca1,99.0468,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192nvme,price192nvme,2026-07-02T09:32:35Z,0.05,0.0,2.0,153,12.75,2448.0,1.285,2446.715,0.05
10,i-025cfe19dd7a54af6,98.674,us-west-2,illumina-94-c02,i7ie.metal-48xl,192,spot,i192nvme,bigmem192nvme,2026-07-07T05:33:48Z,36.3,52.8,91.0,155,12.917,2480.0,900.128,1579.872,36.3
11,i-04711133459e23182,98.281,us-west-2,illumina-94-c01,i7ie.48xlarge,192,spot,i192nvme,price192nvme,2026-07-07T05:29:06Z,20.41,25.43,91.72,150,12.5,2400.0,489.83,1910.17,20.41
12,i-0208eb62c8385662e,96.301,us-west-2,illumina-94-c01,i7ie.48xlarge,192,spot,i192nvme,bigmem192nvme,2026-07-07T05:29:12Z,18.95,25.44,43.66,147,12.25,2352.0,445.791,1906.209,18.95
13,i-0cc72d8d027c169f2,88.0505,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192nvme,price192nvme,2026-07-02T10:56:17Z,0.06,0.0,1.8,136,11.333,2176.0,1.245,2174.755,0.06
14,i-0ab9bc7c044e95236,84.8983,us-west-2,jemx3,m7i.metal-48xl,192,spot,i192,price192,2026-06-29T14:26:09Z,0.04,0.0,2.0,397,33.083,6352.0,2.528,6349.472,0.04
15,i-0bbfcf9f67ebd2fb4,84.1025,us-west-2,jemx3,m7i.metal-48xl,192,spot,i192,price192,2026-06-30T15:43:30Z,0.02,0.0,2.0,397,33.083,6352.0,1.024,6350.976,0.02
16,i-0e48d56db7f28d8a5,82.9743,us-west-2,preval-hybrid-set3,i7ie.48xlarge,192,spot,i192nvme,mem192nvme,2026-06-30T20:33:47Z,10.52,27.85,43.07,133,11.083,2128.0,223.837,1904.163,10.52
