region,resource_id,july_cost_usd,read_tib,write_tib,metadata_ops,latest_free_tib,metric_datapoints
us-west-2,fs-07fb3448c1cb30c1c,190.43,50.112,12.908,419915451,0.213,106
us-west-2,fs-0b57687e1517a9181,151.45,0.0,0.001,7395317,1.088,95
us-west-2,fs-02cac31094f973e29,74.4,12.352,1.066,46158791,0.854,56
us-west-2,fs-0b9e294bd75a9ad9d,72.41,4.774,4.663,9523749,0.764,27
us-west-2,fs-03e6f0d7589e629c8,30.56,0.006,0.013,16978284,1.085,35
us-west-2,fs-0dd06f7c3c3e0c1ef,23.38,0.0,0.0,35578,0.854,18
us-west-2,fs-072fc57baf4bc48b5,10.54,0.0,0.0,7506014,1.088,58
us-west-2,fs-05627d04a7ce25fe5,9.1,0.0,0.0,7155874,1.088,11
us-west-2,fs-077be392aeb39e79e,2.38,0.0,0.0,7138303,1.088,4
us-west-2,fs-02a355e1f118e1c71,1.38,0.0,0.0,7154495,1.088,2
