region,resource_id,db_class,engine,untagged,cpu_avg_pct,cpu_p95_pct,cpu_max_pct,connections_avg,connections_max,freeable_memory_avg_gib,datapoints
us-east-1,auruse1-writer,db.r6g.large,aurora-postgresql,False,8.16,8.27,8.47,0.0,0.0,2.92,336
us-east-1,dev-writer,db.t4g.medium,aurora-postgresql,False,15.2,16.04,16.42,6.55,61.0,0.82,336
us-west-1,marvain-cleanroom-20260712t111914z-aurorainstance-mm1jm67x6662,db.serverless,aurora-postgresql,False,21.39,21.81,22.8,1.14,2.52,2.67,59
us-west-2,aquarium-dev-db,db.t4g.micro,postgres,False,3.2,3.31,3.39,2.07,5.0,0.19,336
us-west-2,dayhoff-lsmcok1-tapdb-rehearsal-20260702t104009z-writer,db.t4g.medium,aurora-postgresql,False,10.9,11.4,17.88,0.0,0.0,2.31,302
us-west-2,dayhoff-lsmcok1-tapdb-rehearsal-20260702t111435z-writer,db.t4g.medium,aurora-postgresql,False,10.62,11.03,12.01,0.0,0.03,2.31,301
us-west-2,dayhoff-lsmcok1-tapdb-rehearsal-20260702t113340z-writer,db.t4g.medium,aurora-postgresql,False,10.68,10.92,14.28,0.0,0.0,2.29,301
us-west-2,dayhoff-lsmcok1-tapdb-rehearsal-20260702t121558z-writer,db.t4g.medium,aurora-postgresql,False,10.64,10.99,12.73,0.0,0.02,2.26,300
us-west-2,dayhoff-lsmcok1-tapdb-rehearsal-20260702t124007z-writer,db.t4g.medium,aurora-postgresql,False,10.5,10.7,15.71,0.0,0.0,2.3,300
us-west-2,dayhoff-lsmcok1-tapdb-writer,db.r8g.large,aurora-postgresql,False,5.81,5.9,9.69,14.18,32.0,3.21,336
us-west-2,dayhoff-lsmcq7-tapdb-reader-api,db.r8g.xlarge,aurora-postgresql,False,2.54,2.56,2.6,0.0,0.0,6.71,336
us-west-2,dayhoff-lsmcq7-tapdb-reader-ha,db.r8g.xlarge,aurora-postgresql,False,2.88,3.23,3.7,0.0,0.0,6.69,336
us-west-2,dayhoff-lsmcq7-tapdb-writer,db.r8g.2xlarge,aurora-postgresql,False,1.81,1.9,1.94,0.0,0.0,15.96,336
us-west-2,day-ursa-rehearsal-20260710t0402z-writer,db.t4g.medium,aurora-postgresql,True,10.65,11.09,11.13,0.0,0.0,2.34,116
us-west-2,dev-writer,db.r6g.large,aurora-postgresql,False,8.92,9.18,9.34,0.0,0.0,2.94,336
us-west-2,labcore-dev-instance-1,db.serverless,aurora-postgresql,True,2.75,2.79,2.81,0.0,0.0,26.95,336
us-west-2,lsmc-mvp-aquarium-db,db.t4g.micro,postgres,False,3.39,3.74,5.77,1.99,2.0,0.2,103
us-west-2,lsmc-mvpv1-db-writer-1,db.serverless,aurora-postgresql,False,0.83,0.84,0.89,2.04,3.32,121.51,201
us-west-2,staging-writer,db.t4g.medium,aurora-postgresql,False,10.12,10.28,10.34,0.0,0.0,2.32,336
us-west-2,terrarium-dev-db,db.t4g.micro,postgres,False,3.43,3.55,3.61,0.03,5.0,0.19,336
us-west-2,terrarium-prod-db,db.t4g.micro,postgres,False,3.21,3.35,3.43,3.05,5.0,0.19,336
