region,metric,label,bucket,latest_value,datapoints
ap-south-1,bytes,StandardStorage BucketSizeBytes,StandardStorage BucketSizeBytes,372495.0,2
ap-south-1,objects,AllStorageTypes NumberOfObjects,AllStorageTypes NumberOfObjects,8.0,2
eu-central-1,bytes,StandardStorage BucketSizeBytes,StandardStorage BucketSizeBytes,241.0,2
eu-central-1,objects,AllStorageTypes NumberOfObjects,AllStorageTypes NumberOfObjects,2.0,2
us-east-1,bytes,aws-sam-cli-managed-default-samclisourcebucket-wyvracmmocbp StandardStorage BucketSizeBytes,aws-sam-cli-managed-default-samclisourcebucket-wyvracmmocbp StandardStorage BucketSizeBytes,39387215.0,2
us-east-1,bytes,cdk-hnb659fds-assets-108782052779-us-east-1 StandardStorage BucketSizeBytes,cdk-hnb659fds-assets-108782052779-us-east-1 StandardStorage BucketSizeBytes,2278120389.0,2
us-east-1,bytes,dayec-cur-108782052779-us-east-1 StandardStorage BucketSizeBytes,dayec-cur-108782052779-us-east-1 StandardStorage BucketSizeBytes,4110546.0,2
us-east-1,bytes,lsmc-bio-oauth-static-site-108782052779-us-east-1 StandardStorage BucketSizeBytes,lsmc-bio-oauth-static-site-108782052779-us-east-1 StandardStorage BucketSizeBytes,161068.0,2
us-east-1,bytes,lsmc-twenty-prod-storage StandardStorage BucketSizeBytes,lsmc-twenty-prod-storage StandardStorage BucketSizeBytes,17365864.0,2
us-east-1,objects,aws-sam-cli-managed-default-samclisourcebucket-wyvracmmocbp AllStorageTypes NumberOfObjects,aws-sam-cli-managed-default-samclisourcebucket-wyvracmmocbp AllStorageTypes NumberOfObjects,9.0,2
us-east-1,objects,cdk-hnb659fds-assets-108782052779-us-east-1 AllStorageTypes NumberOfObjects,cdk-hnb659fds-assets-108782052779-us-east-1 AllStorageTypes NumberOfObjects,595.0,2
us-east-1,objects,dayec-cur-108782052779-us-east-1 AllStorageTypes NumberOfObjects,dayec-cur-108782052779-us-east-1 AllStorageTypes NumberOfObjects,25.0,2
us-east-1,objects,lsmc-bio-oauth-static-site-108782052779-us-east-1 AllStorageTypes NumberOfObjects,lsmc-bio-oauth-static-site-108782052779-us-east-1 AllStorageTypes NumberOfObjects,16.0,2
us-east-1,objects,lsmc-twenty-prod-storage AllStorageTypes NumberOfObjects,lsmc-twenty-prod-storage AllStorageTypes NumberOfObjects,49.0,2
us-east-2,bytes,StandardStorage BucketSizeBytes,StandardStorage BucketSizeBytes,1874.0,2
us-east-2,objects,AllStorageTypes NumberOfObjects,AllStorageTypes NumberOfObjects,2.0,2
us-west-1,bytes,aws-sam-cli-managed-default-samclisourcebucket-nr7kmk76fofd StandardStorage BucketSizeBytes,aws-sam-cli-managed-default-samclisourcebucket-nr7kmk76fofd StandardStorage BucketSizeBytes,118664601.0,2
us-west-1,bytes,marvain-cleanroom-20260712t111914z-auditbucket-wvcw5pjxz1kj StandardStorage BucketSizeBytes,marvain-cleanroom-20260712t111914z-auditbucket-wvcw5pjxz1kj StandardStorage BucketSizeBytes,12012.0,2
us-west-1,bytes,marvain-cleanroom-20260712t111914z-packagingbucket-bccev8bwblrl StandardStorage BucketSizeBytes,marvain-cleanroom-20260712t111914z-packagingbucket-bccev8bwblrl StandardStorage BucketSizeBytes,212928788.0,2
us-west-1,objects,aws-sam-cli-managed-default-samclisourcebucket-nr7kmk76fofd AllStorageTypes NumberOfObjects,aws-sam-cli-managed-default-samclisourcebucket-nr7kmk76fofd AllStorageTypes NumberOfObjects,13.0,2
