ANALYSIS_UNIT_UID	SEQUENCING_INPUT_UID	ROLE	INPUT_ORDINAL
HG002-p5xp5	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-p5xp5	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-p5xp5	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-p5xp5	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
HG002-1x1	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-1x1	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-1x1	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-1x1	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
HG002-3x3	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-3x3	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-3x3	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-3x3	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
HG002-5x5	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-5x5	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-5x5	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-5x5	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
HG002-10x5	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-10x5	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-10x5	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-10x5	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
HG002-15x5	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-15x5	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-15x5	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-15x5	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
HG002-15x10	HG002-ILMN-20260618-LH01106-0011-A23MFMCLT3	sr	1
HG002-15x10	HG002-ONT-20260616-0040-3B-PBK89197-822a87b5-barcode15	lr	2
HG002-15x10	HG002-ONT-20260616-0041-3C-PBK89101-bd86eaac-barcode15	lr	3
HG002-15x10	HG002-ONT-20260616-0048-3A-PBM08268-14b096e3-barcode15	lr	4
