ilmn_measured	ont_0.57x	ont_1.16x	ont_2.96x	ont_4.09x	ont_5.17x	ont_6.20x	ont_9.67x	ont_10.05x	ont_11.43x	ont_14.71x
43.73	—	—	—	—	—	—	—	—	P1:fullcov	—
14.01	—	—	—	—	—	—	—	—	E1:15x5	—
13.65	—	—	—	—	—	—	E1:10x5; E1:15x10	—	—	—
12.71	—	—	—	—	—	E1:5x5	—	—	—	—
11.93	—	—	—	E1:3x3	—	—	—	—	—	—
10.50	—	—	—	—	—	—	—	—	—	E3:30xby15x
9.85	—	E1:1x1	—	—	—	—	—	—	—	—
8.54	E1:p5xp5	—	—	—	—	—	—	—	—	—
7.36	—	—	—	—	—	—	—	—	—	E3:20xby15x
5.47	—	—	—	—	—	—	—	E2:15x10	—	—
4.96	—	—	—	—	E2:15x5	—	—	—	—	—
4.77	—	—	—	—	—	—	—	—	E3:12xby12x	—
3.72	—	—	—	—	—	—	E3:10xby10x	—	—	—
3.50	—	—	—	—	E2:10x5	—	—	—	—	—
1.82	—	—	—	—	E2:5x5	—	—	—	—	—
1.01	—	—	E2:3x3	—	—	—	—	—	—	—
0.27	—	E2:1x1	—	—	—	—	—	—	—	—
0.11	E2:p5xp5	—	—	—	—	—	—	—	—	—
