captured_at_utc	analysis_id	planned_au	source_analysis_unit_uid	runtime_au	target_native_sr_x	measured_native_sr_x	measured_rsr_audit_x	target_lr_x	measured_lr_x	hard_vcf_giabhc	truvari_summaries	segdup_vcfs	smn12_summary	benchmark_success_rows	benchmark_rejected_or_incomplete_rows	benchmark_snapshot	workflow_state_at_capture	controller_rc_at_capture
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N01	HG002-ilmn0p5x-ont0p5x-h01	HG002-ehyq1gkgctd5sk	0.5	0.56	0.11	0.5	0.57	complete	4	15	complete	231	12	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N02	HG002-ilmn0p5x-ont4x-h08	HG002-chjze1q0erq9s3	0.5	0.56	0.18	4.0	4.63	complete	4	15	complete	231	12	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N03	HG002-ilmn0p5x-ont12x-h24	HG002-3am5mqch4e741r	0.5	0.56	0.20	12.0	11.43	complete	4	15	complete	231	12	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N04	HG002-ilmn0p5x-ont30x-h72	HG002-yjk6fdaa4kbmwx	0.5	0.56	0.20	30.0	18.77	complete	4	15	complete	209	14	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N05	HG002-ilmn10x-ont0p5x-h01	HG002-q72eaw08wpkf3v	10.0	10.97	2.18	0.5	0.57	complete	4	15	complete	230	13	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N06	HG002-ilmn10x-ont4x-h08	HG002-atx653x1j8ynp0	10.0	10.97	3.43	4.0	4.63	complete	4	15	complete	230	13	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N07	HG002-ilmn10x-ont12x-h24	HG002-pcqc0c5xzp2s1k	10.0	10.97	3.82	12.0	11.43	complete	4	15	complete	229	14	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N08	HG002-ilmn10x-ont30x-h72	HG002-1yxqt33e4ha4wz	10.0	10.97	3.90	30.0	18.77	complete	4	15	complete	231	12	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N09	HG002-ilmn30x-ont30x-h72	HG002-e2mfe9p53bbdx1	30.0	31.12	10.64	30.0	18.77	complete	4	15	complete	229	14	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N10	HG002-ilmn43p73x-ont30x-h72	HG002-rawrmex4zyxxd5	43.73	43.73	14.66	30.0	18.77	complete	4	15	complete	231	12	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N11	HG002-ilmn2x-ont0p5x-h01	HG002-1w3583n0mxzmxk	2.0	2.25	0.45	0.5	0.57	complete	4	15	complete	231	12	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N12	HG002-ilmn2x-ont4x-h08	HG002-69qtwf5v9wjrh3	2.0	2.25	0.73	4.0	4.63	complete	4	15	complete	231	12	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N13	HG002-ilmn2x-ont12x-h24	HG002-afd318m6ttcxqg	2.0	2.25	0.80	12.0	11.43	complete	4	15	complete	230	13	partial_while_controller_nonterminal	running	NA
2026-08-18T17:55:26Z	prerel18025-bjuice-v2-hg002-20au-18042-20260818t1255z-live	N14	HG002-ilmn2x-ont30x-h72	HG002-bkvtsgeczn2ycw	2.0	2.25	0.81	30.0	18.77	complete	4	15	complete	231	12	partial_while_controller_nonterminal	running	NA
