Completed 27 Bytes/27 Bytes (182 Bytes/s) with 1 file(s) remaining
upload: ../../../../../../var/folders/rk/2n95m40s1zs48qr48ynwhxwm0000gn/T/tmph2472sqy to s3://lsmc-dayoa-omics-analysis-us-west-2/fsx/staging/staged_sample_data/remote_stage_20260525T073306Z/_write_test.txt
delete: s3://lsmc-dayoa-omics-analysis-us-west-2/fsx/staging/staged_sample_data/remote_stage_20260525T073306Z/_write_test.txt
Completed 8.0 MiB/6.4 GiB (17.2 MiB/s) with 1 file(s) remaining
Completed 16.0 MiB/6.4 GiB (28.9 MiB/s) with 1 file(s) remaining
Completed 24.0 MiB/6.4 GiB (42.6 MiB/s) with 1 file(s) remaining
Completed 32.0 MiB/6.4 GiB (56.5 MiB/s) with 1 file(s) remaining
Completed 40.0 MiB/6.4 GiB (70.2 MiB/s) with 1 file(s) remaining
Completed 48.0 MiB/6.4 GiB (84.1 MiB/s) with 1 file(s) remaining
Completed 56.0 MiB/6.4 GiB (95.5 MiB/s) with 1 file(s) remaining
Completed 64.0 MiB/6.4 GiB (108.9 MiB/s) with 1 file(s) remaining
Completed 72.0 MiB/6.4 GiB (121.7 MiB/s) with 1 file(s) remaining
Completed 80.0 MiB/6.4 GiB (120.1 MiB/s) with 1 file(s) remaining
Completed 88.0 MiB/6.4 GiB (105.5 MiB/s) with 1 file(s) remaining
Completed 96.0 MiB/6.4 GiB (113.8 MiB/s) with 1 file(s) remaining
Completed 104.0 MiB/6.4 GiB (121.7 MiB/s) with 1 file(s) remaining
Completed 112.0 MiB/6.4 GiB (129.8 MiB/s) with 1 file(s) remaining
Completed 120.0 MiB/6.4 GiB (135.6 MiB/s) with 1 file(s) remaining
Completed 128.0 MiB/6.4 GiB (144.1 MiB/s) with 1 file(s) remaining
Completed 136.0 MiB/6.4 GiB (152.7 MiB/s) with 1 file(s) remaining
Completed 144.0 MiB/6.4 GiB (156.7 MiB/s) with 1 file(s) remaining
Completed 152.0 MiB/6.4 GiB (156.3 MiB/s) with 1 file(s) remaining
Completed 160.0 MiB/6.4 GiB (163.2 MiB/s) with 1 file(s) remaining
Completed 168.0 MiB/6.4 GiB (153.4 MiB/s) with 1 file(s) remaining
Completed 176.0 MiB/6.4 GiB (152.9 MiB/s) with 1 file(s) remaining
Completed 184.0 MiB/6.4 GiB (158.5 MiB/s) with 1 file(s) remaining
Completed 192.0 MiB/6.4 GiB (160.3 MiB/s) with 1 file(s) remaining
Completed 200.0 MiB/6.4 GiB (165.1 MiB/s) with 1 file(s) remaining
Completed 208.0 MiB/6.4 GiB (167.9 MiB/s) with 1 file(s) remaining
Completed 216.0 MiB/6.4 GiB (173.3 MiB/s) with 1 file(s) remaining
Completed 224.0 MiB/6.4 GiB (179.0 MiB/s) with 1 file(s) remaining
Completed 232.0 MiB/6.4 GiB (185.0 MiB/s) with 1 file(s) remaining
Completed 240.0 MiB/6.4 GiB (187.8 MiB/s) with 1 file(s) remaining
Completed 248.0 MiB/6.4 GiB (182.9 MiB/s) with 1 file(s) remaining
Completed 256.0 MiB/6.4 GiB (177.3 MiB/s) with 1 file(s) remaining
Completed 264.0 MiB/6.4 GiB (182.1 MiB/s) with 1 file(s) remaining
Completed 272.0 MiB/6.4 GiB (182.9 MiB/s) with 1 file(s) remaining
Completed 280.0 MiB/6.4 GiB (183.0 MiB/s) with 1 file(s) remaining
Completed 288.0 MiB/6.4 GiB (187.6 MiB/s) with 1 file(s) remaining
Completed 296.0 MiB/6.4 GiB (189.9 MiB/s) with 1 file(s) remaining
Completed 304.0 MiB/6.4 GiB (191.1 MiB/s) with 1 file(s) remaining
Completed 312.0 MiB/6.4 GiB (195.7 MiB/s) with 1 file(s) remaining
Completed 320.0 MiB/6.4 GiB (196.0 MiB/s) with 1 file(s) remaining
Completed 328.0 MiB/6.4 GiB (193.6 MiB/s) with 1 file(s) remaining
Completed 336.0 MiB/6.4 GiB (191.7 MiB/s) with 1 file(s) remaining
Completed 344.0 MiB/6.4 GiB (193.3 MiB/s) with 1 file(s) remaining
Completed 352.0 MiB/6.4 GiB (197.3 MiB/s) with 1 file(s) remaining
Completed 360.0 MiB/6.4 GiB (200.9 MiB/s) with 1 file(s) remaining
Completed 368.0 MiB/6.4 GiB (203.6 MiB/s) with 1 file(s) remaining
Completed 376.0 MiB/6.4 GiB (203.5 MiB/s) with 1 file(s) remaining
Completed 384.0 MiB/6.4 GiB (204.8 MiB/s) with 1 file(s) remaining
Completed 392.0 MiB/6.4 GiB (208.8 MiB/s) with 1 file(s) remaining
Completed 400.0 MiB/6.4 GiB (197.8 MiB/s) with 1 file(s) remaining
Completed 408.0 MiB/6.4 GiB (201.1 MiB/s) with 1 file(s) remaining
Completed 416.0 MiB/6.4 GiB (201.9 MiB/s) with 1 file(s) remaining
Completed 424.0 MiB/6.4 GiB (203.9 MiB/s) with 1 file(s) remaining
Completed 432.0 MiB/6.4 GiB (206.9 MiB/s) with 1 file(s) remaining
Completed 440.0 MiB/6.4 GiB (206.2 MiB/s) with 1 file(s) remaining
Completed 448.0 MiB/6.4 GiB (208.5 MiB/s) with 1 file(s) remaining
Completed 456.0 MiB/6.4 GiB (211.5 MiB/s) with 1 file(s) remaining
Completed 464.0 MiB/6.4 GiB (209.1 MiB/s) with 1 file(s) remaining
Completed 472.0 MiB/6.4 GiB (205.7 MiB/s) with 1 file(s) remaining
Completed 480.0 MiB/6.4 GiB (207.7 MiB/s) with 1 file(s) remaining
Completed 488.0 MiB/6.4 GiB (207.4 MiB/s) with 1 file(s) remaining
Completed 496.0 MiB/6.4 GiB (206.5 MiB/s) with 1 file(s) remaining
Completed 504.0 MiB/6.4 GiB (208.7 MiB/s) with 1 file(s) remaining
Completed 512.0 MiB/6.4 GiB (209.7 MiB/s) with 1 file(s) remaining
Completed 520.0 MiB/6.4 GiB (211.3 MiB/s) with 1 file(s) remaining
Completed 528.0 MiB/6.4 GiB (213.1 MiB/s) with 1 file(s) remaining
Completed 536.0 MiB/6.4 GiB (215.9 MiB/s) with 1 file(s) remaining
Completed 544.0 MiB/6.4 GiB (216.7 MiB/s) with 1 file(s) remaining
Completed 552.0 MiB/6.4 GiB (211.8 MiB/s) with 1 file(s) remaining
Completed 560.0 MiB/6.4 GiB (209.7 MiB/s) with 1 file(s) remaining
Completed 568.0 MiB/6.4 GiB (211.7 MiB/s) with 1 file(s) remaining
Completed 576.0 MiB/6.4 GiB (214.5 MiB/s) with 1 file(s) remaining
Completed 584.0 MiB/6.4 GiB (212.8 MiB/s) with 1 file(s) remaining
Completed 592.0 MiB/6.4 GiB (215.4 MiB/s) with 1 file(s) remaining
Completed 600.0 MiB/6.4 GiB (217.1 MiB/s) with 1 file(s) remaining
Completed 608.0 MiB/6.4 GiB (218.4 MiB/s) with 1 file(s) remaining
Completed 616.0 MiB/6.4 GiB (217.5 MiB/s) with 1 file(s) remaining
Completed 624.0 MiB/6.4 GiB (216.3 MiB/s) with 1 file(s) remaining
Completed 632.0 MiB/6.4 GiB (217.7 MiB/s) with 1 file(s) remaining
Completed 640.0 MiB/6.4 GiB (218.7 MiB/s) with 1 file(s) remaining
Completed 648.0 MiB/6.4 GiB (220.2 MiB/s) with 1 file(s) remaining
Completed 656.0 MiB/6.4 GiB (215.8 MiB/s) with 1 file(s) remaining
Completed 664.0 MiB/6.4 GiB (218.2 MiB/s) with 1 file(s) remaining
Completed 672.0 MiB/6.4 GiB (216.7 MiB/s) with 1 file(s) remaining
Completed 680.0 MiB/6.4 GiB (218.7 MiB/s) with 1 file(s) remaining
Completed 688.0 MiB/6.4 GiB (216.5 MiB/s) with 1 file(s) remaining
Completed 696.0 MiB/6.4 GiB (217.9 MiB/s) with 1 file(s) remaining
Completed 704.0 MiB/6.4 GiB (219.6 MiB/s) with 1 file(s) remaining
Completed 712.0 MiB/6.4 GiB (219.3 MiB/s) with 1 file(s) remaining
Completed 720.0 MiB/6.4 GiB (219.4 MiB/s) with 1 file(s) remaining
Completed 728.0 MiB/6.4 GiB (217.8 MiB/s) with 1 file(s) remaining
Completed 736.0 MiB/6.4 GiB (216.9 MiB/s) with 1 file(s) remaining
Completed 744.0 MiB/6.4 GiB (218.6 MiB/s) with 1 file(s) remaining
Completed 752.0 MiB/6.4 GiB (218.8 MiB/s) with 1 file(s) remaining
Completed 760.0 MiB/6.4 GiB (218.0 MiB/s) with 1 file(s) remaining
Completed 768.0 MiB/6.4 GiB (217.8 MiB/s) with 1 file(s) remaining
Completed 776.0 MiB/6.4 GiB (218.7 MiB/s) with 1 file(s) remaining
Completed 784.0 MiB/6.4 GiB (217.5 MiB/s) with 1 file(s) remaining
Completed 792.0 MiB/6.4 GiB (213.6 MiB/s) with 1 file(s) remaining
Completed 800.0 MiB/6.4 GiB (215.1 MiB/s) with 1 file(s) remaining
Completed 808.0 MiB/6.4 GiB (217.0 MiB/s) with 1 file(s) remaining
Completed 816.0 MiB/6.4 GiB (218.8 MiB/s) with 1 file(s) remaining
Completed 824.0 MiB/6.4 GiB (220.8 MiB/s) with 1 file(s) remaining
Completed 832.0 MiB/6.4 GiB (220.9 MiB/s) with 1 file(s) remaining
Completed 840.0 MiB/6.4 GiB (222.4 MiB/s) with 1 file(s) remaining
Completed 848.0 MiB/6.4 GiB (222.3 MiB/s) with 1 file(s) remaining
Completed 856.0 MiB/6.4 GiB (216.0 MiB/s) with 1 file(s) remaining
Completed 864.0 MiB/6.4 GiB (217.5 MiB/s) with 1 file(s) remaining
Completed 872.0 MiB/6.4 GiB (216.1 MiB/s) with 1 file(s) remaining
Completed 880.0 MiB/6.4 GiB (217.7 MiB/s) with 1 file(s) remaining
Completed 888.0 MiB/6.4 GiB (219.3 MiB/s) with 1 file(s) remaining
Completed 896.0 MiB/6.4 GiB (220.6 MiB/s) with 1 file(s) remaining
Completed 904.0 MiB/6.4 GiB (221.8 MiB/s) with 1 file(s) remaining
Completed 912.0 MiB/6.4 GiB (223.5 MiB/s) with 1 file(s) remaining
Completed 920.0 MiB/6.4 GiB (223.9 MiB/s) with 1 file(s) remaining
Completed 928.0 MiB/6.4 GiB (223.0 MiB/s) with 1 file(s) remaining
Completed 936.0 MiB/6.4 GiB (220.7 MiB/s) with 1 file(s) remaining
Completed 944.0 MiB/6.4 GiB (222.3 MiB/s) with 1 file(s) remaining
