Completed 27 Bytes/27 Bytes (177 Bytes/s) with 1 file(s) remaining
upload: ../../../../../../var/folders/rk/2n95m40s1zs48qr48ynwhxwm0000gn/T/tmp9gy9ajv5 to s3://lsmc-dayoa-omics-analysis-us-west-2/fsx/staging/staged_sample_data/remote_stage_20260525T073504Z/_write_test.txt
delete: s3://lsmc-dayoa-omics-analysis-us-west-2/fsx/staging/staged_sample_data/remote_stage_20260525T073504Z/_write_test.txt
Completed 8.0 MiB/46.7 GiB (16.4 MiB/s) with 1 file(s) remaining
Completed 16.0 MiB/46.7 GiB (31.5 MiB/s) with 1 file(s) remaining
Completed 24.0 MiB/46.7 GiB (46.6 MiB/s) with 1 file(s) remaining
Completed 32.0 MiB/46.7 GiB (61.8 MiB/s) with 1 file(s) remaining
Completed 40.0 MiB/46.7 GiB (76.0 MiB/s) with 1 file(s) remaining
Completed 48.0 MiB/46.7 GiB (90.8 MiB/s) with 1 file(s) remaining
Completed 56.0 MiB/46.7 GiB (102.6 MiB/s) with 1 file(s) remaining
Completed 64.0 MiB/46.7 GiB (112.4 MiB/s) with 1 file(s) remaining
Completed 72.0 MiB/46.7 GiB (122.1 MiB/s) with 1 file(s) remaining
Completed 80.0 MiB/46.7 GiB (99.6 MiB/s) with 1 file(s) remaining 
Completed 88.0 MiB/46.7 GiB (109.1 MiB/s) with 1 file(s) remaining
Completed 96.0 MiB/46.7 GiB (118.7 MiB/s) with 1 file(s) remaining
Completed 104.0 MiB/46.7 GiB (122.6 MiB/s) with 1 file(s) remaining
Completed 112.0 MiB/46.7 GiB (129.7 MiB/s) with 1 file(s) remaining
Completed 120.0 MiB/46.7 GiB (137.1 MiB/s) with 1 file(s) remaining
Completed 128.0 MiB/46.7 GiB (145.7 MiB/s) with 1 file(s) remaining
Completed 136.0 MiB/46.7 GiB (153.9 MiB/s) with 1 file(s) remaining
Completed 144.0 MiB/46.7 GiB (154.5 MiB/s) with 1 file(s) remaining
Completed 152.0 MiB/46.7 GiB (138.1 MiB/s) with 1 file(s) remaining
Completed 160.0 MiB/46.7 GiB (143.9 MiB/s) with 1 file(s) remaining
Completed 168.0 MiB/46.7 GiB (149.4 MiB/s) with 1 file(s) remaining
Completed 176.0 MiB/46.7 GiB (156.0 MiB/s) with 1 file(s) remaining
Completed 184.0 MiB/46.7 GiB (161.9 MiB/s) with 1 file(s) remaining
Completed 192.0 MiB/46.7 GiB (163.6 MiB/s) with 1 file(s) remaining
Completed 200.0 MiB/46.7 GiB (167.2 MiB/s) with 1 file(s) remaining
Completed 208.0 MiB/46.7 GiB (173.5 MiB/s) with 1 file(s) remaining
Completed 216.0 MiB/46.7 GiB (162.4 MiB/s) with 1 file(s) remaining
Completed 224.0 MiB/46.7 GiB (164.0 MiB/s) with 1 file(s) remaining
Completed 232.0 MiB/46.7 GiB (168.4 MiB/s) with 1 file(s) remaining
Completed 240.0 MiB/46.7 GiB (167.5 MiB/s) with 1 file(s) remaining
Completed 248.0 MiB/46.7 GiB (171.1 MiB/s) with 1 file(s) remaining
Completed 256.0 MiB/46.7 GiB (171.4 MiB/s) with 1 file(s) remaining
Completed 264.0 MiB/46.7 GiB (172.4 MiB/s) with 1 file(s) remaining
Completed 272.0 MiB/46.7 GiB (169.2 MiB/s) with 1 file(s) remaining
Completed 280.0 MiB/46.7 GiB (170.3 MiB/s) with 1 file(s) remaining
Completed 288.0 MiB/46.7 GiB (171.4 MiB/s) with 1 file(s) remaining
Completed 296.0 MiB/46.7 GiB (172.9 MiB/s) with 1 file(s) remaining
Completed 304.0 MiB/46.7 GiB (177.3 MiB/s) with 1 file(s) remaining
Completed 312.0 MiB/46.7 GiB (175.3 MiB/s) with 1 file(s) remaining
Completed 320.0 MiB/46.7 GiB (178.4 MiB/s) with 1 file(s) remaining
Completed 328.0 MiB/46.7 GiB (175.6 MiB/s) with 1 file(s) remaining
Completed 336.0 MiB/46.7 GiB (173.6 MiB/s) with 1 file(s) remaining
Completed 344.0 MiB/46.7 GiB (177.4 MiB/s) with 1 file(s) remaining
Completed 352.0 MiB/46.7 GiB (180.8 MiB/s) with 1 file(s) remaining
Completed 360.0 MiB/46.7 GiB (175.9 MiB/s) with 1 file(s) remaining
Completed 368.0 MiB/46.7 GiB (178.5 MiB/s) with 1 file(s) remaining
Completed 376.0 MiB/46.7 GiB (181.6 MiB/s) with 1 file(s) remaining
Completed 384.0 MiB/46.7 GiB (185.2 MiB/s) with 1 file(s) remaining
Completed 392.0 MiB/46.7 GiB (185.3 MiB/s) with 1 file(s) remaining
Completed 400.0 MiB/46.7 GiB (185.8 MiB/s) with 1 file(s) remaining
Completed 408.0 MiB/46.7 GiB (186.7 MiB/s) with 1 file(s) remaining
Completed 416.0 MiB/46.7 GiB (186.9 MiB/s) with 1 file(s) remaining
Completed 424.0 MiB/46.7 GiB (185.1 MiB/s) with 1 file(s) remaining
Completed 432.0 MiB/46.7 GiB (188.3 MiB/s) with 1 file(s) remaining
Completed 440.0 MiB/46.7 GiB (184.5 MiB/s) with 1 file(s) remaining
Completed 448.0 MiB/46.7 GiB (187.1 MiB/s) with 1 file(s) remaining
Completed 456.0 MiB/46.7 GiB (189.9 MiB/s) with 1 file(s) remaining
Completed 464.0 MiB/46.7 GiB (190.9 MiB/s) with 1 file(s) remaining
Completed 472.0 MiB/46.7 GiB (189.7 MiB/s) with 1 file(s) remaining
Completed 480.0 MiB/46.7 GiB (189.9 MiB/s) with 1 file(s) remaining
Completed 488.0 MiB/46.7 GiB (190.4 MiB/s) with 1 file(s) remaining
Completed 496.0 MiB/46.7 GiB (187.0 MiB/s) with 1 file(s) remaining
Completed 504.0 MiB/46.7 GiB (188.6 MiB/s) with 1 file(s) remaining
Completed 512.0 MiB/46.7 GiB (190.4 MiB/s) with 1 file(s) remaining
Completed 520.0 MiB/46.7 GiB (192.3 MiB/s) with 1 file(s) remaining
Completed 528.0 MiB/46.7 GiB (192.5 MiB/s) with 1 file(s) remaining
Completed 536.0 MiB/46.7 GiB (195.1 MiB/s) with 1 file(s) remaining
Completed 544.0 MiB/46.7 GiB (192.2 MiB/s) with 1 file(s) remaining
Completed 552.0 MiB/46.7 GiB (189.8 MiB/s) with 1 file(s) remaining
Completed 560.0 MiB/46.7 GiB (192.2 MiB/s) with 1 file(s) remaining
Completed 568.0 MiB/46.7 GiB (193.1 MiB/s) with 1 file(s) remaining
Completed 576.0 MiB/46.7 GiB (193.8 MiB/s) with 1 file(s) remaining
Completed 584.0 MiB/46.7 GiB (194.6 MiB/s) with 1 file(s) remaining
Completed 592.0 MiB/46.7 GiB (196.8 MiB/s) with 1 file(s) remaining
Completed 600.0 MiB/46.7 GiB (198.9 MiB/s) with 1 file(s) remaining
Completed 608.0 MiB/46.7 GiB (198.2 MiB/s) with 1 file(s) remaining
Completed 616.0 MiB/46.7 GiB (196.8 MiB/s) with 1 file(s) remaining
Completed 624.0 MiB/46.7 GiB (192.6 MiB/s) with 1 file(s) remaining
Completed 632.0 MiB/46.7 GiB (194.5 MiB/s) with 1 file(s) remaining
Completed 640.0 MiB/46.7 GiB (196.6 MiB/s) with 1 file(s) remaining
Completed 648.0 MiB/46.7 GiB (197.9 MiB/s) with 1 file(s) remaining
Completed 656.0 MiB/46.7 GiB (200.1 MiB/s) with 1 file(s) remaining
Completed 664.0 MiB/46.7 GiB (197.9 MiB/s) with 1 file(s) remaining
Completed 672.0 MiB/46.7 GiB (199.2 MiB/s) with 1 file(s) remaining
Completed 680.0 MiB/46.7 GiB (200.8 MiB/s) with 1 file(s) remaining
Completed 688.0 MiB/46.7 GiB (197.8 MiB/s) with 1 file(s) remaining
Completed 696.0 MiB/46.7 GiB (199.1 MiB/s) with 1 file(s) remaining
Completed 704.0 MiB/46.7 GiB (198.8 MiB/s) with 1 file(s) remaining
Completed 712.0 MiB/46.7 GiB (199.2 MiB/s) with 1 file(s) remaining
Completed 720.0 MiB/46.7 GiB (199.5 MiB/s) with 1 file(s) remaining
Completed 728.0 MiB/46.7 GiB (200.6 MiB/s) with 1 file(s) remaining
Completed 736.0 MiB/46.7 GiB (202.6 MiB/s) with 1 file(s) remaining
Completed 744.0 MiB/46.7 GiB (203.2 MiB/s) with 1 file(s) remaining
Completed 752.0 MiB/46.7 GiB (202.0 MiB/s) with 1 file(s) remaining
Completed 760.0 MiB/46.7 GiB (201.9 MiB/s) with 1 file(s) remaining
Completed 768.0 MiB/46.7 GiB (203.9 MiB/s) with 1 file(s) remaining
Completed 776.0 MiB/46.7 GiB (202.8 MiB/s) with 1 file(s) remaining
Completed 784.0 MiB/46.7 GiB (204.3 MiB/s) with 1 file(s) remaining
Completed 792.0 MiB/46.7 GiB (202.6 MiB/s) with 1 file(s) remaining
Completed 800.0 MiB/46.7 GiB (203.7 MiB/s) with 1 file(s) remaining
Completed 808.0 MiB/46.7 GiB (204.4 MiB/s) with 1 file(s) remaining
Completed 816.0 MiB/46.7 GiB (205.5 MiB/s) with 1 file(s) remaining
Completed 824.0 MiB/46.7 GiB (205.7 MiB/s) with 1 file(s) remaining
Completed 832.0 MiB/46.7 GiB (207.2 MiB/s) with 1 file(s) remaining
Completed 840.0 MiB/46.7 GiB (208.5 MiB/s) with 1 file(s) remaining
Completed 848.0 MiB/46.7 GiB (209.7 MiB/s) with 1 file(s) remaining
Completed 856.0 MiB/46.7 GiB (206.9 MiB/s) with 1 file(s) remaining
Completed 864.0 MiB/46.7 GiB (205.9 MiB/s) with 1 file(s) remaining
Completed 872.0 MiB/46.7 GiB (206.8 MiB/s) with 1 file(s) remaining
Completed 880.0 MiB/46.7 GiB (208.5 MiB/s) with 1 file(s) remaining
Completed 888.0 MiB/46.7 GiB (208.6 MiB/s) with 1 file(s) remaining
Completed 896.0 MiB/46.7 GiB (207.9 MiB/s) with 1 file(s) remaining
Completed 904.0 MiB/46.7 GiB (209.5 MiB/s) with 1 file(s) remaining
Completed 912.0 MiB/46.7 GiB (207.4 MiB/s) with 1 file(s) remaining
Completed 920.0 MiB/46.7 GiB (208.5 MiB/s) with 1 file(s) remaining
Completed 928.0 MiB/46.7 GiB (209.5 MiB/s) with 1 file(s) remaining
Completed 936.0 MiB/46.7 GiB (210.1 MiB/s) with 1 file(s) remaining
Completed 944.0 MiB/46.7 GiB (209.5 MiB/s) with 1 file(s) remaining
Completed 952.0 MiB/46.7 GiB (210.9 MiB/s) with 1 file(s) remaining
Completed 960.0 MiB/46.7 GiB (209.3 MiB/s) with 1 file(s) remaining
Completed 968.0 MiB/46.7 GiB (207.4 MiB/s) with 1 file(s) remaining
Completed 976.0 MiB/46.7 GiB (208.5 MiB/s) with 1 file(s) remaining
Completed 984.0 MiB/46.7 GiB (208.4 MiB/s) with 1 file(s) remaining
Completed 992.0 MiB/46.7 GiB (209.4 MiB/s) with 1 file(s) remaining
Completed 1000.0 MiB/46.7 GiB (210.2 MiB/s) with 1 file(s) remaining
Completed 1008.0 MiB/46.7 GiB (210.2 MiB/s) with 1 file(s) remaining
Completed 1016.0 MiB/46.7 GiB (211.5 MiB/s) with 1 file(s) remaining
Completed 1.0 GiB/46.7 GiB (213.0 MiB/s) with 1 file(s) remaining   
Completed 1.0 GiB/46.7 GiB (213.5 MiB/s) with 1 file(s) remaining   
Completed 1.0 GiB/46.7 GiB (213.4 MiB/s) with 1 file(s) remaining   
Completed 1.0 GiB/46.7 GiB (210.4 MiB/s) with 1 file(s) remaining   
Completed 1.0 GiB/46.7 GiB (211.8 MiB/s) with 1 file(s) remaining   
Completed 1.0 GiB/46.7 GiB (212.4 MiB/s) with 1 file(s) remaining   
Completed 1.0 GiB/46.7 GiB (211.7 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (212.3 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (212.1 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (213.4 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (214.8 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (215.5 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (216.5 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (215.4 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (215.3 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (213.7 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (214.9 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (216.3 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (216.9 MiB/s) with 1 file(s) remaining   
Completed 1.1 GiB/46.7 GiB (218.1 MiB/s) with 1 file(s) remaining   
Completed 1.2 GiB/46.7 GiB (219.3 MiB/s) with 1 file(s) remaining   
Completed 1.2 GiB/46.7 GiB (219.3 MiB/s) with 1 file(s) remaining   
Completed 1.2 GiB/46.7 GiB (220.6 MiB/s) with 1 file(s) remaining   
Completed 1.2 GiB/46.7 GiB (216.8 MiB/s) with 1 file(s) remaining   
Completed 1.2 GiB/46.7 GiB (216.1 MiB/s) with 1 file(s) remaining   
Completed 1.2 GiB/46.7 GiB (216.8 MiB/s) with 1 file(s) remaining   
