experiment	rule	not_yet_submitted_est
ILMN15x-ONT7x	parse_vcfeval_summary_roi	6
ILMN15x-ONT7x	prep_for_concordance_check	1
ILMN15x-ONT7x	rtg_vcfeval_roi	6
ILMN15x-ONT7x	sentdhiomr_anno	18
ILMN15x-ONT7x	sentdhiomr_call_segdup_gene	6
ILMN15x-ONT7x	sentdhiomr_concat_index_chunks	1
ILMN15x-ONT7x	sentdhiomr_concat_pass	18
ILMN15x-ONT7x	sentdhiomr_final_norm	18
ILMN15x-ONT7x	sentdhiomr_model_apply	17
ILMN15x-ONT7x	sentdhiomr_pass2	0
ILMN15x-ONT7x	sentdhiomr_transfer	450
ILMN15x-ONT7x	sentdhiomr_transfer_merge	18
ILMN20x-ONT10x	parse_vcfeval_summary_roi	6
ILMN20x-ONT10x	prep_for_concordance_check	1
ILMN20x-ONT10x	rtg_vcfeval_roi	6
ILMN20x-ONT10x	sentdhiomr_anno	1
ILMN20x-ONT10x	sentdhiomr_call_segdup_gene	6
ILMN20x-ONT10x	sentdhiomr_concat_index_chunks	1
ILMN20x-ONT10x	sentdhiomr_concat_pass	0
ILMN20x-ONT10x	sentdhiomr_final_norm	14
ILMN20x-ONT10x	sentdhiomr_model_apply	15
ILMN20x-ONT10x	sentdhiomr_transfer	181
ILMN20x-ONT10x	sentdhiomr_transfer_merge	14
