experiment	stage	not_yet_submitted_est	rules
ILMN15x-ONT7x	transfer_chunks	450	sentdhiomr_transfer
ILMN15x-ONT7x	post_transfer_variant_pipeline	90	sentdhiomr_transfer_merge,sentdhiomr_concat_pass,sentdhiomr_model_apply,sentdhiomr_final_norm,sentdhiomr_anno,sentdhiomr_concat_index_chunks
ILMN15x-ONT7x	segdup_gene_calling	6	sentdhiomr_call_segdup_gene
ILMN15x-ONT7x	concordance_qc	12	rtg_vcfeval_roi,parse_vcfeval_summary_roi
ILMN15x-ONT7x	final_target_prep	1	prep_for_concordance_check
ILMN15x-ONT7x	already_submitted	0	sentdhiomr_pass2
ILMN20x-ONT10x	transfer_chunks	181	sentdhiomr_transfer
ILMN20x-ONT10x	post_transfer_variant_pipeline	45	sentdhiomr_transfer_merge,sentdhiomr_model_apply,sentdhiomr_final_norm,sentdhiomr_anno,sentdhiomr_concat_index_chunks
ILMN20x-ONT10x	segdup_gene_calling	6	sentdhiomr_call_segdup_gene
ILMN20x-ONT10x	concordance_qc	12	rtg_vcfeval_roi,parse_vcfeval_summary_roi
ILMN20x-ONT10x	final_target_prep	1	prep_for_concordance_check
ILMN20x-ONT10x	already_submitted	0	sentdhiomr_concat_pass
