idx	start	end	session	rc	stdout	stderr
1	2026-05-31T13:45:10Z	2026-05-31T13:45:19Z	d515_0531T134008_001_simple	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0001_RUN-001_simple-test.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0001_RUN-001_simple-test.stderr.txt
2	2026-05-31T13:45:19Z	2026-05-31T13:45:27Z	d515_0531T134008_d515d02_ilmn_snv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0002_RUN-002_illumina_snv_alignstats.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0002_RUN-002_illumina_snv_alignstats.stderr.txt
3	2026-05-31T13:45:27Z	2026-05-31T13:45:36Z	d515_0531T134008_d515d03_ilmn_mqc	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0003_RUN-003_illumina_snv_alignstats_relatedness_vep_multiqc.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0003_RUN-003_illumina_snv_alignstats_relatedness_vep_multiqc.stderr.txt
4	2026-05-31T13:45:36Z	2026-05-31T13:45:45Z	d515_0531T134008_d515d04_hg002_kit	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0004_RUN-004_illumina_hg002_kitchensink_multiqc.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0004_RUN-004_illumina_hg002_kitchensink_multiqc.stderr.txt
5	2026-05-31T13:45:45Z	2026-05-31T13:45:53Z	d515_0531T134008_d515d05_ug_snv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0005_RUN-005_ultima_snv_alignstats.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0005_RUN-005_ultima_snv_alignstats.stderr.txt
6	2026-05-31T13:45:53Z	2026-05-31T13:46:02Z	d515_0531T134008_d515d06_ug_mqc	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0006_RUN-006_ultima_snv_alignstats_kitchensink.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0006_RUN-006_ultima_snv_alignstats_kitchensink.stderr.txt
7	2026-05-31T13:46:02Z	2026-05-31T13:46:11Z	d515_0531T134008_d515d07_ont_snv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0007_RUN-007_ont_snv_alignstats.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0007_RUN-007_ont_snv_alignstats.stderr.txt
8	2026-05-31T13:46:11Z	2026-05-31T13:46:19Z	d515_0531T134008_d515d08_ont_mqc	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0008_RUN-008_ont_snv_alignstats_kitchensink.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0008_RUN-008_ont_snv_alignstats_kitchensink.stderr.txt
9	2026-05-31T13:46:19Z	2026-05-31T13:46:28Z	d515_0531T134008_d515d09_pb_snv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0009_RUN-009_pacbio_snv_alignstats.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0009_RUN-009_pacbio_snv_alignstats.stderr.txt
10	2026-05-31T13:46:28Z	2026-05-31T13:46:37Z	d515_0531T134008_d515d10_roche	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0010_RUN-010_roche_snv_alignstats.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T140000Z_dyec515_non_bcl_launches/status/0010_RUN-010_roche_snv_alignstats.stderr.txt
