idx	start	end	row_id	command_id	analysis_id	session	rc	stdout	stderr	command
1	2026-05-31T15:37:54Z	2026-05-31T15:38:13Z	RUN-001	simple-test	d515_0531t1541_r2_001_simple	d515_0531t1541_r2_001_simple	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0001_RUN-001_simple-test.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0001_RUN-001_simple-test.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2_001_simple --git-tag 2.0.28 --genome hg38 --dy-command ""source dyoainit; dy-a local hg38; dy-r -p -k -j 1 help"" --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1541_r2_001_simple --skip-project-check --no-containerized --no-input-staging --no-default-activation --bootstrap-test-config"
2	2026-05-31T15:38:13Z	2026-05-31T15:38:28Z	RUN-002	illumina_snv_alignstats	d515_0531t1541_r2_002_ilmn_snv	d515_0531t1541_r2_002_ilmn_snv	1	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0002_RUN-002_illumina_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0002_RUN-002_illumina_snv_alignstats.stderr.txt	dyec samples run /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/illumina_hg003_5x.tsv --command-id illumina_snv_alignstats --analysis-id d515_0531t1541_r2_002_ilmn_snv --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg003_5x --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515 --git-tag 2.0.28 --session-name d515_0531t1541_r2_002_ilmn_snv --skip-project-check --dry-run
3	2026-05-31T15:38:28Z	2026-05-31T15:38:41Z	RUN-003	illumina_snv_alignstats_relatedness_vep_multiqc	d515_0531t1541_r2_003_ilmn_mqc	d515_0531t1541_r2_003_ilmn_mqc	1	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0003_RUN-003_illumina_snv_alignstats_relatedness_vep_multiqc.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0003_RUN-003_illumina_snv_alignstats_relatedness_vep_multiqc.stderr.txt	dyec samples run /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/illumina_hg003_5x.tsv --command-id illumina_snv_alignstats_relatedness_vep_multiqc --analysis-id d515_0531t1541_r2_003_ilmn_mqc --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg003_5x --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515 --git-tag 2.0.28 --session-name d515_0531t1541_r2_003_ilmn_mqc --skip-project-check --dry-run
4	2026-05-31T15:38:41Z	2026-05-31T15:39:01Z	RUN-004	illumina_hg002_kitchensink_multiqc	d515_0531t1541_r2_004_hg002_kit	d515_0531t1541_r2_004_hg002_kit	1	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0004_RUN-004_illumina_hg002_kitchensink_multiqc.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0004_RUN-004_illumina_hg002_kitchensink_multiqc.stderr.txt	dyec samples run /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T223700Z_goodole3_inputs/illumina_0p1x_kitchensink.tsv --command-id illumina_hg002_kitchensink_multiqc --analysis-id d515_0531t1541_r2_004_hg002_kit --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg002_kitchen --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515 --git-tag 2.0.28 --session-name d515_0531t1541_r2_004_hg002_kit --skip-project-check --dry-run
5	2026-05-31T15:39:01Z	2026-05-31T15:39:15Z	RUN-005	ultima_snv_alignstats	d515_0531t1541_r2_005_ug_snv	d515_0531t1541_r2_005_ug_snv	1	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0005_RUN-005_ultima_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0005_RUN-005_ultima_snv_alignstats.stderr.txt	dyec samples run /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/ultima_hg003_5x.tsv --command-id ultima_snv_alignstats --analysis-id d515_0531t1541_r2_005_ug_snv --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ultima_hg003_5x --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515 --git-tag 2.0.28 --session-name d515_0531t1541_r2_005_ug_snv --skip-project-check --dry-run
6	2026-05-31T15:39:15Z	2026-05-31T15:39:29Z	RUN-006	ultima_snv_alignstats_kitchensink	d515_0531t1541_r2_006_ug_mqc	d515_0531t1541_r2_006_ug_mqc	1	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0006_RUN-006_ultima_snv_alignstats_kitchensink.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0006_RUN-006_ultima_snv_alignstats_kitchensink.stderr.txt	dyec samples run /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/ultima_hg003_5x.tsv --command-id ultima_snv_alignstats_kitchensink --analysis-id d515_0531t1541_r2_006_ug_mqc --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ultima_hg003_5x --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515 --git-tag 2.0.28 --session-name d515_0531t1541_r2_006_ug_mqc --skip-project-check --dry-run
7	2026-05-31T15:39:29Z	2026-05-31T15:39:43Z	RUN-007	ont_snv_alignstats	d515_0531t1541_r2_007_ont_snv	d515_0531t1541_r2_007_ont_snv	1	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0007_RUN-007_ont_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0007_RUN-007_ont_snv_alignstats.stderr.txt	dyec samples run /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/ont_hg003_5x.tsv --command-id ont_snv_alignstats --analysis-id d515_0531t1541_r2_007_ont_snv --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ont_hg003_5x --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515 --git-tag 2.0.28 --session-name d515_0531t1541_r2_007_ont_snv --skip-project-check --dry-run
8	2026-05-31T15:39:43Z	2026-05-31T15:39:57Z	RUN-008	ont_snv_alignstats_kitchensink	d515_0531t1541_r2_008_ont_mqc	d515_0531t1541_r2_008_ont_mqc	1	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0008_RUN-008_ont_snv_alignstats_kitchensink.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0008_RUN-008_ont_snv_alignstats_kitchensink.stderr.txt	dyec samples run /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/ont_hg003_5x.tsv --command-id ont_snv_alignstats_kitchensink --analysis-id d515_0531t1541_r2_008_ont_mqc --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ont_hg003_5x --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515 --git-tag 2.0.28 --session-name d515_0531t1541_r2_008_ont_mqc --skip-project-check --dry-run
9	2026-05-31T15:39:57Z	2026-05-31T15:40:11Z	RUN-009	pacbio_snv_alignstats	d515_0531t1541_r2_009_pb_snv	d515_0531t1541_r2_009_pb_snv	1	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0009_RUN-009_pacbio_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0009_RUN-009_pacbio_snv_alignstats.stderr.txt	dyec samples run /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/pacbio_hg003_5x.tsv --command-id pacbio_snv_alignstats --analysis-id d515_0531t1541_r2_009_pb_snv --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/pacbio_hg003_5x --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515 --git-tag 2.0.28 --session-name d515_0531t1541_r2_009_pb_snv --skip-project-check --dry-run
10	2026-05-31T15:40:11Z	2026-05-31T15:40:25Z	RUN-010	roche_snv_alignstats	d515_0531t1541_r2_010_roche	d515_0531t1541_r2_010_roche	1	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0010_RUN-010_roche_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/logs/0010_RUN-010_roche_snv_alignstats.stderr.txt	dyec samples run /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/roche_hg003_5x.tsv --command-id roche_snv_alignstats --analysis-id d515_0531t1541_r2_010_roche --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/roche_hg003_5x --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515 --git-tag 2.0.28 --session-name d515_0531t1541_r2_010_roche --skip-project-check --dry-run
