idx	start	end	row_id	command_id	analysis_id	session	source_alias	samples_file	units_file	rc	stdout	stderr	command
1	2026-05-31T15:42:57Z	2026-05-31T15:43:15Z	RUN-002	illumina_snv_alignstats	d515_0531t1541_r2d_002_ilmn_snv	d515_0531t1541_r2d_002_ilmn_snv	illumina_hg003_5x	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg003_5x/20260531T153828Z_07d3a15d_samples.tsv	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg003_5x/20260531T153828Z_07d3a15d_units.tsv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0001_RUN-002_illumina_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0001_RUN-002_illumina_snv_alignstats.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2d_002_ilmn_snv --git-tag 2.0.28 --genome hg38_broad --dy-command ""bin/day_run produce_sent_align produce_dmd_dedup_cram produce_sentd_snv_vcf produce_snv_concordances produce_alignstats -p -k -j 20 -n"" --profile lsmc --region us-west-2 --cluster dyec-515 --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg003_5x/20260531T153828Z_07d3a15d_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg003_5x/20260531T153828Z_07d3a15d_units.tsv --session-name d515_0531t1541_r2d_002_ilmn_snv --skip-project-check --dry-run"
2	2026-05-31T15:43:15Z	2026-05-31T15:43:34Z	RUN-003	illumina_snv_alignstats_relatedness_vep_multiqc	d515_0531t1541_r2d_003_ilmn_mqc	d515_0531t1541_r2d_003_ilmn_mqc	illumina_hg003_5x	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg003_5x/20260531T153828Z_07d3a15d_samples.tsv	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg003_5x/20260531T153828Z_07d3a15d_units.tsv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0002_RUN-003_illumina_snv_alignstats_relatedness_vep_multiqc.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0002_RUN-003_illumina_snv_alignstats_relatedness_vep_multiqc.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2d_003_ilmn_mqc --git-tag 2.0.28 --genome hg38_broad --dy-command ""bin/day_run produce_sent_align produce_dmd_dedup_cram produce_sentd_snv_vcf produce_alignstats produce_snv_concordances produce_relatedness produce_vep produce_multiqc_all --config 'multiqc_qc={\""enable_tools\"":[\""vep\""]}' -p -j 100 -k -n"" --profile lsmc --region us-west-2 --cluster dyec-515 --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg003_5x/20260531T153828Z_07d3a15d_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg003_5x/20260531T153828Z_07d3a15d_units.tsv --session-name d515_0531t1541_r2d_003_ilmn_mqc --skip-project-check --dry-run"
3	2026-05-31T15:43:34Z	2026-05-31T15:43:52Z	RUN-004	illumina_hg002_kitchensink_multiqc	d515_0531t1541_r2d_004_hg002_kit	d515_0531t1541_r2d_004_hg002_kit	illumina_hg002_kitchen	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg002_kitchen/20260531T153842Z_942511ae_samples.tsv	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg002_kitchen/20260531T153842Z_942511ae_units.tsv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0003_RUN-004_illumina_hg002_kitchensink_multiqc.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0003_RUN-004_illumina_hg002_kitchensink_multiqc.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2d_004_hg002_kit --git-tag 2.0.28 --genome hg38 --dy-command ""bin/day_run produce_sent_align produce_dmd_dedup_cram produce_sentd_snv_vcf produce_alignstats produce_snv_concordances produce_relatedness produce_gatk_contam_estimate produce_site_mix_contam_estimate produce_global_contam_check produce_vep produce_expansionhunter produce_htd_calls produce_metagenomics produce_multiqc_all --config 'aligners=[\""sent\""]' 'dedupers=[\""dmd\""]' 'snv_callers=[\""sentd\""]' 'htd_callers=[\""cyrius\""]' 'multiqc_qc={\""enable_tools\"":[\""vep\"",\""metagenomics\"",\""contam_identity\""]}' -j 200 -p -k --rerun-triggers mtime -n"" --profile lsmc --region us-west-2 --cluster dyec-515 --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg002_kitchen/20260531T153842Z_942511ae_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/illumina_hg002_kitchen/20260531T153842Z_942511ae_units.tsv --session-name d515_0531t1541_r2d_004_hg002_kit --skip-project-check --dry-run"
4	2026-05-31T15:43:52Z	2026-05-31T15:44:11Z	RUN-005	ultima_snv_alignstats	d515_0531t1541_r2d_005_ug_snv	d515_0531t1541_r2d_005_ug_snv	ultima_hg003_5x	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ultima_hg003_5x/20260531T153915Z_d9c041a0_samples.tsv	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ultima_hg003_5x/20260531T153915Z_d9c041a0_units.tsv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0004_RUN-005_ultima_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0004_RUN-005_ultima_snv_alignstats.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2d_005_ug_snv --git-tag 2.0.28 --genome hg38_broad --dy-command ""bin/day_run produce_alignstats produce_na_dedup_cram produce_sentdug_snv_vcf produce_snv_concordances -p -j 20 -k -n"" --profile lsmc --region us-west-2 --cluster dyec-515 --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ultima_hg003_5x/20260531T153915Z_d9c041a0_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ultima_hg003_5x/20260531T153915Z_d9c041a0_units.tsv --session-name d515_0531t1541_r2d_005_ug_snv --skip-project-check --dry-run"
5	2026-05-31T15:44:11Z	2026-05-31T15:44:29Z	RUN-006	ultima_snv_alignstats_kitchensink	d515_0531t1541_r2d_006_ug_mqc	d515_0531t1541_r2d_006_ug_mqc	ultima_hg003_5x	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ultima_hg003_5x/20260531T153915Z_d9c041a0_samples.tsv	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ultima_hg003_5x/20260531T153915Z_d9c041a0_units.tsv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0005_RUN-006_ultima_snv_alignstats_kitchensink.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0005_RUN-006_ultima_snv_alignstats_kitchensink.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2d_006_ug_mqc --git-tag 2.0.28 --genome hg38_broad --dy-command ""bin/day_run produce_alignstats produce_na_dedup_cram produce_sentdug_snv_vcf produce_snv_concordances produce_relatedness produce_vep produce_multiqc_all --config 'multiqc_qc={\""enable_tools\"":[\""vep\""]}' -p -j 100 -k -n"" --profile lsmc --region us-west-2 --cluster dyec-515 --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ultima_hg003_5x/20260531T153915Z_d9c041a0_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ultima_hg003_5x/20260531T153915Z_d9c041a0_units.tsv --session-name d515_0531t1541_r2d_006_ug_mqc --skip-project-check --dry-run"
6	2026-05-31T15:44:29Z	2026-05-31T15:44:47Z	RUN-007	ont_snv_alignstats	d515_0531t1541_r2d_007_ont_snv	d515_0531t1541_r2d_007_ont_snv	ont_hg003_5x	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ont_hg003_5x/20260531T153943Z_b988a1b5_samples.tsv	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ont_hg003_5x/20260531T153943Z_b988a1b5_units.tsv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0006_RUN-007_ont_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0006_RUN-007_ont_snv_alignstats.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2d_007_ont_snv --git-tag 2.0.28 --genome hg38_broad --dy-command ""bin/day_run produce_alignstats produce_sentdont_snv_vcf produce_snv_concordances -p -j 5 -k -n"" --profile lsmc --region us-west-2 --cluster dyec-515 --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ont_hg003_5x/20260531T153943Z_b988a1b5_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ont_hg003_5x/20260531T153943Z_b988a1b5_units.tsv --session-name d515_0531t1541_r2d_007_ont_snv --skip-project-check --dry-run"
7	2026-05-31T15:44:47Z	2026-05-31T15:45:06Z	RUN-008	ont_snv_alignstats_kitchensink	d515_0531t1541_r2d_008_ont_mqc	d515_0531t1541_r2d_008_ont_mqc	ont_hg003_5x	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ont_hg003_5x/20260531T153943Z_b988a1b5_samples.tsv	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ont_hg003_5x/20260531T153943Z_b988a1b5_units.tsv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0007_RUN-008_ont_snv_alignstats_kitchensink.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0007_RUN-008_ont_snv_alignstats_kitchensink.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2d_008_ont_mqc --git-tag 2.0.28 --genome hg38_broad --dy-command ""bin/day_run produce_alignstats produce_sentdont_snv_vcf produce_snv_concordances produce_relatedness produce_vep produce_multiqc_all --config 'multiqc_qc={\""enable_tools\"":[\""vep\""]}' -p -j 5 -k -n"" --profile lsmc --region us-west-2 --cluster dyec-515 --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ont_hg003_5x/20260531T153943Z_b988a1b5_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/ont_hg003_5x/20260531T153943Z_b988a1b5_units.tsv --session-name d515_0531t1541_r2d_008_ont_mqc --skip-project-check --dry-run"
8	2026-05-31T15:45:06Z	2026-05-31T15:45:24Z	RUN-009	pacbio_snv_alignstats	d515_0531t1541_r2d_009_pb_snv	d515_0531t1541_r2d_009_pb_snv	pacbio_hg003_5x	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/pacbio_hg003_5x/20260531T153957Z_7b82e2fd_samples.tsv	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/pacbio_hg003_5x/20260531T153957Z_7b82e2fd_units.tsv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0008_RUN-009_pacbio_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0008_RUN-009_pacbio_snv_alignstats.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2d_009_pb_snv --git-tag 2.0.28 --genome hg38_broad --dy-command ""bin/day_run produce_sentmm2_align produce_na_dedup_cram produce_sentdpb_snv_vcf produce_alignstats produce_snv_concordances -p -j 2 -k -T 1 -n"" --profile lsmc --region us-west-2 --cluster dyec-515 --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/pacbio_hg003_5x/20260531T153957Z_7b82e2fd_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/pacbio_hg003_5x/20260531T153957Z_7b82e2fd_units.tsv --session-name d515_0531t1541_r2d_009_pb_snv --skip-project-check --dry-run"
9	2026-05-31T15:45:24Z	2026-05-31T15:45:42Z	RUN-010	roche_snv_alignstats	d515_0531t1541_r2d_010_roche	d515_0531t1541_r2d_010_roche	roche_hg003_5x	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/roche_hg003_5x/20260531T154012Z_a128fc02_samples.tsv	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/roche_hg003_5x/20260531T154012Z_a128fc02_units.tsv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0009_RUN-010_roche_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0009_RUN-010_roche_snv_alignstats.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2d_010_roche --git-tag 2.0.28 --genome hg38_broad --dy-command ""bin/day_run produce_alignstats produce_na_dedup_cram produce_sentD_vcf -p -j 5 -k -n"" --profile lsmc --region us-west-2 --cluster dyec-515 --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/roche_hg003_5x/20260531T154012Z_a128fc02_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/roche_hg003_5x/20260531T154012Z_a128fc02_units.tsv --session-name d515_0531t1541_r2d_010_roche --skip-project-check --dry-run"
10	2026-05-31T15:45:42Z	2026-05-31T15:46:01Z	RUN-011	hybrid_ilmn_ont_snv	d515_0531t1541_r2d_011_hio_snv	d515_0531t1541_r2d_011_hio_snv	hybrid_ilmn_ont_hg003_5x5x	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/hybrid_ilmn_ont_hg003_5x5x/20260531T154056Z_6adae0d5_samples.tsv	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/hybrid_ilmn_ont_hg003_5x5x/20260531T154056Z_6adae0d5_units.tsv	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0010_RUN-011_hybrid_ilmn_ont_snv.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/direct_logs/0010_RUN-011_hybrid_ilmn_ont_snv.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1541_r2d_011_hio_snv --git-tag 2.0.28 --genome hg38_broad --dy-command ""bin/day_run produce_snv_concordances produce_sentdhiomr_sv produce_sentdhiomr_snv_vcf --config 'dedupers=[\""dmd\""]' -p -j 100 -k -n"" --profile lsmc --region us-west-2 --cluster dyec-515 --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/hybrid_ilmn_ont_hg003_5x5x/20260531T154056Z_6adae0d5_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/generated_sample_configs/hybrid_ilmn_ont_hg003_5x5x/20260531T154056Z_6adae0d5_units.tsv --session-name d515_0531t1541_r2d_011_hio_snv --skip-project-check --dry-run"
