idx	attempt	checked_at	row_id	command_id	analysis_id	session	rc	exit_code	state	started_at	completed_at	stdout	stderr
1	1	2026-05-31T15:48:01Z	RUN-001	simple-test	d515_0531t1541_r2_001_simple	d515_0531t1541_r2_001_simple	0	1		2026-05-31T15:38:14Z	2026-05-31T15:38:36Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0001_RUN-001_simple-test.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0001_RUN-001_simple-test.stderr.txt
2	1	2026-05-31T15:48:09Z	RUN-016	illumina_run_qc	d515_0531t1541_r2_016_ilmn_runqc	d515_0531t1541_r2_016_ilmn_runqc	0	1		2026-05-31T15:42:00Z	2026-05-31T15:42:21Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0002_RUN-016_illumina_run_qc.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0002_RUN-016_illumina_run_qc.stderr.txt
3	1	2026-05-31T15:48:18Z	RUN-002	illumina_snv_alignstats	d515_0531t1541_r2d_002_ilmn_snv	d515_0531t1541_r2d_002_ilmn_snv	0	1		2026-05-31T15:43:16Z	2026-05-31T15:43:37Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0003_RUN-002_illumina_snv_alignstats.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0003_RUN-002_illumina_snv_alignstats.stderr.txt
4	1	2026-05-31T15:48:27Z	RUN-003	illumina_snv_alignstats_relatedness_vep_multiqc	d515_0531t1541_r2d_003_ilmn_mqc	d515_0531t1541_r2d_003_ilmn_mqc	0	1		2026-05-31T15:43:35Z	2026-05-31T15:43:56Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0004_RUN-003_illumina_snv_alignstats_relatedness_vep_multiqc.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0004_RUN-003_illumina_snv_alignstats_relatedness_vep_multiqc.stderr.txt
5	1	2026-05-31T15:48:36Z	RUN-004	illumina_hg002_kitchensink_multiqc	d515_0531t1541_r2d_004_hg002_kit	d515_0531t1541_r2d_004_hg002_kit	0	1		2026-05-31T15:43:53Z	2026-05-31T15:44:14Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0005_RUN-004_illumina_hg002_kitchensink_multiqc.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0005_RUN-004_illumina_hg002_kitchensink_multiqc.stderr.txt
6	1	2026-05-31T15:48:45Z	RUN-005	ultima_snv_alignstats	d515_0531t1541_r2d_005_ug_snv	d515_0531t1541_r2d_005_ug_snv	0	1		2026-05-31T15:44:11Z	2026-05-31T15:44:33Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0006_RUN-005_ultima_snv_alignstats.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0006_RUN-005_ultima_snv_alignstats.stderr.txt
7	1	2026-05-31T15:48:53Z	RUN-006	ultima_snv_alignstats_kitchensink	d515_0531t1541_r2d_006_ug_mqc	d515_0531t1541_r2d_006_ug_mqc	0	1		2026-05-31T15:44:30Z	2026-05-31T15:44:51Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0007_RUN-006_ultima_snv_alignstats_kitchensink.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0007_RUN-006_ultima_snv_alignstats_kitchensink.stderr.txt
8	1	2026-05-31T15:49:02Z	RUN-007	ont_snv_alignstats	d515_0531t1541_r2d_007_ont_snv	d515_0531t1541_r2d_007_ont_snv	0	1		2026-05-31T15:44:48Z	2026-05-31T15:45:09Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0008_RUN-007_ont_snv_alignstats.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0008_RUN-007_ont_snv_alignstats.stderr.txt
9	1	2026-05-31T15:49:10Z	RUN-008	ont_snv_alignstats_kitchensink	d515_0531t1541_r2d_008_ont_mqc	d515_0531t1541_r2d_008_ont_mqc	0	1		2026-05-31T15:45:06Z	2026-05-31T15:45:28Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0009_RUN-008_ont_snv_alignstats_kitchensink.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0009_RUN-008_ont_snv_alignstats_kitchensink.stderr.txt
10	1	2026-05-31T15:49:19Z	RUN-009	pacbio_snv_alignstats	d515_0531t1541_r2d_009_pb_snv	d515_0531t1541_r2d_009_pb_snv	0	1		2026-05-31T15:45:25Z	2026-05-31T15:45:46Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0010_RUN-009_pacbio_snv_alignstats.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T154100Z_dyec515_non_bcl_retest/status/0010_RUN-009_pacbio_snv_alignstats.stderr.txt
