idx	label	start	end	rc	stdout	stderr	command
1	config_illumina_hg003_5x	2026-05-31T16:10:10Z	2026-05-31T16:10:25Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0001_config_illumina_hg003_5x.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0001_config_illumina_hg003_5x.stderr.txt	dyec samples stage /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/illumina_hg003_5x.tsv --config-only --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/illumina_hg003_5x --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515
2	config_illumina_hg002_kitchen	2026-05-31T16:10:25Z	2026-05-31T16:10:47Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0002_config_illumina_hg002_kitchen.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0002_config_illumina_hg002_kitchen.stderr.txt	dyec samples stage /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T223700Z_goodole3_inputs/illumina_0p1x_kitchensink.tsv --config-only --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/illumina_hg002_kitchen --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515
3	config_ultima_hg003_5x	2026-05-31T16:10:47Z	2026-05-31T16:11:01Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0003_config_ultima_hg003_5x.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0003_config_ultima_hg003_5x.stderr.txt	dyec samples stage /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/ultima_hg003_5x.tsv --config-only --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/ultima_hg003_5x --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515
4	config_ont_hg003_5x	2026-05-31T16:11:01Z	2026-05-31T16:11:15Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0004_config_ont_hg003_5x.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0004_config_ont_hg003_5x.stderr.txt	dyec samples stage /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/ont_hg003_5x.tsv --config-only --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/ont_hg003_5x --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515
5	config_pacbio_hg003_5x	2026-05-31T16:11:15Z	2026-05-31T16:11:28Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0005_config_pacbio_hg003_5x.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0005_config_pacbio_hg003_5x.stderr.txt	dyec samples stage /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/pacbio_hg003_5x.tsv --config-only --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/pacbio_hg003_5x --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515
6	config_roche_hg003_5x	2026-05-31T16:11:28Z	2026-05-31T16:11:42Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0006_config_roche_hg003_5x.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0006_config_roche_hg003_5x.stderr.txt	dyec samples stage /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/roche_hg003_5x.tsv --config-only --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/roche_hg003_5x --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515
7	config_hybrid_ilmn_ont_hg003_5x5x	2026-05-31T16:11:42Z	2026-05-31T16:11:57Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0007_config_hybrid_ilmn_ont_hg003_5x5x.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0007_config_hybrid_ilmn_ont_hg003_5x5x.stderr.txt	dyec samples stage /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/hybrid_ilmn_ont_hg003_5x5x.tsv --config-only --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/hybrid_ilmn_ont_hg003_5x5x --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515
8	config_hybrid_ultima_ont_hg003_5x5x	2026-05-31T16:11:57Z	2026-05-31T16:12:12Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0008_config_hybrid_ultima_ont_hg003_5x5x.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0008_config_hybrid_ultima_ont_hg003_5x5x.stderr.txt	dyec samples stage /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/hybrid_ultima_ont_hg003_5x5x.tsv --config-only --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/hybrid_ultima_ont_hg003_5x5x --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515
9	config_complete_genomics_mgi_hg003	2026-05-31T16:12:12Z	2026-05-31T16:12:26Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0009_config_complete_genomics_mgi_hg003.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0009_config_complete_genomics_mgi_hg003.stderr.txt	dyec samples stage /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260526T224018Z_blahab44_inputs/complete_genomics_mgi_hg003_candidate_blocked.tsv --config-only --config-dir /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/complete_genomics_mgi_hg003 --reference-s3-uri s3://lsmc-dayoa-references-usw2 --control-data-s3-uri s3://lsmc-dayoa-control-data-usw2 --stage-s3-uri s3://lsmc-ssf-sequencing-data/staged_external_data --stage-target /fsx/staging/staged_external_sequencing_data --profile lsmc --region us-west-2 --cluster dyec-515
10	launch_001_simple-test	2026-05-31T16:12:26Z	2026-05-31T16:12:46Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0010_launch_001_simple-test.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0010_launch_001_simple-test.stderr.txt	dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_001_simple_test --git-tag 2.0.29 --genome hg38 --dy-command 'source dyoainit; dy-a local hg38; dy-r -p -k -j 1 help' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_001_simple_test --skip-project-check --no-containerized --no-input-staging --no-default-activation --bootstrap-test-config
