idx	attempt	checked_at	command_id	session	status_rc	exit_code	state	started_at	completed_at	stdout	stderr
1	1	2026-05-31T16:18:35Z	simple-test	d515_0531t1608_r3_001_simple_test	0	0		2026-05-31T16:12:46Z	2026-05-31T16:13:15Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0001_simple-test.attempt1.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0001_simple-test.attempt1.stderr.txt
2	1	2026-05-31T16:18:47Z	illumina_snv_alignstats	d515_0531t1608_r3_002_illumina_snv_alignstats	0	0		2026-05-31T16:13:05Z	2026-05-31T16:13:29Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0002_illumina_snv_alignstats.attempt1.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0002_illumina_snv_alignstats.attempt1.stderr.txt
3	1	2026-05-31T16:18:55Z	illumina_snv_alignstats_relatedness_vep_multiqc	d515_0531t1608_r3_003_illumina_snv_alignstats_rela	0	0		2026-05-31T16:13:24Z	2026-05-31T16:13:48Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0003_illumina_snv_alignstats_relatedness_vep_multiqc.attempt1.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0003_illumina_snv_alignstats_relatedness_vep_multiqc.attempt1.stderr.txt
4	1	2026-05-31T16:19:04Z	illumina_hg002_kitchensink_multiqc	d515_0531t1608_r3_004_illumina_hg002_kitchensink_m	0	0		2026-05-31T16:13:43Z	2026-05-31T16:14:07Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0004_illumina_hg002_kitchensink_multiqc.attempt1.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0004_illumina_hg002_kitchensink_multiqc.attempt1.stderr.txt
5	1	2026-05-31T16:19:13Z	ultima_snv_alignstats	d515_0531t1608_r3_005_ultima_snv_alignstats	0	0		2026-05-31T16:14:02Z	2026-05-31T16:14:26Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0005_ultima_snv_alignstats.attempt1.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0005_ultima_snv_alignstats.attempt1.stderr.txt
6	1	2026-05-31T16:19:22Z	ultima_snv_alignstats_kitchensink	d515_0531t1608_r3_006_ultima_snv_alignstats_kitche	0	0		2026-05-31T16:14:21Z	2026-05-31T16:14:45Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0006_ultima_snv_alignstats_kitchensink.attempt1.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0006_ultima_snv_alignstats_kitchensink.attempt1.stderr.txt
7	1	2026-05-31T16:19:31Z	ont_snv_alignstats	d515_0531t1608_r3_007_ont_snv_alignstats	0	0		2026-05-31T16:14:39Z	2026-05-31T16:15:03Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0007_ont_snv_alignstats.attempt1.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0007_ont_snv_alignstats.attempt1.stderr.txt
8	1	2026-05-31T16:19:39Z	ont_snv_alignstats_kitchensink	d515_0531t1608_r3_008_ont_snv_alignstats_kitchensi	0	0		2026-05-31T16:14:58Z	2026-05-31T16:15:22Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0008_ont_snv_alignstats_kitchensink.attempt1.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0008_ont_snv_alignstats_kitchensink.attempt1.stderr.txt
9	1	2026-05-31T16:19:48Z	pacbio_snv_alignstats	d515_0531t1608_r3_009_pacbio_snv_alignstats	0	0		2026-05-31T16:15:17Z	2026-05-31T16:15:41Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0009_pacbio_snv_alignstats.attempt1.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0009_pacbio_snv_alignstats.attempt1.stderr.txt
10	1	2026-05-31T16:19:57Z	roche_snv_alignstats	d515_0531t1608_r3_010_roche_snv_alignstats	0	0		2026-05-31T16:15:36Z	2026-05-31T16:15:59Z	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0010_roche_snv_alignstats.attempt1.stdout.json	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/status/0010_roche_snv_alignstats.attempt1.stderr.txt
