run_prefix	fastq_key	fastq_uri	sample_token	lane	read	size_bytes	size_human	last_modified
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L001_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L001_R1_001.fastq.gz	LSMC_HG003	001	1	2509173323	2.34 GiB	2026-05-09T19:33:49Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L001_R2_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L001_R2_001.fastq.gz	LSMC_HG003	001	2	2745273914	2.56 GiB	2026-05-09T19:51:31Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L002_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L002_R1_001.fastq.gz	LSMC_HG003	002	1	2593610490	2.42 GiB	2026-05-09T19:33:49Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L002_R2_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L002_R2_001.fastq.gz	LSMC_HG003	002	2	2839383140	2.64 GiB	2026-05-09T19:33:49Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L003_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L003_R1_001.fastq.gz	LSMC_HG003	003	1	2551468693	2.38 GiB	2026-05-09T19:51:31Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L003_R2_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L003_R2_001.fastq.gz	LSMC_HG003	003	2	2796429788	2.60 GiB	2026-05-10T02:03:39Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L004_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L004_R1_001.fastq.gz	LSMC_HG003	004	1	2532487501	2.36 GiB	2026-05-09T19:33:49Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L004_R2_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L004_R2_001.fastq.gz	LSMC_HG003	004	2	2777323085	2.59 GiB	2026-05-09T19:33:49Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L005_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L005_R1_001.fastq.gz	LSMC_HG003	005	1	2578182167	2.40 GiB	2026-05-09T19:34:03Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L005_R2_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L005_R2_001.fastq.gz	LSMC_HG003	005	2	2822743524	2.63 GiB	2026-05-09T19:34:22Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L006_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L006_R1_001.fastq.gz	LSMC_HG003	006	1	2590881719	2.41 GiB	2026-05-10T02:03:50Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L006_R2_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L006_R2_001.fastq.gz	LSMC_HG003	006	2	2833946243	2.64 GiB	2026-05-10T02:03:59Z
basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/	basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L007_R1_001.fastq.gz	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/LH01106/2026/20260507_LH01106_0005_A23K3JVLT4/Analysis/1/Data/BCLConvert/fastq/LSMC_HG003_S96_L007_R1_001.fastq.gz	LSMC_HG003	007	1	2579167454	2.40 GiB	2026-05-10T02:04:11Z
