DAY-EC activated.
DAY-EC activated.
JOBID  PARTITION  CPUS  ST  NODELIST  MIN_CPUS  STATE  MIN_MEMORY  TIME  NODES  NAME
12  i192  32  CF  i192-dy-all-2  32  CONFIGURING  3000M  0:00  1  fastqc_subsampled-20260526-LH01121-0004-B23WW2NLT4-HG003-c-GIAB-all-S9-PF-ILMN-NOVASEQ
13  i192  16  CF  i192-dy-all-2  16  CONFIGURING  3000M  0:00  1  seqfu-20260526-LH01121-0004-B23WW2NLT4-NA09677-SMN-all-S47-PF-ILMN-NOVASEQ
1  i192  32  CF  i192-dy-all-1  32  CONFIGURING  3000M  0:01  1  fastqc_subsampled-20260526-LH01121-0004-B23WW2NLT4-HG003-a-GIAB-all-S7-PF-ILMN-NOVASEQ
2  i192  32  CF  i192-dy-all-1  32  CONFIGURING  3000M  0:01  1  fastqc_subsampled-20260526-LH01121-0004-B23WW2NLT4-NA09677-SMN-all-S47-PF-ILMN-NOVASEQ
3  i192  32  CF  i192-dy-all-1  32  CONFIGURING  3000M  0:01  1  fastqc_subsampled-20260526-LH01121-0004-B23WW2NLT4-NA05164-DMPK-all-S49-PF-ILMN-NOVASEQ
4  i192  16  CF  i192-dy-all-1  16  CONFIGURING  3000M  0:01  1  seqfu-20260526-LH01121-0004-B23WW2NLT4-NA00232-SMN-all-S46-PF-ILMN-NOVASEQ
5  i192  32  CF  i192-dy-all-1  32  CONFIGURING  3000M  0:01  1  fastqc_subsampled-20260526-LH01121-0004-B23WW2NLT4-NA03986-DMPK-all-S48-PF-ILMN-NOVASEQ
6  i192  16  CF  i192-dy-all-1  16  CONFIGURING  3000M  0:01  1  seqfu-20260526-LH01121-0004-B23WW2NLT4-HG003-c-GIAB-all-S9-PF-ILMN-NOVASEQ
7  i192  16  CF  i192-dy-all-1  16  CONFIGURING  3000M  0:01  1  seqfu-20260526-LH01121-0004-B23WW2NLT4-NA03986-DMPK-all-S48-PF-ILMN-NOVASEQ
8  i192  32  CF  i192-dy-all-2  32  CONFIGURING  3000M  0:01  1  fastqc_subsampled-20260526-LH01121-0004-B23WW2NLT4-NA00232-SMN-all-S46-PF-ILMN-NOVASEQ
9  i192  16  CF  i192-dy-all-1  16  CONFIGURING  3000M  0:01  1  seqfu-20260526-LH01121-0004-B23WW2NLT4-HG003-b-GIAB-all-S8-PF-ILMN-NOVASEQ
10  i192  16  CF  i192-dy-all-2  16  CONFIGURING  3000M  0:01  1  seqfu-20260526-LH01121-0004-B23WW2NLT4-NA05164-DMPK-all-S49-PF-ILMN-NOVASEQ
11  i192  16  CF  i192-dy-all-2  16  CONFIGURING  3000M  0:01  1  seqfu-20260526-LH01121-0004-B23WW2NLT4-HG003-a-GIAB-all-S7-PF-ILMN-NOVASEQ
14  i192,i192mem,i128  32  PD    32  PENDING  3000M  0:00  1  fastqc_subsampled-20260526-LH01121-0004-B23WW2NLT4-HG003-b-GIAB-all-S8-PF-ILMN-NOVASEQ
