DAY-EC activated.
DAY-EC activated.
JOBID  PARTITION  CPUS  ST  NODELIST  MIN_CPUS  STATE  MIN_MEMORY  TIME  NODES  NAME
832  i192  192  R  i192-dy-all-4  192  RUNNING  200000M  1:44  1  sentmm2ont_align_sort-ONT-4Coriells-chip4-NA03986-DMPK-chip4-barcode20-chip4-0010-PF-ONT-PROMETHION
831  i192  192  R  i192-dy-all-2  192  RUNNING  200000M  2:02  1  sentmm2ont_align_sort-ONT-4Coriells-chip1-NA03986-DMPK-chip1-barcode20-chip1-0009-PF-ONT-PROMETHION
830  i192  192  R  i192-dy-all-10  192  RUNNING  200000M  2:13  1  sentmm2ont_align_sort-ONT-4Coriells-chip1-NA03986-DMPK-chip1-barcode20-chip1-0010-PF-ONT-PROMETHION
694  i192  8  R  i192-dy-all-3  8  RUNNING  16000M  53:39  1  haplocheck_vcf_contam_identity-20260526-LH01121-0004-B23WW2NLT4-NA00232-SMN-all-S46-PF-ILMN-NOVASEQ
620  i192  8  R  i192-dy-all-1  8  RUNNING  16000M  54:58  1  haplocheck_vcf_contam_identity-20260526-LH01121-0004-B23WW2NLT4-HG003-c-GIAB-all-S9-PF-ILMN-NOVASEQ
561  i192  8  R  i192-dy-all-5  8  RUNNING  16000M  55:58  1  haplocheck_vcf_contam_identity-20260526-LH01121-0004-B23WW2NLT4-HG003-a-GIAB-all-S7-PF-ILMN-NOVASEQ
487  i192  8  R  i192-dy-all-14  8  RUNNING  16000M  57:22  1  haplocheck_vcf_contam_identity-20260526-LH01121-0004-B23WW2NLT4-HG003-b-GIAB-all-S8-PF-ILMN-NOVASEQ
417  i192  8  R  i192-dy-all-1  8  RUNNING  16000M  59:32  1  haplocheck_vcf_contam_identity-20260526-LH01121-0004-B23WW2NLT4-NA09677-SMN-all-S47-PF-ILMN-NOVASEQ
351  i192  8  R  i192-dy-all-1  8  RUNNING  16000M  1:02:17  1  haplocheck_vcf_contam_identity-20260526-LH01121-0004-B23WW2NLT4-NA03986-DMPK-all-S48-PF-ILMN-NOVASEQ
256  i192  8  R  i192-dy-all-1  8  RUNNING  16000M  1:06:45  1  haplocheck_vcf_contam_identity-20260526-LH01121-0004-B23WW2NLT4-NA05164-DMPK-all-S49-PF-ILMN-NOVASEQ
