sample	target	chip	barcode	ilmn_r1	ilmn_r2	ont_cram	ont_crai
NA00232	SMN	chip1	barcode18-chip1	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R2_001.fastq.gz	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip1-NA00232-SMN-chip1-barcode18-chip1-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip1-NA00232-SMN-chip1-barcode18-chip1-PF-ONT-PROMETHION.sentmm2ont.na.cram	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip1-NA00232-SMN-chip1-barcode18-chip1-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip1-NA00232-SMN-chip1-barcode18-chip1-PF-ONT-PROMETHION.sentmm2ont.na.cram.crai
NA00232	SMN	chip2	barcode18-chip2	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R2_001.fastq.gz	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip2-NA00232-SMN-chip2-barcode18-chip2-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip2-NA00232-SMN-chip2-barcode18-chip2-PF-ONT-PROMETHION.sentmm2ont.na.cram	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip2-NA00232-SMN-chip2-barcode18-chip2-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip2-NA00232-SMN-chip2-barcode18-chip2-PF-ONT-PROMETHION.sentmm2ont.na.cram.crai
NA00232	SMN	chip4	barcode18-chip4	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R2_001.fastq.gz	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip4-NA00232-SMN-chip4-barcode18-chip4-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip4-NA00232-SMN-chip4-barcode18-chip4-PF-ONT-PROMETHION.sentmm2ont.na.cram	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip4-NA00232-SMN-chip4-barcode18-chip4-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip4-NA00232-SMN-chip4-barcode18-chip4-PF-ONT-PROMETHION.sentmm2ont.na.cram.crai
NA09677	SMN	chip1	barcode19-chip1	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R2_001.fastq.gz	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip1-NA09677-SMN-chip1-barcode19-chip1-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip1-NA09677-SMN-chip1-barcode19-chip1-PF-ONT-PROMETHION.sentmm2ont.na.cram	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip1-NA09677-SMN-chip1-barcode19-chip1-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip1-NA09677-SMN-chip1-barcode19-chip1-PF-ONT-PROMETHION.sentmm2ont.na.cram.crai
NA09677	SMN	chip2	barcode19-chip2	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R2_001.fastq.gz	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip2-NA09677-SMN-chip2-barcode19-chip2-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip2-NA09677-SMN-chip2-barcode19-chip2-PF-ONT-PROMETHION.sentmm2ont.na.cram	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip2-NA09677-SMN-chip2-barcode19-chip2-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip2-NA09677-SMN-chip2-barcode19-chip2-PF-ONT-PROMETHION.sentmm2ont.na.cram.crai
NA09677	SMN	chip3	barcode19-chip3	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R2_001.fastq.gz	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip3-NA09677-SMN-chip3-barcode19-chip3-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip3-NA09677-SMN-chip3-barcode19-chip3-PF-ONT-PROMETHION.sentmm2ont.na.cram	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip3-NA09677-SMN-chip3-barcode19-chip3-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip3-NA09677-SMN-chip3-barcode19-chip3-PF-ONT-PROMETHION.sentmm2ont.na.cram.crai
NA09677	SMN	chip4	barcode19-chip4	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R2_001.fastq.gz	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip4-NA09677-SMN-chip4-barcode19-chip4-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip4-NA09677-SMN-chip4-barcode19-chip4-PF-ONT-PROMETHION.sentmm2ont.na.cram	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip4-NA09677-SMN-chip4-barcode19-chip4-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip4-NA09677-SMN-chip4-barcode19-chip4-PF-ONT-PROMETHION.sentmm2ont.na.cram.crai
NA03986	DMPK	chip1	barcode20-chip1	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R2_001.fastq.gz	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip1-NA03986-DMPK-chip1-barcode20-chip1-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip1-NA03986-DMPK-chip1-barcode20-chip1-PF-ONT-PROMETHION.sentmm2ont.na.cram	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip1-NA03986-DMPK-chip1-barcode20-chip1-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip1-NA03986-DMPK-chip1-barcode20-chip1-PF-ONT-PROMETHION.sentmm2ont.na.cram.crai
NA03986	DMPK	chip2	barcode20-chip2	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R2_001.fastq.gz	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip2-NA03986-DMPK-chip2-barcode20-chip2-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip2-NA03986-DMPK-chip2-barcode20-chip2-PF-ONT-PROMETHION.sentmm2ont.na.cram	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip2-NA03986-DMPK-chip2-barcode20-chip2-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip2-NA03986-DMPK-chip2-barcode20-chip2-PF-ONT-PROMETHION.sentmm2ont.na.cram.crai
NA03986	DMPK	chip4	barcode20-chip4	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R2_001.fastq.gz	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip4-NA03986-DMPK-chip4-barcode20-chip4-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip4-NA03986-DMPK-chip4-barcode20-chip4-PF-ONT-PROMETHION.sentmm2ont.na.cram	/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip4-NA03986-DMPK-chip4-barcode20-chip4-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip4-NA03986-DMPK-chip4-barcode20-chip4-PF-ONT-PROMETHION.sentmm2ont.na.cram.crai
