RUNID	SAMPLEID	EXPERIMENTID	LANEID	BARCODEID	LIBPREP	SEQ_VENDOR	SEQ_PLATFORM	ILMN_R1_PATH	ILMN_R2_PATH	PACBIO_R1_PATH	PACBIO_R2_PATH	ONT_R1_PATH	ONT_R2_PATH	UG_R1_PATH	UG_R2_PATH	SUBSAMPLE_PCT	ILMN_TRIM_READ_LENGTH	SAMPLEUSE	BWA_KMER	DEEP_MODEL	ULTIMA_CRAM	ULTIMA_CRAM_ALIGNER	ULTIMA_CRAM_SNV_CALLER	ONT_CRAM	ONT_CRAM_ALIGNER	ONT_CRAM_SNV_CALLER	PB_BAM	PB_BAM_ALIGNER	PB_BAM_SNV_CALLER	ROCHE_BAM	ROCHE_BAM_ALIGNER	ROCHE_BAM_SNV_CALLER	ROCHE_DOWNSAMPLE_RATIO	LONGREADTRIM_READ_LENGTH	LONGREADTRIM_MODE	ULTIMA_SUBSAMPLE_PCT	ONT_SUBSAMPLE_PCT	ONT_BAM	ONT_BAM_ALIGNER	ONT_BAM_SNV_CALLER
HYB-4Coriells-chip1	NA00232	SMN	chip1	barcode18-chip1	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R2_001.fastq.gz							na		sample	19	WGS				/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip1-NA00232-SMN-chip1-barcode18-chip1-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip1-NA00232-SMN-chip1-barcode18-chip1-PF-ONT-PROMETHION.sentmm2ont.na.cram	ont	sentdont														
HYB-4Coriells-chip2	NA00232	SMN	chip2	barcode18-chip2	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R2_001.fastq.gz							na		sample	19	WGS				/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip2-NA00232-SMN-chip2-barcode18-chip2-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip2-NA00232-SMN-chip2-barcode18-chip2-PF-ONT-PROMETHION.sentmm2ont.na.cram	ont	sentdont														
HYB-4Coriells-chip4	NA00232	SMN	chip4	barcode18-chip4	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R2_001.fastq.gz							na		sample	19	WGS				/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip4-NA00232-SMN-chip4-barcode18-chip4-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip4-NA00232-SMN-chip4-barcode18-chip4-PF-ONT-PROMETHION.sentmm2ont.na.cram	ont	sentdont														
HYB-4Coriells-chip1	NA09677	SMN	chip1	barcode19-chip1	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R2_001.fastq.gz							na		sample	19	WGS				/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip1-NA09677-SMN-chip1-barcode19-chip1-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip1-NA09677-SMN-chip1-barcode19-chip1-PF-ONT-PROMETHION.sentmm2ont.na.cram	ont	sentdont														
HYB-4Coriells-chip2	NA09677	SMN	chip2	barcode19-chip2	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R2_001.fastq.gz							na		sample	19	WGS				/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip2-NA09677-SMN-chip2-barcode19-chip2-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip2-NA09677-SMN-chip2-barcode19-chip2-PF-ONT-PROMETHION.sentmm2ont.na.cram	ont	sentdont														
HYB-4Coriells-chip3	NA09677	SMN	chip3	barcode19-chip3	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R2_001.fastq.gz							na		sample	19	WGS				/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip3-NA09677-SMN-chip3-barcode19-chip3-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip3-NA09677-SMN-chip3-barcode19-chip3-PF-ONT-PROMETHION.sentmm2ont.na.cram	ont	sentdont														
HYB-4Coriells-chip4	NA09677	SMN	chip4	barcode19-chip4	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R2_001.fastq.gz							na		sample	19	WGS				/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip4-NA09677-SMN-chip4-barcode19-chip4-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip4-NA09677-SMN-chip4-barcode19-chip4-PF-ONT-PROMETHION.sentmm2ont.na.cram	ont	sentdont														
HYB-4Coriells-chip1	NA03986	DMPK	chip1	barcode20-chip1	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R2_001.fastq.gz							na		sample	19	WGS				/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip1-NA03986-DMPK-chip1-barcode20-chip1-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip1-NA03986-DMPK-chip1-barcode20-chip1-PF-ONT-PROMETHION.sentmm2ont.na.cram	ont	sentdont														
HYB-4Coriells-chip2	NA03986	DMPK	chip2	barcode20-chip2	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R2_001.fastq.gz							na		sample	19	WGS				/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip2-NA03986-DMPK-chip2-barcode20-chip2-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip2-NA03986-DMPK-chip2-barcode20-chip2-PF-ONT-PROMETHION.sentmm2ont.na.cram	ont	sentdont														
HYB-4Coriells-chip4	NA03986	DMPK	chip4	barcode20-chip4	PF	ILMN	NOVASEQ	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R2_001.fastq.gz							na		sample	19	WGS				/fsx/analysis_results/ubuntu/hybonly_ont_chipbarcode_limited_live_20260606T090222Z/daylily-omics-analysis/results/day/hg38_broad/ONT-4Coriells-chip4-NA03986-DMPK-chip4-barcode20-chip4-PF-ONT-PROMETHION/align/sentmm2ont/na/ONT-4Coriells-chip4-NA03986-DMPK-chip4-barcode20-chip4-PF-ONT-PROMETHION.sentmm2ont.na.cram	ont	sentdont														
