sample	read	bytes	s3_key	fsx_path
Altair-HG003-a	R1	42249195198	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG003-a_S7_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-a_S7_R1_001.fastq.gz
Altair-HG003-a	R2	43654459295	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG003-a_S7_R2_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-a_S7_R2_001.fastq.gz
Altair-HG003-b	R1	42016383398	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG003-b_S8_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-b_S8_R1_001.fastq.gz
Altair-HG003-b	R2	43219208010	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG003-b_S8_R2_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-b_S8_R2_001.fastq.gz
Altair-HG003-c	R1	43773733139	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG003-c_S9_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-c_S9_R1_001.fastq.gz
Altair-HG003-c	R2	44422143229	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/Altair-HG003-c_S9_R2_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/Altair-HG003-c_S9_R2_001.fastq.gz
NA00232-SMN	R1	40957861653	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA00232-SMN_S46_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R1_001.fastq.gz
NA00232-SMN	R2	42168686123	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA00232-SMN_S46_R2_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA00232-SMN_S46_R2_001.fastq.gz
NA03986-DMPK	R1	34494365821	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA03986-DMPK_S48_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R1_001.fastq.gz
NA03986-DMPK	R2	36200117444	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA03986-DMPK_S48_R2_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA03986-DMPK_S48_R2_001.fastq.gz
NA05164-DMPK	R1	32339962781	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA05164-DMPK_S49_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA05164-DMPK_S49_R1_001.fastq.gz
NA05164-DMPK	R2	33672518730	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA05164-DMPK_S49_R2_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA05164-DMPK_S49_R2_001.fastq.gz
NA09677-SMN	R1	38992932096	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R1_001.fastq.gz
NA09677-SMN	R2	40539959624	basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA09677-SMN_S47_R2_001.fastq.gz	/fsx/run_dir_mounts/ilmn-lh01121-b23ww2nlt4-fastq/NA09677-SMN_S47_R2_001.fastq.gz
