chip	sample	experiment	seqbc_id	fastq_count	first_fastq	last_fastq
chip1	NA00232	SMN	barcode18_chip1	73	/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_9.fastq.gz
chip1	NA03986	DMPK	barcode20_chip1	73	/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode20/PBM13545_pass_barcode20_f3392d36_eb9b0a06_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode20/PBM13545_pass_barcode20_f3392d36_eb9b0a06_9.fastq.gz
chip1	NA05164	DMPK	barcode21_chip1	73	/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode21/PBM13545_pass_barcode21_f3392d36_eb9b0a06_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode21/PBM13545_pass_barcode21_f3392d36_eb9b0a06_9.fastq.gz
chip1	NA09677	SMN	barcode19_chip1	73	/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode19/PBM13545_pass_barcode19_f3392d36_eb9b0a06_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip1/fastq_pass/barcode19/PBM13545_pass_barcode19_f3392d36_eb9b0a06_9.fastq.gz
chip2	NA00232	SMN	barcode18_chip2	73	/fsx/run_dir_mounts/ont-4coriells-chip2/fastq_pass/barcode18/PBM14931_pass_barcode18_9bbdbb3f_7e492b4e_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip2/fastq_pass/barcode18/PBM14931_pass_barcode18_9bbdbb3f_7e492b4e_9.fastq.gz
chip2	NA03986	DMPK	barcode20_chip2	73	/fsx/run_dir_mounts/ont-4coriells-chip2/fastq_pass/barcode20/PBM14931_pass_barcode20_9bbdbb3f_7e492b4e_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip2/fastq_pass/barcode20/PBM14931_pass_barcode20_9bbdbb3f_7e492b4e_9.fastq.gz
chip2	NA05164	DMPK	barcode21_chip2	73	/fsx/run_dir_mounts/ont-4coriells-chip2/fastq_pass/barcode21/PBM14931_pass_barcode21_9bbdbb3f_7e492b4e_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip2/fastq_pass/barcode21/PBM14931_pass_barcode21_9bbdbb3f_7e492b4e_9.fastq.gz
chip2	NA09677	SMN	barcode19_chip2	73	/fsx/run_dir_mounts/ont-4coriells-chip2/fastq_pass/barcode19/PBM14931_pass_barcode19_9bbdbb3f_7e492b4e_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip2/fastq_pass/barcode19/PBM14931_pass_barcode19_9bbdbb3f_7e492b4e_9.fastq.gz
chip3	NA09677	SMN	barcode19_chip3	9	/fsx/run_dir_mounts/ont-4coriells-chip3/fastq_pass/barcode19/PBK89072_pass_barcode19_e28a4508_b25d4895_25.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip3/fastq_pass/barcode19/PBK89072_pass_barcode19_e28a4508_b25d4895_36.fastq.gz
chip4	NA00232	SMN	barcode18_chip4	73	/fsx/run_dir_mounts/ont-4coriells-chip4/fastq_pass/barcode18/PBM13048_pass_barcode18_8867cb21_f20c3bb7_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip4/fastq_pass/barcode18/PBM13048_pass_barcode18_8867cb21_f20c3bb7_9.fastq.gz
chip4	NA03986	DMPK	barcode20_chip4	73	/fsx/run_dir_mounts/ont-4coriells-chip4/fastq_pass/barcode20/PBM13048_pass_barcode20_8867cb21_f20c3bb7_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip4/fastq_pass/barcode20/PBM13048_pass_barcode20_8867cb21_f20c3bb7_9.fastq.gz
chip4	NA05164	DMPK	barcode21_chip4	73	/fsx/run_dir_mounts/ont-4coriells-chip4/fastq_pass/barcode21/PBM13048_pass_barcode21_8867cb21_f20c3bb7_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip4/fastq_pass/barcode21/PBM13048_pass_barcode21_8867cb21_f20c3bb7_9.fastq.gz
chip4	NA09677	SMN	barcode19_chip4	73	/fsx/run_dir_mounts/ont-4coriells-chip4/fastq_pass/barcode19/PBM13048_pass_barcode19_8867cb21_f20c3bb7_0.fastq.gz	/fsx/run_dir_mounts/ont-4coriells-chip4/fastq_pass/barcode19/PBM13048_pass_barcode19_8867cb21_f20c3bb7_9.fastq.gz
