RUN_ID	SAMPLE_ID	EXPERIMENTID	SAMPLESOURCE	SAMPLECLASS	BIOLOGICAL_SEX	SAMPLE_TYPE	LIB_PREP	SEQ_VENDOR	SEQ_PLATFORM	LANE	SEQBC_ID	PATH_TO_CONCORDANCE_DATA_DIR	CONCORDANCE_CONTROL_PATH	TRUTH_DATA_DIR	R1_FQ	R2_FQ	ILMN_R1_FQ	ILMN_R2_FQ	CG_R1_FQ	CG_R2_FQ	PACBIO_R1_FQ	PACBIO_R2_FQ	ONT_R1_FQ	ONT_R2_FQ	ONT_FASTQ_PREFIX	ONT_FLOWCELL_ID	UG_R1_FQ	UG_R2_FQ	ULTIMA_CRAM	ULTIMA_CRAM_ALIGNER	ULTIMA_CRAM_SNV_CALLER	ULTIMA_SUBSAMPLE_PCT	ONT_CRAM	ONT_CRAM_ALIGNER	ONT_CRAM_SNV_CALLER	ONT_SUBSAMPLE_PCT	PB_BAM	PB_BAM_ALIGNER	PB_BAM_SNV_CALLER	ONT_BAM	ONT_BAM_ALIGNER	ONT_BAM_SNV_CALLER	ROCHE_BAM	ROCHE_BAM_ALIGNER	ROCHE_BAM_SNV_CALLER	ROCHE_DOWNSAMPLE_RATIO	STAGE_DIRECTIVE	STAGE_TARGET	SUBSAMPLE_PCT	ILMN_TRIM_READ_LENGTH	LONGREADTRIM_READ_LENGTH	LONGREADTRIM_MODE	SAMPLEUSE	BWA_KMER	DEEP_MODEL	IS_POS_CTRL	IS_NEG_CTRL	TUM_NRM_SAMPLEID_MATCH	N_X	N_Y	EXTERNAL_SAMPLE_ID
hyb-only-platform-solo	HG001	Altair-HG001-a_S1	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--a_S1	na	na	na			/fsx/scratch/ILMN/Altair-HG001-a_S1_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG001-a_S1_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG001
hyb-only-platform-solo	HG001	Altair-HG001-b_S2	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--b_S2	na	na	na			/fsx/scratch/ILMN/Altair-HG001-b_S2_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG001-b_S2_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG001
hyb-only-platform-solo	HG001	Altair-HG001-c_S3	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--c_S3	na	na	na			/fsx/scratch/ILMN/Altair-HG001-c_S3_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG001-c_S3_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG001
hyb-only-platform-solo	HG002	Altair-HG002-a_S4	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--a_S4	na	na	na			/fsx/scratch/ILMN/Altair-HG002-a_S4_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG002-a_S4_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG002
hyb-only-platform-solo	HG002	Altair-HG002-b_S5	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--b_S5	na	na	na			/fsx/scratch/ILMN/Altair-HG002-b_S5_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG002-b_S5_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG002
hyb-only-platform-solo	HG002	Altair-HG002-c_S6	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--c_S6	na	na	na			/fsx/scratch/ILMN/Altair-HG002-c_S6_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG002-c_S6_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG002
hyb-only-platform-solo	HG003	Altair-HG003-a_S7	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--a_S7	na	na	na			/fsx/scratch/ILMN/Altair-HG003-a_S7_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG003-a_S7_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG003
hyb-only-platform-solo	HG003	Altair-HG003-b_S8	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--b_S8	na	na	na			/fsx/scratch/ILMN/Altair-HG003-b_S8_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG003-b_S8_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG003
hyb-only-platform-solo	HG003	Altair-HG003-c_S9	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--c_S9	na	na	na			/fsx/scratch/ILMN/Altair-HG003-c_S9_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG003-c_S9_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG003
hyb-only-platform-solo	HG004	Altair-HG004-a_S10	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--a_S10	na	na	na			/fsx/scratch/ILMN/Altair-HG004-a_S10_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG004-a_S10_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG004
