RUNID	SAMPLEID	EXPERIMENTID	LANEID	BARCODEID	LIBPREP	SEQ_VENDOR	SEQ_PLATFORM	ILMN_R1_PATH	ILMN_R2_PATH	PACBIO_R1_PATH	PACBIO_R2_PATH	ONT_R1_PATH	ONT_R2_PATH	UG_R1_PATH	UG_R2_PATH	SUBSAMPLE_PCT	ILMN_TRIM_READ_LENGTH	SAMPLEUSE	BWA_KMER	DEEP_MODEL	ULTIMA_CRAM	ULTIMA_CRAM_ALIGNER	ULTIMA_CRAM_SNV_CALLER	ONT_CRAM	ONT_CRAM_ALIGNER	ONT_CRAM_SNV_CALLER	PB_BAM	PB_BAM_ALIGNER	PB_BAM_SNV_CALLER	ROCHE_BAM	ROCHE_BAM_ALIGNER	ROCHE_BAM_SNV_CALLER	ROCHE_DOWNSAMPLE_RATIO	LONGREADTRIM_READ_LENGTH	LONGREADTRIM_MODE	ULTIMA_SUBSAMPLE_PCT	ONT_SUBSAMPLE_PCT	ONT_BAM	ONT_BAM_ALIGNER	ONT_BAM_SNV_CALLER
hyb-only-platform-solo	HG001	Altair-HG001-a-S1	0	Altair--a-S1	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG001-a_S1_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG001-a_S1_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG001	Altair-HG001-b-S2	0	Altair--b-S2	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG001-b_S2_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG001-b_S2_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG001	Altair-HG001-c-S3	0	Altair--c-S3	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG001-c_S3_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG001-c_S3_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG002	Altair-HG002-a-S4	0	Altair--a-S4	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG002-a_S4_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG002-a_S4_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG002	Altair-HG002-b-S5	0	Altair--b-S5	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG002-b_S5_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG002-b_S5_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG002	Altair-HG002-c-S6	0	Altair--c-S6	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG002-c_S6_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG002-c_S6_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG003	Altair-HG003-a-S7	0	Altair--a-S7	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG003-a_S7_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG003-a_S7_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG003	Altair-HG003-b-S8	0	Altair--b-S8	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG003-b_S8_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG003-b_S8_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG003	Altair-HG003-c-S9	0	Altair--c-S9	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG003-c_S9_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG003-c_S9_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG004	Altair-HG004-a-S10	0	Altair--a-S10	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG004-a_S10_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG004-a_S10_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG004	Altair-HG004-b-S11	0	Altair--b-S11	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG004-b_S11_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG004-b_S11_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG004	Altair-HG004-c-S12	0	Altair--c-S12	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG004-c_S12_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG004-c_S12_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG005	Altair-HG005-a-S13	0	Altair--a-S13	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG005-a_S13_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG005-a_S13_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG005	Altair-HG005-b-S14	0	Altair--b-S14	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG005-b_S14_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG005-b_S14_R2_001.fastq.gz							na		research	19	WGS																				
hyb-only-platform-solo	HG005	Altair-HG005-c-S15	0	Altair--c-S15	PF	ILMN	NOVASEQ	/fsx/scratch/ILMN/Altair-HG005-c_S15_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG005-c_S15_R2_001.fastq.gz							na		research	19	WGS																				
