analysis_id	size_kib	source_path	destination_s3_uri
ccv_dryrun_complete_genomics_mgi_snv_concordance_20260609T063015Z	605613	/fsx/analysis_results/ubuntu/ccv_dryrun_complete_genomics_mgi_snv_concordance_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_complete_genomics_mgi_snv_concordance_20260609T063015Z/
ccv_dryrun_complete_genomics_mgi_snv_concordance_20260609T083613Z	606101	/fsx/analysis_results/ubuntu/ccv_dryrun_complete_genomics_mgi_snv_concordance_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_complete_genomics_mgi_snv_concordance_20260609T083613Z/
ccv_dryrun_hybrid_ilmn_ont_snv_20260609T063015Z	605704	/fsx/analysis_results/ubuntu/ccv_dryrun_hybrid_ilmn_ont_snv_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_hybrid_ilmn_ont_snv_20260609T063015Z/
ccv_dryrun_hybrid_ilmn_ont_snv_20260609T083613Z	605872	/fsx/analysis_results/ubuntu/ccv_dryrun_hybrid_ilmn_ont_snv_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_hybrid_ilmn_ont_snv_20260609T083613Z/
ccv_dryrun_hybrid_ilmn_ont_snv_kitchensink_20260609T063015Z	605830	/fsx/analysis_results/ubuntu/ccv_dryrun_hybrid_ilmn_ont_snv_kitchensink_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_hybrid_ilmn_ont_snv_kitchensink_20260609T063015Z/
ccv_dryrun_hybrid_ilmn_ont_snv_kitchensink_20260609T083613Z	607486	/fsx/analysis_results/ubuntu/ccv_dryrun_hybrid_ilmn_ont_snv_kitchensink_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_hybrid_ilmn_ont_snv_kitchensink_20260609T083613Z/
ccv_dryrun_illumina_bclconvert_20260609T063015Z	604970	/fsx/analysis_results/ubuntu/ccv_dryrun_illumina_bclconvert_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_illumina_bclconvert_20260609T063015Z/
ccv_dryrun_illumina_bclconvert_20260609T083613Z	604970	/fsx/analysis_results/ubuntu/ccv_dryrun_illumina_bclconvert_20260609T083613Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_illumina_bclconvert_20260609T083613Z/
ccv_dryrun_illumina_bclconvert_20260609T101303Z	605806	/fsx/analysis_results/ubuntu/ccv_dryrun_illumina_bclconvert_20260609T101303Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_illumina_bclconvert_20260609T101303Z/
ccv_dryrun_illumina_hg002_kitchensink_multiqc_20260609T063015Z	605640	/fsx/analysis_results/ubuntu/ccv_dryrun_illumina_hg002_kitchensink_multiqc_20260609T063015Z	s3://lsmc-ssf-sequencing-data/derived/analysis_results/hyb-only/ubuntu/ccv_dryrun_illumina_hg002_kitchensink_multiqc_20260609T063015Z/
