template_group,templates,template_locations,instance_type,region,availability_zone,availability_zone_id,instance_type_offered_in_az,spot_history_present,status,spot_price,spot_timestamp,product_description,error
intel,intel,intel:i128/price128,c6i.32xlarge,us-east-1,us-east-1a,use1-az4,true,true,present,1.760600,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-east-1,us-east-1b,use1-az6,true,true,present,1.864800,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-east-1,us-east-1c,use1-az1,true,true,present,1.707400,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-east-1,us-east-1d,use1-az2,true,true,present,1.805600,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-east-1,us-east-1e,,false,false,not_offered_no_spot_history,,,,
intel,intel,intel:i128/price128,c6i.32xlarge,us-east-1,us-east-1f,use1-az5,true,true,present,1.746500,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-east-2,us-east-2a,use2-az1,true,true,present,1.487400,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-east-2,us-east-2b,use2-az2,true,true,present,1.487700,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-east-2,us-east-2c,use2-az3,true,true,present,1.601100,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-west-1,us-west-1a,usw1-az3,true,true,present,2.564100,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-west-1,us-west-1b,usw1-az1,true,true,present,2.720500,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-west-2,us-west-2a,usw2-az2,true,true,present,1.848500,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-west-2,us-west-2b,usw2-az1,true,true,present,1.833300,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-west-2,us-west-2c,usw2-az3,true,true,present,1.744200,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,us-west-2,us-west-2d,usw2-az4,true,true,present,1.577100,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,ap-south-1,ap-south-1a,aps1-az1,true,true,present,1.305300,2026-07-08T07:00:00+00:00,Linux/UNIX,
