template_group,templates,instance_type,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f,us-east-2a,us-east-2b,us-east-2c,us-west-1a,us-west-1b,us-west-2a,us-west-2b,us-west-2c,us-west-2d
intel,intel,c6i.32xlarge,1.760600,1.864800,1.707400,1.805600,,1.746500,1.487400,1.487700,1.601100,2.564100,2.720500,1.848500,1.833300,1.744200,1.577100
intel,intel,c6i.metal,1.720700,1.383300,1.637500,1.812200,,1.470200,1.845800,1.524700,1.435300,1.328300,2.107200,1.559900,1.601900,1.581400,1.425000
intel,intel,c6in.32xlarge,1.903200,2.112100,1.745300,1.708300,,1.489600,1.659300,1.827500,1.679900,1.748600,1.901000,2.402900,2.065500,2.549100,
intel,intel,c6in.metal,1.785800,1.773200,1.293200,1.730900,,1.891200,1.804300,1.878200,2.332000,1.946700,1.741600,2.002400,2.074000,1.592600,
intel,intel,c7i.48xlarge,2.918500,2.811600,2.902700,3.302100,,3.078900,3.432200,3.426600,3.689100,1.966600,1.942700,3.819900,3.814700,4.028800,3.079300
intel,intel,c7i.metal-48xl,2.586200,2.784100,2.471800,2.459200,,2.289400,1.546000,2.304500,1.930600,1.989200,1.068500,2.788200,2.751900,2.695000,2.341100
intel,intel,c8i.32xlarge,2.345800,2.227400,2.132600,2.738600,,5.935800,2.557700,2.004200,2.574600,1.555200,1.585900,2.724600,2.472000,1.984100,1.767600
intel,intel,c8i.48xlarge,2.816000,2.801800,2.483700,2.577000,,8.996200,3.091000,2.489500,3.593900,3.071100,2.020500,2.886100,3.123400,3.271300,2.849000
intel,intel,c8i.metal-48xl,1.260400,3.458500,0.899600,2.247800,,8.903600,1.956900,1.186000,1.861500,1.937600,1.938600,3.035400,3.093300,3.032000,2.588700
intel,intel,c8id.96xlarge,17.986400,2.401900,5.699600,2.128900,,10.856800,8.350000,4.622100,7.790300,,,5.900100,6.004400,6.184000,6.212600
