template_group,templates,instance_type,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f,us-east-2a,us-east-2b,us-east-2c,us-west-1a,us-west-1b,us-west-2a,us-west-2b,us-west-2c,us-west-2d
intel,intel,c6i.32xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,c6i.metal,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,c6in.32xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,NOT_OFFERED
intel,intel,c6in.metal,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,NOT_OFFERED
intel,intel,c7i.48xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,c7i.metal-48xl,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,c8i.32xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,c8i.48xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,c8i.metal-48xl,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,c8id.96xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
intel,intel,c8id.metal-96xl,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,Y,Y,Y,Y
dragen,dragen_native_ami_rhel8;dragen_native_ami_rhel8_nofsx;dragen_pcluster_image_rhel8;dragen_pcluster_image_rhel8_nofsx,f2.6xlarge,Y,Y,Y,Y,NOT_OFFERED,NOT_OFFERED,NOT_OFFERED,NOT_OFFERED,NOT_OFFERED,NOT_OFFERED,NOT_OFFERED,NOT_OFFERED,Y,Y,NOT_OFFERED
intel,intel,i4i.2xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,i4i.32xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,i4i.metal,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,i7i.2xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,i7i.48xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,i7i.metal-48xl,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
intel,intel,i7ie.2xlarge,Y,Y,Y,Y,NOT_OFFERED,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
