index,command_id,analysis_id,exit_code,started_at,completed_at,pct,method,done,total,latest_log
1,illumina_snv_alignstats,ccv_live_illumina_snv_alignstats_20260708T150500Z,,2026-07-08T15:05:34Z,,18.0,snakemake_steps_line,6,33,/fsx/analysis_results/ubuntu/ccv_live_illumina_snv_alignstats_20260708T150500Z/daylily-omics-analysis/.snakemake/log/2026-07-08T150558.068592.snakemake.log
2,illumina_snv_alignstats_relatedness_vep_multiqc,ccv_live_illumina_snv_alignstats_relatedness_vep_multiqc_20260708T152112Z,,2026-07-08T15:22:50Z,,10.0,snakemake_steps_line,13,128,/fsx/analysis_results/ubuntu/ccv_live_illumina_snv_alignstats_relatedness_vep_multiqc_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T152314.350852.snakemake.log
3,illumina_hg002_kitchensink_multiqc,ccv_live_illumina_hg002_kitchensink_multiqc_20260708T152112Z,,2026-07-08T15:30:21Z,,9.0,snakemake_steps_line,13,144,/fsx/analysis_results/ubuntu/ccv_live_illumina_hg002_kitchensink_multiqc_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T153044.383605.snakemake.log
4,ultima_snv_alignstats,ccv_live_ultima_snv_alignstats_20260708T152112Z,0,2026-07-08T15:34:26Z,2026-07-08T17:24:35Z,100.0,workflow_exit_0,,,/fsx/analysis_results/ubuntu/ccv_live_ultima_snv_alignstats_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T172435.175582.snakemake.log
5,ultima_snv_alignstats_kitchensink,ccv_live_ultima_snv_alignstats_kitchensink_20260708T152112Z,,2026-07-08T15:36:18Z,,78.0,snakemake_steps_line,90,116,/fsx/analysis_results/ubuntu/ccv_live_ultima_snv_alignstats_kitchensink_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T153641.129401.snakemake.log
6,ont_snv_alignstats,ccv_live_ont_snv_alignstats_20260708T152112Z,0,2026-07-08T15:37:53Z,2026-07-08T18:12:58Z,100.0,workflow_exit_0,,,/fsx/analysis_results/ubuntu/ccv_live_ont_snv_alignstats_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T181257.975305.snakemake.log
7,ont_snv_alignstats_kitchensink,ccv_live_ont_snv_alignstats_kitchensink_20260708T152112Z,,2026-07-08T15:40:29Z,,69.0,snakemake_steps_line,77,112,/fsx/analysis_results/ubuntu/ccv_live_ont_snv_alignstats_kitchensink_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T154052.747656.snakemake.log
8,pacbio_snv_alignstats,ccv_live_pacbio_snv_alignstats_20260708T152112Z,0,2026-07-08T15:42:13Z,2026-07-08T18:33:41Z,100.0,workflow_exit_0,,,/fsx/analysis_results/ubuntu/ccv_live_pacbio_snv_alignstats_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T183341.243630.snakemake.log
9,roche_snv_alignstats,ccv_live_roche_snv_alignstats_20260708T152112Z,0,2026-07-08T15:43:54Z,2026-07-08T15:50:48Z,100.0,workflow_exit_0,,,/fsx/analysis_results/ubuntu/ccv_live_roche_snv_alignstats_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T155048.349641.snakemake.log
10,hybrid_ilmn_ont_snv,ccv_live_hybrid_ilmn_ont_snv_20260708T152112Z,,2026-07-08T15:45:40Z,,7.0,snakemake_steps_line,51,746,/fsx/analysis_results/ubuntu/ccv_live_hybrid_ilmn_ont_snv_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T154604.046110.snakemake.log
11,hybrid_ilmn_ont_snv_kitchensink,ccv_live_hybrid_ilmn_ont_snv_kitchensink_20260708T152112Z,,2026-07-08T15:47:17Z,,5.0,snakemake_steps_line,45,841,/fsx/analysis_results/ubuntu/ccv_live_hybrid_ilmn_ont_snv_kitchensink_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T154740.874189.snakemake.log
12,inflection-bjuice-product-v0.1,ccv_live_inflection_bjuice_product_v0_1_20260708T152112Z,,2026-07-08T15:48:09Z,,3.0,snakemake_steps_line,23,757,/fsx/analysis_results/ubuntu/ccv_live_inflection_bjuice_product_v0_1_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T154834.926275.snakemake.log
13,illumina_run_qc,ccv_live_illumina_run_qc_20260708T152112Z,0,2026-07-08T18:54:15Z,2026-07-08T18:55:36Z,100.0,workflow_exit_0,,,/fsx/analysis_results/ubuntu/ccv_live_illumina_run_qc_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T185536.556316.snakemake.log
14,ont_run_qc,ccv_live_ont_run_qc_20260708T152112Z,0,2026-07-08T16:34:36Z,2026-07-08T17:18:52Z,100.0,workflow_exit_0,,,/fsx/analysis_results/ubuntu/ccv_live_ont_run_qc_20260708T152112Z/daylily-omics-analysis/.snakemake/log/2026-07-08T171851.829563.snakemake.log
15,ultima_run_qc,ccv_live_ultima_run_qc_20260708T163200Z,1,2026-07-08T16:31:29Z,2026-07-08T16:32:09Z,0.0,no_progress_marker,,,/fsx/analysis_results/ubuntu/ccv_live_ultima_run_qc_20260708T163200Z/daylily-omics-analysis/.snakemake/log/2026-07-08T163209.497594.snakemake.log
