instance_id,host,partition,instance_type,az,state,start,start_source,spot_log_time,end,hours,logged_price_per_hr,avg_price_per_hr,cost_usd,close_source,price_source
i-0affdee13f99fa174,i128-dy-bigmem128-1,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T15:46:15+00:00,cloudtrail_runinstances,2026-07-08T15:47:48+00:00,2026-07-08T15:59:04+00:00,0.2136111111111111,3.063,3.063,0.6542908333333334,cloudtrail_terminate,history
i-0fe295ca102e0d28f,i128-dy-bigmem128-1,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T17:48:43+00:00,cloudtrail_runinstances,2026-07-08T17:50:16+00:00,2026-07-08T18:00:03+00:00,0.18888888888888888,3.063,3.063,0.5785666666666667,cloudtrail_terminate,history
i-06ee498079a324e64,i128-dy-bigmem128-1,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:07:20+00:00,cloudtrail_runinstances,2026-07-08T18:08:55+00:00,2026-07-08T18:19:03+00:00,0.19527777777777777,3.063,3.063,0.5981358333333333,cloudtrail_terminate,history
i-060c10592b334e376,i128-dy-bigmem128-1,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:29:30+00:00,ec2_launch_time,2026-07-08T18:31:00+00:00,2026-07-08T18:39:03+00:00,0.15916666666666668,3.063,3.063,0.48752750000000006,ec2_state_transition,history
i-0ff4bd8ff6f5448be,i128-dy-bigmem128-2,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T15:46:15+00:00,cloudtrail_runinstances,2026-07-08T15:47:44+00:00,2026-07-08T15:59:04+00:00,0.2136111111111111,3.063,3.063,0.6542908333333334,cloudtrail_terminate,history
i-0be41bdbbfef1c592,i128-dy-bigmem128-2,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T17:48:43+00:00,cloudtrail_runinstances,2026-07-08T17:50:08+00:00,2026-07-08T17:59:03+00:00,0.17222222222222222,3.063,3.0630000000000006,0.5275166666666667,cloudtrail_terminate,history
i-0c9aeb520c84eb0c0,i128-dy-bigmem128-2,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:07:20+00:00,cloudtrail_runinstances,2026-07-08T18:08:55+00:00,2026-07-08T18:17:03+00:00,0.16194444444444445,3.063,3.063,0.49603583333333334,cloudtrail_terminate,history
i-0054034cfa0a3585c,i128-dy-bigmem128-2,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:29:30+00:00,ec2_launch_time,2026-07-08T18:31:06+00:00,2026-07-08T18:40:03+00:00,0.17583333333333334,3.063,3.063,0.5385775,ec2_state_transition,history
i-0c6b759993c10ba79,i128-dy-bigmem128-3,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T15:46:15+00:00,cloudtrail_runinstances,2026-07-08T15:47:47+00:00,2026-07-08T15:59:04+00:00,0.2136111111111111,3.063,3.063,0.6542908333333334,cloudtrail_terminate,history
i-009ce0d3e5006441b,i128-dy-bigmem128-3,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T17:48:43+00:00,cloudtrail_runinstances,2026-07-08T17:50:11+00:00,2026-07-08T17:59:03+00:00,0.17222222222222222,3.063,3.0630000000000006,0.5275166666666667,cloudtrail_terminate,history
i-0fbfda658893ecdfa,i128-dy-bigmem128-3,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:07:20+00:00,cloudtrail_runinstances,2026-07-08T18:08:55+00:00,2026-07-08T18:17:03+00:00,0.16194444444444445,3.063,3.063,0.49603583333333334,cloudtrail_terminate,history
i-0d505b5d37604c0a4,i128-dy-bigmem128-3,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:29:30+00:00,ec2_launch_time,2026-07-08T18:31:02+00:00,2026-07-08T18:40:03+00:00,0.17583333333333334,3.063,3.063,0.5385775,ec2_state_transition,history
i-0a40c3839bfc69a39,i128-dy-bigmem128-4,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T15:46:15+00:00,cloudtrail_runinstances,2026-07-08T15:47:47+00:00,2026-07-08T15:59:04+00:00,0.2136111111111111,3.063,3.063,0.6542908333333334,cloudtrail_terminate,history
