ANALYSIS_UNIT_UID	SEQUENCING_INPUT_UID	ROLE	INPUT_ORDINAL
BJUICEPREVAL-COMPLETE-HG001-HIOMRS	HG001-ILMN-M-BNQ-AP	sr	1
BJUICEPREVAL-COMPLETE-HG001-HIOMRS	HG001-ONT-M-BNQ-ZB-M-BGS-174	lr	2
BJUICEPREVAL-COMPLETE-HG001-HIOMRS	HG001-ONT-M-BNQ-ZB-M-BGS-182	lr	3
BJUICEPREVAL-COMPLETE-HG001-HIOMRS	HG001-ONT-M-BNQ-ZB-M-BGS-1CT	lr	4
BJUICEPREVAL-COMPLETE-HG002-HIOMRS	HG002-ILMN-M-BNQ-BM	sr	1
BJUICEPREVAL-COMPLETE-HG002-HIOMRS	HG002-ONT-M-BNQ-10H-M-BGS-174	lr	2
BJUICEPREVAL-COMPLETE-HG002-HIOMRS	HG002-ONT-M-BNQ-10H-M-BGS-182	lr	3
BJUICEPREVAL-COMPLETE-HG002-HIOMRS	HG002-ONT-M-BNQ-10H-M-BGS-1CT	lr	4
BJUICEPREVAL-COMPLETE-HG003-HIOMRS	HG003-ILMN-M-BNQ-CJ	sr	1
BJUICEPREVAL-COMPLETE-HG003-HIOMRS	HG003-ONT-M-BNQ-11F-M-BGS-174	lr	2
BJUICEPREVAL-COMPLETE-HG003-HIOMRS	HG003-ONT-M-BNQ-11F-M-BGS-182	lr	3
BJUICEPREVAL-COMPLETE-HG003-HIOMRS	HG003-ONT-M-BNQ-11F-M-BGS-1CT	lr	4
BJUICEPREVAL-COMPLETE-HG004-HIOMRS	HG004-ILMN-M-BNQ-DG	sr	1
BJUICEPREVAL-COMPLETE-HG004-HIOMRS	HG004-ONT-M-BNQ-12D-M-BGS-190	lr	2
BJUICEPREVAL-COMPLETE-HG004-HIOMRS	HG004-ONT-M-BNQ-12D-M-BGS-1AY	lr	3
BJUICEPREVAL-COMPLETE-HG004-HIOMRS	HG004-ONT-M-BNQ-12D-M-BGS-1BW	lr	4
BJUICEPREVAL-COMPLETE-HG005-HIOMRS	HG005-ILMN-M-BNQ-EE	sr	1
BJUICEPREVAL-COMPLETE-HG005-HIOMRS	HG005-ONT-M-BNQ-13B-M-BGS-190	lr	2
BJUICEPREVAL-COMPLETE-HG005-HIOMRS	HG005-ONT-M-BNQ-13B-M-BGS-1AY	lr	3
BJUICEPREVAL-COMPLETE-HG005-HIOMRS	HG005-ONT-M-BNQ-13B-M-BGS-1BW	lr	4
BJUICEPREVAL-COMPLETE-HG006-HIOMRS	HG006-ILMN-M-BNQ-FC	sr	1
BJUICEPREVAL-COMPLETE-HG006-HIOMRS	HG006-ONT-M-BNQ-149-M-BGS-190	lr	2
BJUICEPREVAL-COMPLETE-HG006-HIOMRS	HG006-ONT-M-BNQ-149-M-BGS-1AY	lr	3
