LIBRARY_ID	LIBRARY_EUID	SAMPLEID	LIBPREP	AMPLIFICATION_TYPE	LIBRARY_COMMENT
HG001-ILMN	M-BNQ-AP	HG001	UNKNOWN	WGS	HG001 ILMN library; persisted library EUID M-BNQ-AP
HG001-ONT	M-BNQ-ZB	HG001	UNKNOWN	WGS	HG001 ONT library; persisted library EUID M-BNQ-ZB
HG002-ILMN	M-BNQ-BM	HG002	UNKNOWN	WGS	HG002 ILMN library; persisted library EUID M-BNQ-BM
HG002-ONT	M-BNQ-10H	HG002	UNKNOWN	WGS	HG002 ONT library; persisted library EUID M-BNQ-10H
HG003-ILMN	M-BNQ-CJ	HG003	UNKNOWN	WGS	HG003 ILMN library; persisted library EUID M-BNQ-CJ
HG003-ONT	M-BNQ-11F	HG003	UNKNOWN	WGS	HG003 ONT library; persisted library EUID M-BNQ-11F
HG004-ILMN	M-BNQ-DG	HG004	UNKNOWN	WGS	HG004 ILMN library; persisted library EUID M-BNQ-DG
HG004-ONT	M-BNQ-12D	HG004	UNKNOWN	WGS	HG004 ONT library; persisted library EUID M-BNQ-12D
HG005-ILMN	M-BNQ-EE	HG005	UNKNOWN	WGS	HG005 ILMN library; persisted library EUID M-BNQ-EE
HG005-ONT	M-BNQ-13B	HG005	UNKNOWN	WGS	HG005 ONT library; persisted library EUID M-BNQ-13B
HG006-ILMN	M-BNQ-FC	HG006	UNKNOWN	WGS	HG006 ILMN library; persisted library EUID M-BNQ-FC
HG006-ONT	M-BNQ-149	HG006	UNKNOWN	WGS	HG006 ONT library; persisted library EUID M-BNQ-149
HG007-ILMN	M-BNQ-G9	HG007	UNKNOWN	WGS	HG007 ILMN library; persisted library EUID M-BNQ-G9
HG007-ONT	M-BNQ-157	HG007	UNKNOWN	WGS	HG007 ONT library; persisted library EUID M-BNQ-157
NA05067-ILMN	M-BNQ-H7	NA05067	UNKNOWN	WGS	NA05067 ILMN library; persisted library EUID M-BNQ-H7
NA05067-ONT	M-BNQ-165	NA05067	UNKNOWN	WGS	NA05067 ONT library; persisted library EUID M-BNQ-165
NA10798-ILMN	M-BNQ-J5	NA10798	UNKNOWN	WGS	NA10798 ILMN library; persisted library EUID M-BNQ-J5
NA10798-ONT	M-BNQ-173	NA10798	UNKNOWN	WGS	NA10798 ONT library; persisted library EUID M-BNQ-173
NA13189-ILMN	M-BNQ-K3	NA13189	UNKNOWN	WGS	NA13189 ILMN library; persisted library EUID M-BNQ-K3
NA13189-ONT	M-BNQ-181	NA13189	UNKNOWN	WGS	NA13189 ONT library; persisted library EUID M-BNQ-181
NA14732-ILMN	M-BNQ-M1	NA14732	UNKNOWN	WGS	NA14732 ILMN library; persisted library EUID M-BNQ-M1
NA14732-ONT	M-BNQ-19Z	NA14732	UNKNOWN	WGS	NA14732 ONT library; persisted library EUID M-BNQ-19Z
NA14733-ILMN	M-BNQ-NZ	NA14733	UNKNOWN	WGS	NA14733 ILMN library; persisted library EUID M-BNQ-NZ
NA14733-ONT	M-BNQ-1AX	NA14733	UNKNOWN	WGS	NA14733 ONT library; persisted library EUID M-BNQ-1AX
NA15603-ILMN	M-BNQ-PX	NA15603	UNKNOWN	WGS	NA15603 ILMN library; persisted library EUID M-BNQ-PX
NA15603-ONT	M-BNQ-1BV	NA15603	UNKNOWN	WGS	NA15603 ONT library; persisted library EUID M-BNQ-1BV
NA15848-ILMN	M-BNQ-QV	NA15848	UNKNOWN	WGS	NA15848 ILMN library; persisted library EUID M-BNQ-QV
NA15848-ONT	M-BNQ-1CS	NA15848	UNKNOWN	WGS	NA15848 ONT library; persisted library EUID M-BNQ-1CS
NA15849-ILMN	M-BNQ-RS	NA15849	UNKNOWN	WGS	NA15849 ILMN library; persisted library EUID M-BNQ-RS
NA15849-ONT	M-BNQ-1DQ	NA15849	UNKNOWN	WGS	NA15849 ONT library; persisted library EUID M-BNQ-1DQ
NA19235-ILMN	M-BNQ-SQ	NA19235	UNKNOWN	WGS	NA19235 ILMN library; persisted library EUID M-BNQ-SQ
NA19235-ONT	M-BNQ-1EN	NA19235	UNKNOWN	WGS	NA19235 ONT library; persisted library EUID M-BNQ-1EN
NA20027-ILMN	M-BNQ-TN	NA20027	UNKNOWN	WGS	NA20027 ILMN library; persisted library EUID M-BNQ-TN
NA20027-ONT	M-BNQ-1FK	NA20027	UNKNOWN	WGS	NA20027 ONT library; persisted library EUID M-BNQ-1FK
NA20230-ILMN	M-BNQ-VK	NA20230	UNKNOWN	WGS	NA20230 ILMN library; persisted library EUID M-BNQ-VK
NA20230-ONT	M-BNQ-1GG	NA20230	UNKNOWN	WGS	NA20230 ONT library; persisted library EUID M-BNQ-1GG
NA20775-ILMN	M-BNQ-WH	NA20775	UNKNOWN	WGS	NA20775 ILMN library; persisted library EUID M-BNQ-WH
NA20775-ONT	M-BNQ-1HE	NA20775	UNKNOWN	WGS	NA20775 ONT library; persisted library EUID M-BNQ-1HE
NA23687-ILMN	M-BNQ-XF	NA23687	UNKNOWN	WGS	NA23687 ILMN library; persisted library EUID M-BNQ-XF
NA23687-ONT	M-BNQ-1JC	NA23687	UNKNOWN	WGS	NA23687 ONT library; persisted library EUID M-BNQ-1JC
